№ опыта,1,2,3,4,5,6,7,8,9,10
0,31,25,24,19,24,19,27,27,22,25
10,23,37,36,25,25,22,28,24,23,29
20,24,21,28,28,24,24,28,25,27,30
30,23,29,26,36,21,35,23,20,34,24
40,22,19,34,22,30,30,20,32,33,20
50,28,28,21,25,35,18,26,22,24,26
60,16,27,26,24,27,19,31,15,28,38
70,24,33,24,29,31,21,15,20,26,19
80,20,18,41,25,22,24,22,21,30,25
90,20,31,31,24,14,19,29,17,14,28
100,25,31,29,29,18,25,18,24,24,35
110,31,21,31,32,34,13,29,30,21,20
120,30,22,20,32,32,29,33,20,31,29
130,26,18,22,29,33,20,33,20,31,29
140,22,25,27,23,18,28,21,23,24,27
150,27,25,30,21,24,23,22,33,21,32
160,28,22,26,20,31,29,30,27,23,26
170,22,24,20,31,38,18,24,28,26,24
180,41,28,27,29,25,23,21,24,26,19
190,27,24,25,34,28,28,19,28,26,21
