1,2,3,4,5,6,7,8,9,10
38,24,45,26,33,21,30,21,26,18
27,33,32,36,31,26,36,16,25,23
29,32,27,28,29,27,29,30,27,28
19,29,26,26,20,21,34,31,30,30
31,28,24,29,21,21,28,29,25,29
29,33,20,31,31,26,40,22,28,24
18,48,19,33,35,31,21,34,26,32
23,27,33,40,28,36,32,40,31,24
24,30,26,22,31,42,27,40,34,26
29,25,25,32,25,29,23,33,23,28
30,27,37,36,31,28,28,35,28,33
22,35,28,32,39,32,28,15,24,22
34,21,21,26,28,32,22,25,31,26
20,39,30,21,16,25,28,22,28,26
17,22,28,27,25,34,34,28,27,39
25,28,28,28,28,35,32,28,27,28
27,19,26,35,29,23,31,28,23,33
30,26,34,31,40,35,22,28,22,26
23,30,29,32,38,31,24,25,32,26
34,32,33,32,24,20,28,29,22,27
