Измерения длины,,,,,,,,,,,,
№,1,2,3,4,5,6,7,8,9,10,$\overline{a}$,$\sigma_{a}$
"$a$, мм",92.7,92.8,92.8,92.6,92.6,92.6,92.6,92.6,92.7,92.8,92.7,0.1
Ось $AA’$,,,,,,,,,,,,
№,1,2,3,4,5,Среднее,,,,,,
"$t$, с",45.4,45.4,45.3,45.3,45.2,45.3,,,,,,
"$T$, c",3.03,3.03,3.02,3.02,3.01,3.02,,,,,,
Ось $MM’$,,,,,,,,,,,,
№,1,2,3,4,5,Среднее,,,,,,
"$t$, c",45.6,45.6,45.5,45.3,45.5,45.5,,,,,,
"$T$, c",3.04,3.04,3.03,3.02,3.03,3.03,,,,,,
Ось $DD’$,,,,,,,,,,,,
№,1,2,3,4,5,Среднее,,,,,,
"$t$, c",45.5,45.7,45.4,45.5,45.5,45.5,,,,,,
"$T$, c",3.03,3.05,3.03,3.03,3.03,3.03,,,,,,
