m, г;N;T,c;omega прецессии;v;L (от закругления до центра), мм;phi;delta x;x0;xкон;omega;l, мм;Mтр;
57;2;364;0.034522996;0.000841812;177;0.306419558;56;0;56;2486.161142;119;;386.7281217
92;2;220;0.057119866;0.000763163;177;0.167895923;30;-14;16;2425.289258;119;;385
92;2;222;0.056605273;0.000506834;177;0.112517107;20;16;36;2447.337342;119;;
92;2;221;0.056861405;0.000407921;177;0.090150463;16;-4;12;2436.3133;119;;
92;2;218;0.057643902;0.000795334;177;0.173382709;31;-13;18;2403.241174;119;;
92;2;221;0.056861405;0.000609825;177;0.134771284;24;-14;10;2436.3133;119;;
116;3;261;0.072220521;0.000789548;177;0.206072132;37;-25;12;2418.578971;119;;
142;3;215;0.087672353;0.000882692;177;0.189778732;34;-10;24;2438.869599;119;;
180;4;224;0.112199738;0.000895772;177;0.200652877;36;-18;18;2415.703134;119;;
219;5;232;0.135413476;0.000818012;177;0.189778732;34;-17;17;2435.258826;119;;
273;6;223;0.169054313;0.000703551;177;0.156891984;28;-14;14;2431.640065;119;;
341;8;236;0.212989332;0.000873187;177;0.206072132;37;-8;29;2410.790246;119;;
74;2;271;0.046370371;0.000456308;177;0.123659584;22;-11;11;2403.00152;119;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;N;t;T;;;;;;;;;;
цилиндр;11;43.51;3.955454545;4.049490909;;;;;;;;;
d = 78,1 мм;10;41.03;4.103;;;I0=;0.00077527;;;;;;
h = 24,4 мм;10;40.36;4.036;;;;;;;;;;
m = 1617,8 г;10;40.87;4.087;;;;;;;;;;
I=;10;40.66;4.066;;;;;;;;;;
0.00123349;;;;;;;;;;;;;
ротор;10;31.77;3.177;3.2104;;;;;;;;;
;10;31.82;3.182;;;;;;;;;;
;10;32.6;3.26;;;;;;;;;;
;10;32.1;3.21;;;;;;;;;;
;10;32.23;3.223;;;;;;;;;;
