m, повышение;m сумм;P;n, mm, pm 0.5;dl,mm
246.1;970;9.52;15;0.707
245.6;1215.6;11.93;16.3;0.768
245.7;1461.3;14.34;17.6;0.829
491.8;1953.1;19.17;19.9;0.937
245.5;2198.6;21.58;21.1;0.994
245.8;2444.4;23.99;22.2;1.046
m,понижение;;P;n,mm;dl,mm
245.8;2444.4;23.99;22.2;1.046
245.5;2198.6;21.58;21.1;0.994
246.1;1953.1;19.17;20;0.942
245.7;1707;16.76;18.9;0.890
245.7;1461.3;14.34;17.6;0.829
245.6;1215.6;11.93;16.5;0.777
246.1;970;9.52;15.2;0.716
245.2;723.9;7.11;14.2;0.669
478.7;478.7;4.70;12.6;0.593
