m;\Delta y, 0.05 mm;P;\Delta y_{max};m, при убывании;\Delta y;P;\Delta y_{max};m;\Delta y;сумм М;\Delta y_{max}
482.5;1.15;4.736;1.15;478.2;-1.17;28.885;7.21;482.5;1.15;4.736;1.15
503.1;1.23;9.674;2.38;511;-1.24;24.191;6.04;503.1;1.22;9.674;2.37
501.3;1.28;14.595;3.66;466.7;-1.13;19.176;4.8;501.3;1.25;14.595;3.62
466.7;1.14;19.176;4.8;501.3;-1.23;14.595;3.67;466.7;1.13;19.176;4.75
511;1.25;24.191;6.05;503.1;-1.23;9.674;2.44;511;1.23;24.191;5.98
478.2;1.16;28.885;7.21;482.5;1.14;4.736;1.21;478.2;1.12;28.885;7.1
;;;;;;;;;;;
m,сталь;\Delta y, 0.05 mm;;\Delta y_{max};;;;;;;;
482.5;0.65;4.736;0.65;;;;;;;;
503.1;0.7;9.674;1.35;;;;;;;;
501.3;0.67;14.595;2.02;;;;;;;;
466.7;0.63;19.176;2.65;;;;;;;;
511;0.7;24.191;3.35;;;;;;;;
478.2;0.65;28.885;4;;;;;;;;
