N,T1,T2,dT,T,A
0,"0,602568765819072","0,605171055498751","0,00260228967967951",0,"147,66879168968"
1,"2,23900920229974","2,24161987294457","0,00261067064483146","3,27288925392648","146,722199310023"
2,"3,72593657285573","3,72855730065874","0,0026207278030138","2,97386479827017","145,598254267253"
3,"5,13309307899898","5,13572302586366","0,00262994686468094","2,81432223134816","144,579278045269"
4,"6,47768987076552","6,48032903669187","0,00263916592634808","2,68920280259475","143,570961540614"
5,"7,78038099867581","7,78302938366382","0,00264838498801522","2,60539147488225","142,573156585483"
6,"9,04409728624348","9,04675489029317","0,00265760404968236","2,52744179419702","141,58571757753"
7,"10,2798705978981","10,2825382591059","0,0026676612078647","2,47155668046732","140,520165634094"
8,"11,4870438659716","11,4897207462411","0,00267688026953184","2,41435575520877","139,55394138744"
9,"12,673963693659","12,6766497929902","0,00268609933119898","2,37384887443638","138,597648701205"
10,"13,8381241723797","13,8408211669656","0,00269699458589651","2,32833185269616","137,480103604608"
11,"14,9867153321377","14,9894215457852","0,00270621364756365","2,29719153857758","136,545012089936"
12,"16,1163906535477","16,1191069243534","0,00271627080574599","2,25936069997821","135,535751523622"
13,"17,2335314034764","17,2362568933438","0,00272548986741313","2,23429071891919","134,620393732535"
14,"18,3344918620828","18,3372265710119","0,00273470892908027","2,20193013627449","133,714277701425"
15,"19,4251898288607","19,4279337568514","0,00274392799074741","2,18140515261738","132,817279437146"
16,"20,5016041167301","20,5043589399755","0,00275482324544495","2,15283947099348","131,768779129998"
17,"21,5694354581874","21,5721995004945","0,00276404230711209","2,13567190197623","130,89125375432"
18,"22,6244866658844","22,6272599272532","0,00277326136877923","2,11011163445582","130,022465210908"
19,"23,672393938886","23,6751764193164","0,00278248043044637","2,09582376506479","129,162297902453"
20,"24,7087882800583","24,711580817647","0,00279253758862871","2,07279873950284","128,233632504623"
21,"25,7390972024338","25,7418989590841","0,00280175665029585","2,06062706381267","127,391126224526"
22,"26,7588410801388","26,7616528939473","0,00281181380847818","2,0394978125681","126,481463251903"
23,"27,7733912737391","27,7762106304162","0,00281935667711494","2,02910793006923","125,805594982758"
24,"28,778102214251","28,7809324661828","0,00283025193181247","2,00943277627852","124,83886427451"
