N,T1,T2,dT,T
0,3260088,3263376,3288,
1,5218205,5221510,3305,3916251
2,6997098,7000420,3322,3557803
3,8673779,8677118,3339,3353379
4,10277434,10280790,3356,3207327
5,11826359,11829732,3373,3097867
6,13328608,13331999,3391,3004516
7,14794528,14797937,3409,2931858
8,16226715,16230143,3428,2864393
9,17632326,17635770,3444,2811238
10,19011561,19015024,3463,2758489
11,20370407,20373886,3479,2717708
12,21707727,21711224,3497,2674658
13,23028546,23032059,3513,2641654
14,24331178,24334710,3532,2605283
15,25620212,25623761,3549,2578085
16,26893574,26897140,3566,2546741
17,28155265,28158848,3583,2523399
18,29403362,29406963,3601,2496212
19,30641444,30645062,3618,2476181
20,31867431,31871068,3637,2451993
21,33084853,33088506,3653,2434860
22,34291269,34294939,3670,2412849
23,35490201,35493889,3688,2397882
24,36679127,36682832,3705,2377869
25,37861368,37865090,3722,2364499
26,39034509,39038248,3739,2346299
27,40201630,40205387,3757,2334260
28,41360191,41363964,3773,2317138
29,42513596,42517388,3792,2306829
30,43659052,43662861,3809,2290929
31,44799797,44803623,3826,2281507
32,45933106,45936951,3845,2266637
33,47062159,47066020,3861,2258122
34,48184272,48188151,3879,2244244
35,49302613,49306510,3897,2236700
36,50414300,50418214,3914,2223391
37,51522674,51526606,3932,2216766
38,52624733,52628681,3948,2204134
39,53723862,53727828,3966,2198276
40,54816927,54820909,3982,2186146
41,55907404,55911403,3999,2180971
42,56992094,56996111,4017,2169398
43,58074446,58078479,4033,2164720
44,59151198,59155248,4050,2153521
45,60225842,60229911,4069,2149307
46,61295093,61299178,4085,2138518
47,62362465,62366569,4104,2134763
48,63424690,63428811,4121,2124467
49,64485182,64489320,4138,2121001
50,65540737,65544891,4154,2111126
51,66594805,66598977,4172,2108154
52,67644019,67648209,4190,2098446
53,68691979,68696186,4207,2095937
54,69735178,69739403,4225,2086416
55,70777300,70781542,4242,2084261
56,71814867,71819126,4259,2075151
57,72851435,72855712,4277,2073154
58,73883582,73887877,4295,2064312
59,74914913,74919226,4313,2062680
60,75941944,75946273,4329,2054078
61,76968290,76972638,4348,2052711
62,77990436,77994801,4365,2044309
63,79011958,79016339,4381,2043060
64,80029460,80033858,4398,2035021
65,81046480,81050896,4416,2034058
66,82059485,82063918,4433,2026027
67,83072199,83076650,4451,2025446
68,84080935,84085405,4470,2017491
69,85089530,85094016,4486,2017206
70,86094170,86098672,4502,2009296
71,87098737,87103259,4522,2009154
72,88099494,88104031,4537,2001529
73,89100262,89104817,4555,2001554
74,90097280,90101852,4572,1994053
75,91094341,91098932,4591,1994141
76,92087723,92092330,4607,1986780
77,93081249,93085874,4625,1987070
78,94071176,94075818,4642,1979871
79,95061341,95066000,4659,1980347
80,96047908,96052585,4677,1973152
81,97034823,97039516,4693,1973846
82,98018187,98022898,4711,1966746
83,99001984,99006712,4728,1967611
84,99982287,99987031,4744,1960622
85,100963066,100967828,4762,1961576
86,101940375,101945155,4780,1954636
87,102918215,102923012,4797,1955697
88,103892604,103897419,4815,1948796
89,104867588,104872421,4833,1949986
90,105839196,105844048,4852,1943235
91,106811466,106816334,4868,1944556
92,107780381,107785267,4886,1937848
93,108750011,108754915,4904,1939278
94,109716316,109721237,4921,1932627
95,110683366,110688305,4939,1934118
96,111647131,111652087,4956,1927547
97,112611772,112616744,4972,1929298
98,113573138,113578128,4990,1922750
99,114535397,114540405,5008,1924536
100,115494426,115499451,5025,1918075
101,116454392,116459435,5043,1919950
102,117411179,117416238,5059,1913590
103,118368889,118373965,5076,1915437
104,119323415,119328511,5096,1909072
105,120278969,120284082,5113,1911125
106,121231339,121236468,5129,1904756
107,122184778,122189925,5147,1906896
108,123135009,123140174,5165,1900480
109,124086375,124091557,5182,1902749
110,125034559,125039758,5199,1896385
111,125983929,125989148,5219,1898760
112,126930057,126935294,5237,1892274
113,127877441,127882694,5253,1894784
114,128821753,128827025,5272,1888643
115,129767310,129772598,5288,1891130
116,130709725,130715032,5307,1884849
117,131653481,131658806,5325,1887530
118,132594082,132599423,5341,1881218
119,133536033,133541393,5360,1883921
120,134474851,134480230,5379,1877655
121,135415068,135420464,5396,1880451
122,136352119,136357532,5413,1874119
123,137290665,137296096,5431,1877110
124,138226017,138231468,5451,1870724
125,139162948,139168416,5468,1873879
126,140096648,140102132,5484,1867416
127,141031927,141037431,5504,1870578
128,141964034,141969555,5521,1864231
129,142897796,142903334,5538,1867541
130,143828375,143833932,5557,1861177
131,144760605,144766181,5576,1864479
132,145689662,145695254,5592,1858130
133,146620401,146626013,5612,1861498
134,147547965,147553594,5629,1855145
135,148477229,148482876,5647,1858546
136,149403358,149409022,5664,1852275
137,150331234,150336918,5684,1855772
138,151255978,151261678,5700,1849504
139,152182493,152188212,5719,1853049
140,153105851,153111587,5736,1846733
