Данные измерений. Отсчеты таймера. 1193180 отсчетов - 1 секунда.
Всего проведено измерений:  305 
T1 - момент нарушения оптического тракта.
 T2 - момент восстановления оптического тракта.
 #N |   T1   |   T2  |   dT |   T  |  
 0 , 888941,  892502,  3561 
1 , 2970338,  2973922,  3584 , 4162817 
2 , 4856794,  4860399,  3605 , 3772933 
3 , 6632425,  6636052,  3627 , 3551284 
4 , 8329614,  8333263,  3649 , 3394400 
5 , 9967553,  9971225,  3672 , 3275901 
6 , 11557408,  11561102,  3694 , 3179732 
7 , 13107651,  13111366,  3715 , 3100507 
8 , 14623368,  14627105,  3737 , 3031456 
9 , 16109824,  16113582,  3758 , 2972933 
10 , 17569801,  17573581,  3780 , 2919976 
11 , 19006766,  19010568,  3802 , 2873952 
12 , 20422237,  20426063,  3826 , 2830966 
13 , 21818991,  21822836,  3845 , 2793527 
14 , 23197939,  23201808,  3869 , 2757920 
15 , 24561177,  24565067,  3890 , 2726497 
16 , 25909019,  25912931,  3912 , 2695706 
17 , 27243264,  27247196,  3932 , 2668510 
18 , 28564516,  28568470,  3954 , 2642526 
19 , 29874266,  29878242,  3976 , 2619522 
20 , 31172192,  31176191,  3999 , 2595875 
21 , 32459867,  32463886,  4019 , 2575370 
22 , 33737266,  33741306,  4040 , 2554819 
23 , 35005551,  35009614,  4063 , 2536593 
24 , 36264438,  36268523,  4085 , 2517796 
25 , 37515399,  37519503,  4104 , 2501941 
26 , 38757638,  38761766,  4128 , 2484502 
27 , 39992550,  39996700,  4150 , 2469846 
28 , 41219723,  41223895,  4172 , 2454368 
29 , 42440345,  42444538,  4193 , 2441265 
30 , 43653627,  43657841,  4214 , 2426585 
31 , 44861110,  44865346,  4236 , 2414988 
32 , 46061838,  46066095,  4257 , 2401477 
33 , 47257144,  47261424,  4280 , 2390635 
34 , 48446244,  48450545,  4301 , 2378221 
35 , 49630345,  49634667,  4322 , 2368223 
36 , 50808593,  50812938,  4345 , 2356519 
37 , 51982289,  51986656,  4367 , 2347414 
38 , 53150485,  53154875,  4390 , 2336415 
39 , 54314423,  54318834,  4411 , 2327897 
40 , 55473257,  55477690,  4433 , 2317690 
41 , 56628180,  56632634,  4454 , 2309867 
42 , 57778301,  57782778,  4477 , 2300265 
43 , 58924720,  58929217,  4497 , 2292858 
44 , 60066564,  60071084,  4520 , 2283711 
45 , 61205068,  61209611,  4543 , 2277031 
46 , 62339203,  62343768,  4565 , 2268292 
47 , 63470244,  63474828,  4584 , 2262101 
48 , 64597145,  64601753,  4608 , 2253826 
49 , 65721095,  65725724,  4629 , 2247921 
50 , 66841226,  66845877,  4651 , 2240284 
51 , 67958571,  67963244,  4673 , 2234712 
52 , 69072312,  69077007,  4695 , 2227504 
53 , 70183438,  70188156,  4718 , 2222275 
54 , 71291048,  71295786,  4738 , 2215240 
55 , 72396278,  72401039,  4761 , 2210483 
56 , 73498089,  73502872,  4783 , 2203644 
57 , 74597703,  74602507,  4804 , 2199249 
58 , 75694036,  75698863,  4827 , 2192689 
59 , 76788286,  76793135,  4849 , 2188522 
60 , 77879351,  77884221,  4870 , 2182151 
61 , 78968542,  78973434,  4892 , 2178404 
62 , 80054694,  80059607,  4913 , 2172325 
63 , 81139043,  81143977,  4934 , 2168719 
64 , 82220500,  82225458,  4958 , 2162938 
65 , 83300212,  83305189,  4977 , 2159443 
66 , 84377167,  84382166,  4999 , 2153932 
67 , 85452471,  85457493,  5022 , 2150631 
68 , 86525087,  86530131,  5044 , 2145254 
69 , 87596176,  87601241,  5065 , 2142199 
70 , 88664675,  88669762,  5087 , 2137020 
71 , 89731722,  89736832,  5110 , 2134117 
72 , 90796258,  90801390,  5132 , 2129094 
73 , 91859461,  91864614,  5153 , 2126427 
74 , 92920170,  92925346,  5176 , 2121441 
75 , 93979619,  93984817,  5198 , 2118920 
76 , 95036721,  95041940,  5219 , 2114225 
77 , 96092634,  96097874,  5240 , 2111847 
78 , 97146237,  97151499,  5262 , 2107228 
79 , 98198729,  98204014,  5285 , 2105007 
80 , 99248913,  99254219,  5306 , 2100389 
81 , 100298170,  100303498,  5328 , 2098536 
82 , 101345098,  101350450,  5352 , 2093880 
83 , 102391170,  102396543,  5373 , 2092165 
84 , 103434970,  103440366,  5396 , 2087623 
85 , 104478051,  104483467,  5416 , 2086182 
86 , 105518847,  105524287,  5440 , 2081616 
87 , 106558997,  106564458,  5461 , 2080321 
88 , 107596946,  107602430,  5484 , 2075921 
89 , 108634260,  108639766,  5506 , 2074650 
90 , 109669407,  109674935,  5528 , 2070316 
91 , 110703953,  110709504,  5551 , 2069115 
92 , 111736350,  111741926,  5576 , 2064819 
93 , 112768247,  112773842,  5595 , 2063813 
94 , 113798023,  113803642,  5619 , 2059576 
95 , 114827287,  114832928,  5641 , 2058550 
96 , 115854520,  115860184,  5664 , 2054489 
97 , 116881317,  116887002,  5685 , 2053615 
98 , 117906098,  117911807,  5709 , 2049586 
99 , 118930474,  118936205,  5731 , 2048774 
100 , 119952874,  119958629,  5755 , 2044824 
101 , 120974911,  120980688,  5777 , 2044096 
102 , 121995007,  122000806,  5799 , 2040214 
103 , 123014794,  123020614,  5820 , 2039595 
104 , 124032654,  124038497,  5843 , 2035743 
105 , 125050277,  125056144,  5867 , 2035270 
106 , 126065992,  126071880,  5888 , 2031451 
107 , 127081532,  127087442,  5910 , 2031102 
108 , 128095216,  128101148,  5932 , 2027390 
109 , 129108749,  129114704,  5955 , 2027089 
110 , 130120444,  130126421,  5977 , 2023412 
111 , 131132009,  131138009,  6000 , 2023153 
112 , 132141757,  132147780,  6023 , 2019519 
113 , 133151448,  133157493,  6045 , 2019404 
114 , 134159274,  134165342,  6068 , 2015675 
115 , 135167146,  135173236,  6090 , 2015766 
116 , 136173136,  136179250,  6114 , 2012004 
117 , 137179227,  137185362,  6135 , 2012203 
118 , 138183446,  138189603,  6157 , 2008460 
119 , 139187791,  139193970,  6179 , 2008712 
120 , 140190280,  140196483,  6203 , 2005002 
121 , 141192889,  141199113,  6224 , 2005239 
122 , 142193686,  142199935,  6249 , 2001619 
123 , 143194639,  143200911,  6272 , 2001929 
124 , 144193830,  144200124,  6294 , 1998404 
125 , 145193151,  145199465,  6314 , 1998662 
126 , 146190734,  146197072,  6338 , 1995190 
127 , 147188514,  147194875,  6361 , 1995583 
128 , 148184535,  148190920,  6385 , 1992066 
129 , 149180802,  149187210,  6408 , 1992557 
130 , 150175325,  150181757,  6432 , 1989070 
131 , 151170093,  151176547,  6454 , 1989558 
132 , 152163137,  152169614,  6477 , 1986111 
133 , 153156462,  153162963,  6501 , 1986674 
134 , 154148078,  154154601,  6523 , 1983254 
135 , 155139981,  155146527,  6546 , 1983829 
136 , 156130215,  156136783,  6568 , 1980490 
137 , 157120730,  157127322,  6592 , 1981054 
138 , 158109576,  158116190,  6614 , 1977714 
139 , 159098740,  159105378,  6638 , 1978352 
140 , 160086207,  160092867,  6660 , 1974956 
141 , 161074053,  161080738,  6685 , 1975717 
142 , 162060252,  162066958,  6706 , 1972419 
143 , 163046794,  163053525,  6731 , 1973109 
144 , 164031675,  164038430,  6755 , 1969786 
145 , 165016969,  165023748,  6779 , 1970612 
146 , 166000593,  166007395,  6802 , 1967271 
147 , 166984693,  166991519,  6826 , 1968224 
148 , 167967118,  167973966,  6848 , 1964872 
149 , 168950078,  168956950,  6872 , 1965944 
150 , 169931310,  169938204,  6894 , 1962486 
151 , 170913116,  170920034,  6918 , 1963636 
152 , 171893222,  171900163,  6941 , 1960235 
153 , 172873867,  172880832,  6965 , 1961314 
154 , 173852892,  173859878,  6986 , 1958071 
155 , 174832447,  174839458,  7011 , 1959135 
156 , 175810408,  175817441,  7033 , 1955944 
157 , 176788849,  176795905,  7056 , 1956905 
158 , 177765770,  177772850,  7080 , 1953866 
159 , 178743215,  178750317,  7102 , 1954912 
160 , 179719111,  179726237,  7126 , 1951816 
161 , 180695574,  180702723,  7149 , 1952949 
162 , 181670472,  181677642,  7170 , 1949817 
163 , 182645972,  182653165,  7193 , 1951023 
164 , 183619898,  183627116,  7218 , 1947877 
165 , 184594448,  184601690,  7242 , 1949124 
166 , 185567436,  185574700,  7264 , 1945998 
167 , 186541041,  186548327,  7286 , 1947232 
168 , 187513056,  187520367,  7311 , 1944055 
169 , 188485725,  188493057,  7332 , 1945359 
170 , 189456822,  189464178,  7356 , 1942218 
171 , 190428611,  190435989,  7378 , 1943600 
172 , 191398817,  191406220,  7403 , 1940437 
173 , 192369755,  192377180,  7425 , 1941898 
174 , 193339081,  193346531,  7450 , 1938677 
175 , 194309161,  194316633,  7472 , 1940182 
176 , 195277627,  195285123,  7496 , 1936956 
177 , 196246829,  196254346,  7517 , 1938425 
178 , 197214451,  197221994,  7543 , 1935270 
179 , 198182843,  198190406,  7563 , 1936804 
180 , 199149642,  199157231,  7589 , 1933624 
181 , 200117217,  200124828,  7611 , 1935172 
182 , 201083223,  201090859,  7636 , 1932037 
183 , 202050014,  202057671,  7657 , 1933603 
184 , 203015214,  203022896,  7682 , 1930425 
185 , 203981220,  203988924,  7704 , 1932034 
186 , 204945627,  204953355,  7728 , 1928838 
187 , 205910884,  205918637,  7753 , 1930539 
188 , 206874511,  206882286,  7775 , 1927276 
189 , 207839024,  207846823,  7799 , 1929050 
190 , 208801899,  208809723,  7824 , 1925775 
191 , 209765678,  209773525,  7847 , 1927581 
192 , 210727817,  210735688,  7871 , 1924302 
193 , 211690878,  211698773,  7895 , 1926146 
194 , 212652296,  212660215,  7919 , 1922860 
195 , 213614617,  213622559,  7942 , 1924665 
196 , 214575303,  214583271,  7968 , 1921398 
197 , 215536952,  215544942,  7990 , 1923320 
198 , 216496930,  216504943,  8013 , 1919979 
199 , 217457904,  217465942,  8038 , 1921973 
200 , 218417229,  218425291,  8062 , 1918674 
201 , 1002868,  1012640,  9772 , 8155107580 
202 , 1946104,  1955904,  9800 , 1886500 
203 , 2887643,  2897469,  9826 , 1883104 
204 , 3830603,  3840453,  9850 , 1885944 
205 , 4771737,  4781614,  9877 , 1882295 
206 , 5714317,  5724217,  9900 , 1885183 
207 , 6655109,  6665036,  9927 , 1881611 
208 , 7597359,  7607312,  9953 , 1884526 
209 , 8537820,  8547797,  9977 , 1880946 
210 , 9479761,  9489763,  10002 , 1883907 
211 , 10419899,  10429927,  10028 , 1880302 
212 , 11361534,  11371586,  10052 , 1883294 
213 , 12301288,  12311368,  10080 , 1879536 
214 , 13242575,  13252678,  10103 , 1882597 
215 , 14181990,  14192120,  10130 , 1878857 
216 , 15122991,  15133143,  10152 , 1882024 
217 , 16062089,  16072270,  10181 , 1878225 
218 , 17002738,  17012941,  10203 , 1881320 
219 , 17941519,  17951749,  10230 , 1877589 
220 , 18881886,  18892138,  10252 , 1880756 
221 , 19820327,  19830607,  10280 , 1876910 
222 , 20760377,  20770682,  10305 , 1880125 
223 , 21698524,  21708854,  10330 , 1876319 
224 , 22638268,  22648622,  10354 , 1879512 
225 , 23576093,  23586474,  10381 , 1875677 
226 , 24515523,  24525930,  10407 , 1878886 
227 , 25453065,  25463499,  10434 , 1875111 
228 , 26392228,  26402684,  10456 , 1878348 
229 , 27329447,  27339931,  10484 , 1874466 
230 , 28268273,  28278780,  10507 , 1877675 
231 , 29205197,  29215733,  10536 , 1873877 
232 , 909404,  925003,  15599 , 8533348069 
233 , 1832505,  1848138,  15633 , 1846236 
234 , 2753502,  2769166,  15664 , 1842025 
235 , 3676430,  3692120,  15690 , 1845882 
236 , 4597514,  4613231,  15717 , 1842195 
237 , 5520347,  5536092,  15745 , 1845694 
238 , 6441302,  6457082,  15780 , 1841945 
239 , 7364032,  7379837,  15805 , 1845485 
240 , 8284968,  8300805,  15837 , 1841904 
241 , 9207597,  9223460,  15863 , 1845284 
242 , 10128376,  10144268,  15892 , 1841587 
243 , 11050927,  11066848,  15921 , 1845131 
244 , 11971625,  11987576,  15951 , 1841426 
245 , 12894048,  12910026,  15978 , 1844873 
246 , 13814685,  13830693,  16008 , 1841304 
247 , 14737044,  14753081,  16037 , 1844747 
248 , 15657554,  15673621,  16067 , 1841050 
249 , 16579829,  16595925,  16096 , 1844579 
250 , 17500261,  17516386,  16125 , 1840893 
251 , 18422444,  18438596,  16152 , 1844393 
252 , 19342770,  19358951,  16181 , 1840681 
253 , 20264892,  20281103,  16211 , 1844274 
254 , 21185132,  21201373,  16241 , 1840510 
255 , 22107190,  22123458,  16268 , 1844143 
256 , 23027350,  23043648,  16298 , 1840350 
257 , 23949296,  23965621,  16325 , 1843919 
258 , 24869384,  24885738,  16354 , 1840205 
259 , 25791268,  25807649,  16381 , 1843795 
260 , 26711272,  26727682,  16410 , 1840037 
261 , 27633069,  27649507,  16438 , 1843622 
262 , 28552994,  28569462,  16468 , 1839880 
263 , 1273100,  1329976,  56876 , 8535415212 
264 , 2188112,  2245185,  57073 , 1830221 
265 , 3094066,  3151234,  57168 , 1812003 
266 , 4009598,  4066856,  57258 , 1831154 
267 , 4915593,  4972942,  57349 , 1812081 
268 , 5831230,  5888668,  57438 , 1831363 
269 , 6737235,  6794780,  57545 , 1812117 
270 , 7652842,  7710469,  57627 , 1831296 
271 , 8558926,  8616652,  57726 , 1812267 
272 , 9474526,  9532333,  57807 , 1831281 
273 , 10380559,  10438455,  57896 , 1812155 
274 , 11296197,  11354173,  57976 , 1831356 
275 , 12202170,  12260228,  58058 , 1812028 
276 , 13117818,  13175949,  58131 , 1831369 
277 , 14023838,  14082053,  58215 , 1812124 
278 , 14939498,  14997785,  58287 , 1831392 
279 , 15845588,  15903968,  58380 , 1812273 
280 , 16761133,  16819591,  58458 , 1831168 
281 , 17667227,  17725775,  58548 , 1812278 
282 , 18582807,  18641424,  58617 , 1831229 
283 , 19488916,  19547629,  58713 , 1812314 
284 , 1612795,  1698996,  86201 , 8554209838 
285 , 2529370,  2615813,  86443 , 1833392 
286 , 3435416,  3521914,  86498 , 1812147 
287 , 4352784,  4439498,  86714 , 1834952 
288 , 5257104,  5343907,  86803 , 1808729 
289 , 6175691,  6262637,  86946 , 1837317 
290 , 7080032,  7167176,  87144 , 1808880 
291 , 7997788,  8084970,  87182 , 1835550 
