m_pod;m_1;m_2;m;rho;n;L;nu
119.9;494.6;481.8;1096.3;568.4;1;50.3;141.16
119.9;494.6;481.8;1096.3;568.4;3;50.3;414.4
119.9;494.6;481.8;1096.3;568.4;5;50.3;695.9
119.9;494.6;481.8;1096.3;568.4;7;50.3;965.9
119.9;494.6;481.8;1096.3;568.4;9;50.3;1272.12
119.9;494.6;481.8;1096.3;568.4;2;50.3;283.26
119.9;494.6;481.8;1096.3;568.4;4;50.3;568.16
119.9;494.6;481.8;1096.3;568.4;0.5;50.3;70.82
119.9;494.6;964.2;1578.7;568.4;1;50.3;161.49
119.9;494.6;964.2;1578.7;568.4;3;50.3;491.54
119.9;494.6;964.2;1578.7;568.4;5;50.3;824.02
119.9;494.6;964.2;1578.7;568.4;2;50.3;327.1
119.9;0;482.4;602.3;568.4;2;50.3;200.54
119.9;0;482.4;602.3;568.4;1;50.3;102.41
119.9;0;482.4;602.3;568.4;3;50.3;306.81
119.9;0;482.4;602.3;568.4;5;50.3;510.33
119.9;338;482.4;940.3;568.4;1;50.3;128.2
119.9;338;482.4;940.3;568.4;3;50.3;384.76
119.9;338;482.4;940.3;568.4;5;50.3;647.31
119.9;338;482.4;940.3;568.4;2;50.3;257.77
119.9;825.4;482.4;1427.7;568.4;1;50.3;158.36
119.9;825.4;482.4;1427.7;568.4;3;50.3;476.9
119.9;825.4;482.4;1427.7;568.4;5;50.3;796.81
119.9;825.4;482.4;1427.7;568.4;2;50.3;318.16
