measurement_number,temperature,frequency
1,23.5,448
2,23.5,660
3,23.5,874
4,23.5,1088
5,23.5,1306
6,23.5,1522
7,23.5,1738
8,23.5,1954
9,23.5,2170
10,23.5,2387
1,35,456
2,35,671
3,35,890
4,35,1109
5,35,1330
6,35,1550
7,35,1771
8,35,1989
9,35,2210
10,35,2431
1,43,462
2,43,679
3,43,899
4,43,1121
5,43,1345
6,43,1568
7,43,1791
8,43,2014
9,43,2238
10,43,2462
1,49,466
2,49,687
3,49,908
4,49,1134
5,49,1359
6,49,1584
7,49,1810
8,49,2034
9,49,2259
10,49,2485
1,57,472
2,57,694
3,57,920
4,57,1146
5,57,1376
6,57,1604
7,57,1831
8,57,2058
9,57,2286
10,57,2515
