measurement_number,23.5,23.5shifted,35.0,35.0shifted,43.0,43.0shifted,49.0,49.0shifted,57.0,57.0shifted
1,448,0,456,0,462,0,466,0,472,0
2,660,212,671,215,679,217,687,221,694,222
3,874,426,890,434,899,437,908,442,920,448
4,1088,640,1109,653,1121,659,1134,668,1146,674
5,1306,858,1330,874,1345,883,1359,893,1376,904
6,1522,1074,1550,1094,1568,1106,1584,1118,1604,1132
7,1738,1290,1771,1315,1791,1329,1810,1344,1831,1359
8,1954,1506,1989,1533,2014,1552,2034,1568,2058,1586
9,2170,1722,2210,1754,2238,1776,2259,1793,2286,1814
10,2387,1939,2431,1975,2462,2000,2485,2019,2515,2043
