t,V
0,-30
0.5,-30.4
1,-31.2
1.5,-30
2,-30
2.5,-30
3,-30
3.5,-21.2
4,-9.2
4.5,2.8
5,10.8
5.5,25.6
6,32
6.5,48
7,55.6
7,56.4
7.5,54.8
8,54.4
8.5,52.4
9,52.4
9.5,52.4
10,54
10.5,51.2
11,48.8
11.5,50.4
12,49.6
12.5,48.8
13,46.8
13.5,46.4
14,48
14.5,43.2
15,41.6
15.5,44
16,42
16.5,42.4
17,38
17.5,38
18,40.4
18.5,39.2
19,39.6
19.5,38
20,34.8
20.5,37.2
21,35.6
21.5,32
22,36.4
22.5,33.6
23,32.8
23.5,31.6
24,27.2
24.5,30.4
25,33.2
25.5,32.4
26,27.2
26.5,27.6
27,25.6
27.5,23.2
28,25.2
28.5,26.8
29,26.4
29.5,27.2
30,23.2
30.5,24
31,22.4
31.5,25.2
32,23.6
32.5,22.4
33,22.4
33.5,20.4
34,20.4
34.5,20
35,21.6
35.5,16
36,16.8
36.5,14.4
37,16.8
37.5,19.6
38,17.2
38.5,17.2
39,16.4
39.5,16.4
40,12.8
40.5,10.4
41,12.4
41.5,14.4
42,13.2
42.5,12.8
43,8.4
43.5,8.4
44,10
44.5,11.6
45,10
45.5,8
46,3.2
46.5,11.2
47,8.8
47.5,7.2
48,7.6
48.5,10
49,6.8
49.5,6.8
50,9.6
50.5,5.2
51,4.4
51.5,2
52,5.2
52.5,4.4
53,1.6
53.5,1.6
54,0.4
54.5,4.8
55,-0.4
55.5,1.6
56,0.4
56.5,0.8
57,-0.4
57.5,-1.2
58,0.8
58.5,-2.4
59,-1.6
59.5,-3.2
60,-2.8
60.5,-4.4
61,-1.6
61.5,-2.4
62,-3.2
62.5,-0.8
63,-0.8
63.5,-6.4
64,-7.6
64.5,-3.6
65,-3.2
65.5,-8
66,-1.6
66.5,-8
67,-7.6
67.5,-0.8
68,-8
68.5,-6.8
69,-7.6
69.5,-8.4
70,-7.2
70.5,-9.6
71,-6.8
71.5,-8.8
72,-6.8
72.5,-10
73,-10.4
73.5,-12
74,-11.6
74.5,-12.8
75,-10.8
75.5,-13.2
76,-12.8
76.5,-7.6
77,-11.6
77.5,-12
78,-12
78.5,-11.6
79,-16
79.5,-13.6
80,-10.8
80.5,-13.2
81,-14
81.5,-14.4
82,-12.4
82.5,-14.8
83,-16
83.5,-14.8
84,-15.6
84.5,-14.4
85,-17.6
85.5,-15.2
86,-16.4
86.5,-14.8
87,-17.6
87.5,-18
88,-17.2
88.5,-18.4
89,-17.2
89.5,-17.6
90,-15.2
90.5,-17.2
91,-18.8
91.5,-18.4
92,-18.8
92.5,-18
93,-17.6
93.5,-18.4
94,-18.4
94.5,-19.6
95,-20
95.5,-17.6
96,-18.4
96.5,-18.8
97,-21.2
