t (s),V (mV)
0,11.943
1.05,11.9118
2.1,12.4221
3.149,12.6148
4.153,12.6847
5.153,12.7012
6.154,12.6986
7.153,12.6692
8.153,12.653
9.153,12.6764
10.153,12.6242
11.153,12.6385
12.154,12.6423
13.153,12.5831
14.153,12.5671
15.153,12.5416
16.154,12.5245
17.153,12.5459
18.153,12.5151
19.153,12.4674
20.153,12.4373
21.154,12.4202
22.153,12.4036
23.154,12.3612
24.153,12.3474
25.153,12.3511
26.153,12.3063
27.153,12.258
28.154,12.2409
29.153,12.2437
30.153,12.2041
31.153,12.1879
32.153,12.1662
33.153,12.1289
34.154,12.1152
35.153,12.1267
36.153,12.0994
37.153,12.074
38.154,12.0776
39.153,12.0614
40.154,12.033
41.153,12.016
42.153,12.0089
43.153,11.977
44.153,11.963
45.153,11.9569
46.153,11.9518
47.154,11.9459
48.153,11.9127
49.153,11.8781
50.153,11.8772
51.153,11.8938
52.153,11.8271
53.153,11.8064
54.153,11.8022
55.154,11.8089
56.153,11.773
57.153,11.7391
58.153,11.7191
59.153,11.7099
60.153,11.6917
61.153,11.6837
62.153,11.661
63.153,11.6563
64.154,11.6155
65.158,11.6017
66.153,11.5814
67.153,11.574
68.153,11.5527
69.153,11.5225
70.153,11.5114
71.153,11.5348
72.154,11.4927
73.153,11.4831
74.154,11.486
75.153,11.4243
76.153,11.4102
77.153,11.4067
78.154,11.3942
79.154,11.3708
80.153,11.3675
81.153,11.338
82.153,11.3194
83.153,11.3015
84.154,11.2599
85.153,11.2559
86.154,11.2554
87.153,11.252
88.154,11.2155
89.153,11.2028
90.153,11.2144
91.153,11.2145
92.153,11.1608
93.153,11.1345
94.154,11.1297
95.154,11.1172
96.153,11.0944
97.154,11.1062
98.154,11.0893
99.153,11.0718
100.153,11.0604
101.154,11.0239
102.153,11.0012
103.153,11.0235
104.154,11.0121
105.153,11.0039
106.153,10.9628
107.154,10.9603
108.154,10.9367
109.153,10.9464
110.153,10.9142
111.154,10.8755
112.153,10.8599
113.153,10.9014
114.153,10.8666
115.153,10.8538
116.153,10.8408
117.153,10.8183
118.153,10.8027
119.153,10.8174
120.153,10.7611
121.154,10.7578
122.153,10.7492
123.154,10.7284
124.153,10.7172
125.158,10.7067
126.154,10.6893
127.154,10.6995
128.153,10.6676
129.153,10.6358
130.153,10.697
131.154,10.6378
132.153,10.6175
133.153,10.6219
134.153,10.6001
135.152,10.5798
136.152,10.5702
137.153,10.5895
138.152,10.5592
139.152,10.5484
140.152,10.5313
141.152,10.5594
142.152,10.5013
143.152,10.4937
144.152,10.4866
145.152,10.468
146.153,10.4598
147.152,10.4524
148.152,10.4296
149.152,10.4279
150.152,10.3818
151.152,10.344
152.152,10.3437
153.152,10.3463
154.153,10.3368
155.152,10.3251
156.152,10.2986
157.152,10.3022
158.153,10.2869
159.152,10.2678
160.152,10.2627
161.152,10.2431
162.153,10.2269
163.152,10.1941
164.152,10.1777
165.152,10.1719
166.152,10.1885
167.152,10.1583
168.153,10.1744
169.152,10.1602
170.152,10.072
171.152,10.1044
172.152,10.1226
173.153,10.1319
174.152,10.1466
175.152,10.1002
176.152,10.0677
177.153,10.0862
178.152,10.0774
179.152,10.0562
180.152,10.0502
181.152,10.0262
182.152,10.017
183.152,10.0349
184.152,10.0324
185.153,9.9933
186.153,9.9659
187.154,9.9488
188.154,9.9251
189.153,9.9439
190.153,9.964
191.153,9.9597
192.153,9.9214
193.154,9.8751
194.153,9.8566
195.154,9.853
196.153,9.8546
197.153,9.8404
198.153,9.8326
199.153,9.8249
200.156,9.7881
201.153,9.8035
202.153,9.7894
203.153,9.7604
204.153,9.748
205.154,9.7584
206.153,9.7487
207.154,9.7624
208.153,9.7608
209.154,9.7118
210.153,9.7002
211.153,9.7081
212.153,9.6689
213.153,9.6692
214.153,9.6459
215.153,9.6421
216.154,9.6197
217.153,9.6103
218.153,9.5969
219.154,9.5889
220.153,9.5769
221.153,9.5857
222.154,9.5647
223.153,9.553
224.153,9.54
225.154,9.5501
226.153,9.5679
227.154,9.5594
228.154,9.5438
229.153,9.4843
230.154,9.4775
231.153,9.4902
232.153,9.4887
233.154,9.4663
234.153,9.4859
235.153,9.4573
236.153,9.4229
237.153,9.3981
238.153,9.41
239.154,9.4208
240.153,9.4118
241.153,9.3823
242.153,9.3567
243.153,9.3668
244.153,9.3319
245.153,9.3328
246.153,9.3269
247.153,9.303
248.154,9.3161
249.153,9.2888
250.153,9.3087
251.153,9.2784
252.154,9.2859
253.154,9.2599
254.154,9.2988
255.153,9.2161
256.153,9.2233
257.154,9.2378
258.153,9.2098
259.153,9.2026
260.153,9.1867
261.153,9.1628
262.153,9.1743
263.153,9.1584
264.153,9.1634
265.153,9.1788
266.153,9.1788
267.153,9.1382
268.153,9.1205
269.153,9.1181
270.153,9.0929
271.153,9.0745
272.153,9.0748
273.154,9.0745
274.153,9.0658
275.154,9.0819
276.153,9.0358
277.153,9.0294
278.153,9.0205
279.153,9.0234
280.153,8.9927
281.153,8.9347
282.153,9.026
283.153,9.0229
284.153,8.9649
285.153,8.9544
286.153,8.9469
287.153,8.9172
288.153,8.9346
289.153,8.8974
290.153,8.8984
291.154,8.8735
292.153,8.9198
293.158,8.8676
294.153,8.8838
295.154,8.8605
296.153,8.8297
297.154,8.8433
298.153,8.8376
299.154,8.7856
300.154,8.7941
301.153,8.7868
302.153,8.753
303.153,8.7657
304.153,8.7539
305.154,8.7679
306.154,8.7682
307.153,8.7571
308.153,8.7195
309.153,8.728
310.153,8.7544
311.154,8.7845
312.153,8.7389
313.153,8.7193
314.153,8.7227
315.154,8.6871
316.153,8.681
317.153,8.686
318.153,8.7045
319.153,8.6814
320.153,8.6677
321.153,8.6652
