t (s),V (mV)
0,5.8917
1.05,5.9157
2.058,5.8764
3.058,5.8572
4.057,5.8357
5.058,5.8061
6.057,5.7845
7.057,5.7606
8.057,5.7313
9.058,5.7042
10.057,5.6694
11.057,5.6452
12.057,5.6211
13.062,5.6039
14.057,5.5656
15.058,5.5447
16.057,5.5113
17.057,5.486
18.057,5.4519
19.057,5.4356
20.057,5.4057
21.058,5.3779
22.057,5.3537
23.057,5.3253
24.057,5.2995
25.058,5.2821
26.057,5.2494
27.057,5.226
28.057,5.2017
29.058,5.177
30.057,5.1516
31.057,5.1247
32.057,5.1026
33.057,5.0771
34.057,5.0519
35.057,5.0281
36.057,5.0013
37.062,4.9776
38.057,4.9512
39.057,4.9253
40.057,4.8978
41.057,4.8757
42.057,4.8465
43.057,4.8247
44.058,4.8041
45.057,4.7826
46.057,4.759
47.058,4.7265
48.057,4.7062
49.058,4.6899
50.057,4.6761
51.058,4.649
52.057,4.6278
53.057,4.6011
54.057,4.5791
55.057,4.5558
56.057,4.5347
57.057,4.5137
58.057,4.4879
59.057,4.4648
60.057,4.4346
61.057,4.4164
62.057,4.4019
63.057,4.3775
64.057,4.3559
65.057,4.3366
66.058,4.3056
67.057,4.2881
68.057,4.2642
69.057,4.2484
70.057,4.2271
71.057,4.2105
72.057,4.1871
73.063,4.1549
74.057,4.1368
75.057,4.1153
76.057,4.0924
77.057,4.0747
78.057,4.0532
79.063,4.0263
80.057,4.001
81.057,3.9831
82.057,3.9691
83.057,3.9459
84.058,3.9273
85.057,3.9145
86.057,3.89
87.057,3.8682
88.058,3.8505
89.057,3.8271
90.057,3.8113
91.063,3.7858
92.057,3.7615
93.057,3.7395
94.058,3.7256
95.057,3.7062
96.057,3.6854
97.063,3.6584
98.057,3.6473
99.057,3.629
100.057,3.5959
101.058,3.5739
102.057,3.5561
103.058,3.5323
104.058,3.5194
105.058,3.5046
106.058,3.4874
107.058,3.4637
108.058,3.4449
109.057,3.4277
110.057,3.4053
111.058,3.3823
112.057,3.3647
113.057,3.3485
114.057,3.3471
115.062,3.32
116.058,3.3027
117.057,3.2867
118.057,3.2673
119.057,3.2459
120.058,3.2183
121.063,3.1941
122.057,3.1837
123.057,3.1692
124.057,3.1524
125.057,3.1321
126.058,3.1099
127.057,3.0916
128.057,3.0781
129.057,3.0579
130.057,3.0367
131.057,3.0252
132.057,3.0032
133.06,2.9898
134.058,2.9707
135.057,2.9602
136.057,2.9401
137.058,2.9225
138.068,2.9012
139.059,2.8827
140.057,2.8618
141.058,2.8458
142.057,2.8279
143.057,2.8065
144.058,2.7886
145.057,2.7708
146.057,2.7574
147.058,2.7384
148.057,2.7255
149.057,2.7074
150.057,2.6899
151.058,2.6728
152.057,2.6549
153.057,2.636
154.057,2.6226
155.057,2.6016
156.059,2.5822
157.058,2.5699
158.058,2.5564
159.057,2.5362
160.057,2.5217
161.057,2.5098
162.057,2.4976
163.057,2.48
164.058,2.4529
165.057,2.4339
166.058,2.4213
167.057,2.4038
168.057,2.395
169.058,2.3733
170.057,2.3593
171.057,2.345
172.057,2.3334
173.057,2.3171
174.057,2.2989
175.057,2.2795
176.057,2.2599
177.057,2.2487
178.057,2.2345
179.057,2.2213
180.057,2.2011
181.057,2.1923
182.057,2.1754
183.057,2.1585
184.057,2.1475
185.057,2.1342
186.058,2.1112
187.057,2.097
188.057,2.0852
189.058,2.0712
190.057,2.0508
191.057,2.0336
192.057,2.0154
193.063,2.0038
194.057,1.9857
195.057,1.965
196.057,1.9562
197.057,1.9376
198.058,1.9218
199.057,1.9074
200.057,1.8893
201.059,1.8772
202.057,1.8641
203.057,1.8483
204.057,1.8368
205.057,1.8219
206.057,1.8096
207.057,1.7864
208.057,1.7732
209.057,1.7539
210.058,1.7437
211.057,1.7337
212.058,1.7164
213.057,1.6967
214.057,1.6817
215.058,1.6757
216.057,1.6601
217.062,1.6471
218.057,1.6393
219.057,1.6182
220.058,1.6117
221.057,1.5959
222.057,1.5861
223.057,1.5648
224.057,1.5577
225.057,1.5438
226.057,1.5292
227.057,1.5134
228.057,1.5011
229.057,1.4863
230.057,1.4718
231.057,1.4638
232.057,1.4476
233.057,1.4297
234.057,1.4188
235.057,1.4032
236.058,1.3963
237.057,1.3761
238.057,1.3734
239.057,1.3565
240.058,1.3443
