t;U
0;12.2758
0.971;12.2582
1.971;12.232
2.971;12.2072
3.971;12.1819
4.972;12.1562
5.972;12.1299
6.972;12.1034
7.972;12.0772
8.972;12.0504
9.972;12.023
10.972;11.9963
11.971;11.9689
12.972;11.9422
13.972;11.9177
14.972;11.8919
15.972;11.8674
16.971;11.8444
17.971;11.8189
18.971;11.7939
19.972;11.77
20.972;11.7457
21.972;11.7214
22.972;11.6968
23.972;11.6723
24.972;11.6497
25.972;11.6252
26.972;11.6019
27.972;11.5779
28.972;11.5547
29.972;11.5315
30.972;11.5096
31.971;11.4886
32.971;11.4645
33.971;11.4418
34.971;11.4171
35.971;11.3942
36.971;11.3705
37.971;11.3473
38.971;11.324
39.972;11.301
40.972;11.2773
41.972;11.2539
42.971;11.2314
43.971;11.2067
44.971;11.1805
45.971;11.1576
46.971;11.1353
47.971;11.1131
48.971;11.0912
49.971;11.0668
50.971;11.044
51.972;11.0214
52.972;10.9976
53.971;10.9747
54.971;10.9516
55.972;10.9298
56.972;10.9076
57.972;10.8848
58.972;10.8636
59.972;10.8408
60.972;10.8191
61.972;10.7959
62.972;10.7747
63.971;10.753
64.971;10.731
65.971;10.7094
66.971;10.6885
67.971;10.6667
68.972;10.6458
69.972;10.6254
70.971;10.6031
71.971;10.5834
72.97;10.5639
73.97;10.5422
74.97;10.5216
75.97;10.5011
76.97;10.4801
77.97;10.46
78.97;10.4394
79.97;10.4176
80.97;10.3969
81.97;10.3762
82.97;10.3555
83.97;10.3344
84.97;10.3133
85.97;10.2927
86.97;10.2711
87.97;10.2499
88.97;10.23
89.97;10.2084
90.97;10.1875
91.97;10.1685
92.97;10.1473
93.97;10.127
94.97;10.1065
95.97;10.0869
96.97;10.0661
97.97;10.0456
98.97;10.0269
99.97;10.0073
100.971;9.9867
101.971;9.967
102.971;9.9472
103.971;9.9276
104.972;9.9069
105.972;9.8876
106.972;9.8668
107.971;9.8488
108.971;9.8279
109.972;9.8088
110.972;9.7897
111.971;9.7701
112.972;9.7497
113.972;9.7303
114.972;9.7119
115.972;9.6913
116.972;9.6728
117.971;9.6539
118.971;9.6323
119.971;9.6145
120.971;9.5944
121.971;9.5751
122.971;9.555
123.972;9.5369
124.972;9.5179
125.972;9.4998
126.971;9.4807
127.971;9.4621
128.972;9.4438
129.972;9.4257
130.972;9.4064
131.971;9.3882
132.971;9.3698
133.972;9.3516
134.971;9.3338
135.971;9.3141
136.972;9.2959
137.971;9.2779
138.971;9.2589
139.972;9.24
140.972;9.2236
141.971;9.2058
142.971;9.1852
143.972;9.1675
144.971;9.149
145.971;9.1315
146.972;9.1124
147.972;9.0936
148.971;9.0766
149.971;9.0553
150.972;9.0347
151.972;9.0174
152.971;9.0014
153.972;8.9828
154.972;8.9646
155.971;8.9474
156.971;8.929
157.972;8.9097
158.972;8.8917
159.971;8.8746
160.971;8.8567
161.972;8.8394
162.972;8.823
163.971;8.8052
164.971;8.788
165.971;8.7706
166.972;8.7528
167.972;8.7357
168.971;8.7188
169.971;8.7011
170.972;8.6841
171.972;8.6673
172.971;8.65
173.972;8.6324
174.972;8.6166
175.971;8.5997
176.971;8.5827
177.972;8.5658
178.972;8.5497
179.971;8.5328
180.972;8.5172
181.972;8.5018
182.971;8.4843
183.972;8.4696
184.971;8.4518
185.971;8.4365
186.972;8.4214
187.971;8.4045
188.971;8.3871
189.972;8.3711
190.972;8.3554
191.971;8.338
192.971;8.3221
193.972;8.3052
194.971;8.2892
195.971;8.273
196.972;8.2564
197.972;8.2408
198.971;8.2252
199.972;8.2084
200.972;8.1917
201.971;8.1755
202.972;8.1604
203.971;8.1432
204.972;8.1278
205.972;8.1126
206.971;8.0959
207.971;8.0802
208.971;8.0624
209.972;8.0463
210.972;8.0299
211.971;8.0157
212.972;7.9982
213.972;7.9807
214.971;7.9666
215.971;7.9492
216.972;7.9337
217.971;7.9177
218.972;7.9012
219.971;7.8857
220.972;7.87
221.972;7.8534
222.972;7.8373
223.971;7.8234
224.972;7.8069
225.972;7.7916
226.971;7.7778
227.972;7.7618
228.971;7.7476
229.972;7.7312
230.972;7.7165
231.971;7.7026
232.972;7.6872
233.971;7.6733
234.972;7.6573
235.971;7.6439
236.972;7.6287
237.971;7.6136
238.972;7.5982
239.972;7.5846
240.971;7.5701
241.972;7.5548
242.971;7.5406
243.972;7.5255
244.971;7.512
245.972;7.4954
246.972;7.4805
247.971;7.466
248.972;7.453
249.972;7.4377
250.971;7.4236
251.972;7.4075
252.972;7.3928
253.972;7.377
254.971;7.3619
255.972;7.3477
256.971;7.3324
257.972;7.3189
258.971;7.3029
259.972;7.2884
260.971;7.2735
261.972;7.2584
262.971;7.2421
263.972;7.2282
264.971;7.2126
265.971;7.1988
266.972;7.1842
267.971;7.1699
268.972;7.1561
269.971;7.1411
270.972;7.128
271.972;7.1139
272.971;7.1002
273.972;7.0856
274.972;7.0717
275.971;7.0582
276.972;7.0443
277.971;7.031
278.972;7.0176
279.971;7.0043
280.972;6.991
281.971;6.9764
282.972;6.9637
283.971;6.9501
284.972;6.9366
285.971;6.9219
286.972;6.9075
287.971;6.8969
288.972;6.8831
