t;U
0;12.4187
0.978;12.4057
1.978;12.3928
2.979;12.3809
3.979;12.3695
4.978;12.3577
5.978;12.3448
6.979;12.3331
7.978;12.3193
8.978;12.3064
9.979;12.2927
10.979;12.2787
11.978;12.2657
12.979;12.2527
13.979;12.2396
14.978;12.2264
15.978;12.2126
16.979;12.1994
17.978;12.185
18.978;12.1711
19.979;12.1567
20.979;12.1431
21.978;12.1298
22.978;12.1172
23.978;12.1031
24.979;12.0893
25.979;12.0751
26.979;12.0616
27.978;12.0476
28.978;12.0346
29.978;12.0217
30.979;12.0081
31.979;11.9954
32.979;11.983
33.978;11.9696
34.978;11.9565
35.978;11.9429
36.978;11.9307
37.978;11.9176
38.978;11.9039
39.978;11.8913
40.978;11.8775
41.978;11.8643
42.979;11.8523
43.979;11.8399
44.978;11.826
45.978;11.8136
46.978;11.7999
47.979;11.7866
48.979;11.7747
49.979;11.763
50.979;11.7502
51.979;11.7377
52.979;11.7251
53.978;11.714
54.978;11.7014
55.978;11.6892
56.978;11.6763
57.978;11.665
58.979;11.655
59.979;11.6428
60.979;11.6312
61.979;11.6192
62.978;11.6073
63.978;11.5957
64.978;11.5835
65.978;11.5712
66.978;11.559
67.978;11.5463
68.979;11.5356
69.979;11.5232
70.979;11.5105
71.979;11.4997
72.979;11.4875
73.978;11.4756
74.978;11.4638
75.978;11.4507
76.978;11.4384
77.978;11.4262
78.979;11.4133
79.979;11.4028
80.979;11.3907
81.979;11.3784
82.979;11.3674
83.978;11.3553
84.978;11.343
85.978;11.3316
86.979;11.3195
87.979;11.3083
88.979;11.2958
89.979;11.284
90.978;11.2713
91.978;11.2601
92.978;11.2489
93.979;11.2356
94.979;11.2239
95.979;11.2114
96.979;11.1995
97.979;11.1872
98.979;11.1747
99.979;11.161
100.978;11.1498
101.978;11.1378
102.978;11.1258
103.978;11.1139
104.978;11.0979
105.978;11.0906
106.978;11.0795
107.978;11.0682
108.978;11.0569
109.978;11.0439
110.979;11.0309
111.979;11.0198
112.979;11.009
113.979;10.9974
114.979;10.9864
115.979;10.9755
116.979;10.9647
117.979;10.9527
118.978;10.9418
119.978;10.9296
120.978;10.9189
121.978;10.9072
122.978;10.8951
123.978;10.8848
124.978;10.8735
125.978;10.8625
126.978;10.852
127.978;10.8398
128.978;10.8279
129.978;10.8165
130.978;10.8056
131.978;10.794
132.978;10.782
133.978;10.7708
134.978;10.7602
135.979;10.7485
136.979;10.7369
137.979;10.7261
138.978;10.7145
139.979;10.7034
140.979;10.6927
141.978;10.6816
142.979;10.671
143.979;10.6603
144.979;10.6488
145.979;10.6376
146.978;10.6271
147.978;10.6165
148.978;10.6056
149.978;10.5949
150.978;10.5845
151.978;10.5738
152.978;10.5639
153.978;10.5523
154.978;10.543
155.978;10.5338
156.978;10.5233
157.978;10.5136
158.978;10.5027
159.978;10.4931
160.977;10.4832
161.977;10.4721
162.977;10.4619
163.977;10.4533
164.977;10.4427
165.978;10.4328
166.978;10.4217
167.978;10.4118
168.978;10.4014
169.978;10.3914
170.978;10.3818
171.977;10.3711
172.978;10.3607
173.978;10.3509
174.978;10.3397
175.978;10.3302
176.978;10.3196
177.977;10.3082
178.977;10.2992
179.977;10.2891
180.977;10.2789
181.977;10.2689
182.978;10.2571
183.978;10.2466
184.978;10.2356
185.978;10.2264
186.978;10.2156
187.978;10.2036
188.978;10.1928
189.977;10.183
190.977;10.1724
191.977;10.1617
192.977;10.1506
193.977;10.1403
194.977;10.1295
195.977;10.1192
196.977;10.111
197.978;10.1008
198.978;10.0907
199.978;10.0808
200.977;10.0706
201.977;10.0608
202.977;10.0509
203.977;10.0407
204.977;10.0301
205.977;10.0206
206.977;10.0111
207.977;10.0005
208.978;9.9908
209.978;9.9823
210.978;9.9723
211.978;9.9636
212.978;9.9546
213.978;9.9449
214.979;9.9363
215.979;9.9277
216.979;9.9193
217.979;9.9103
218.979;9.902
219.979;9.8916
220.979;9.8818
221.979;9.8727
222.979;9.8622
223.979;9.8534
224.979;9.8423
225.979;9.8325
226.979;9.8224
227.979;9.8131
228.979;9.8032
229.978;9.7944
230.978;9.7846
231.978;9.7761
232.978;9.7657
233.978;9.7557
234.978;9.7461
235.978;9.7355
236.978;9.7257
237.978;9.7159
238.978;9.7068
239.978;9.6986
240.978;9.6885
241.978;9.6789
242.978;9.6691
243.978;9.6599
244.978;9.6502
245.978;9.6397
246.978;9.6306
247.978;9.6214
248.978;9.6108
249.978;9.6019
250.979;9.5922
251.979;9.5829
252.979;9.5745
253.979;9.5652
254.979;9.5557
255.979;9.5455
256.979;9.537
257.979;9.5271
258.979;9.5182
259.979;9.5078
260.979;9.4986
261.979;9.4888
262.979;9.4807
263.978;9.4704
264.978;9.4608
265.978;9.4527
266.979;9.4437
267.979;9.4343
268.979;9.4246
269.978;9.4156
270.978;9.4079
271.978;9.3975
272.978;9.3879
273.979;9.3793
274.979;9.3692
275.979;9.361
276.978;9.3511
277.979;9.3425
278.978;9.3324
279.979;9.323
280.979;9.3138
281.978;9.3044
282.978;9.2956
283.978;9.2869
284.978;9.277
285.979;9.2676
286.979;9.2585
287.979;9.2489
288.979;9.2395
289.978;9.2287
290.978;9.2199
291.979;9.2105
292.979;9.2007
293.979;9.1923
294.979;9.1825
295.978;9.1705
296.978;9.1622
297.978;9.1517
298.979;9.1434
299.978;9.1335
300.978;9.1244
301.978;9.1151
302.978;9.1063
303.979;9.0975
304.979;9.0893
305.979;9.08
306.979;9.0709
307.978;9.0633
308.978;9.0549
309.979;9.0458
310.979;9.0378
311.979;9.0288
312.978;9.0216
313.978;9.0127
314.979;9.0036
315.979;8.995
316.979;8.9861
317.979;8.978
318.978;8.9712
319.978;8.963
320.978;8.9533
321.979;8.9454
322.979;8.9366
323.979;8.9289
324.979;8.9208
325.979;8.9123
326.979;8.9043
327.979;8.8958
328.979;8.8876
329.979;8.8804
330.979;8.8715
331.978;8.8625
332.978;8.8545
333.978;8.8464
334.978;8.8379
335.978;8.8299
336.979;8.8204
337.979;8.8125
338.979;8.8029
339.979;8.7949
340.978;8.7846
341.978;8.7758
342.978;8.7676
343.979;8.7575
344.979;8.7494
345.978;8.7383
346.978;8.7301
347.978;8.7226
348.979;8.7135
349.979;8.7045
350.978;8.6935
351.979;8.6864
352.979;8.6784
353.978;8.668
354.978;8.6595
355.979;8.6503
356.979;8.6407
357.978;8.6316
358.978;8.6232
359.979;8.6146
360.978;8.6052
361.979;8.597
362.979;8.5869
363.978;8.5782
364.978;8.5699
365.979;8.5609
366.979;8.5527
367.978;8.544
368.978;8.5354
369.979;8.5277
370.978;8.5185
371.978;8.51
372.979;8.5013
373.978;8.493
374.978;8.4844
375.979;8.4767
376.979;8.4685
377.979;8.4605
378.979;8.4522
379.979;8.4443
380.979;8.4356
381.979;8.4271
382.979;8.4192
383.979;8.411
384.978;8.4031
385.978;8.3939
386.979;8.386
387.978;8.3779
388.978;8.3688
389.978;8.3616
390.978;8.3553
391.978;8.3451
