t (s),V (mV),Corr
0,12.8274,12.8274
1.05,12.8169,12.8169
2.099,12.8071,12.8071
3.126,12.7894,12.7894
4.126,12.7701,12.7701
5.125,12.7481,12.7481
6.126,12.7292,12.7292
7.126,12.7112,12.7112
8.126,12.6883,12.6883
9.126,12.6647,12.6647
10.125,12.6412,12.6412
11.126,12.6139,12.6139
12.126,12.5955,12.5955
13.125,12.5738,12.5738
14.126,12.546,12.546
15.126,12.5238,12.5238
16.125,12.4987,12.4987
17.125,12.4787,12.4787
18.126,12.4542,12.4542
19.126,12.4309,12.4309
20.125,12.4038,12.4038
21.126,12.3862,12.3862
22.126,12.3577,12.3577
23.126,12.3358,12.3358
24.126,12.308,12.308
25.125,12.2928,12.2928
26.126,12.262,12.262
27.126,12.2386,12.2386
28.125,12.2144,12.2144
29.126,12.1957,12.1957
30.126,12.1691,12.1691
31.125,12.1508,12.1508
32.126,12.1273,12.1273
33.126,12.1024,12.1024
34.126,12.0805,12.0805
35.125,12.0551,12.0551
36.125,12.0328,12.0328
37.126,12.0095,12.0095
38.126,11.9873,11.9873
39.126,11.964,11.964
40.125,11.939,11.939
41.126,11.9175,11.9175
42.126,11.8968,11.8968
43.125,11.8765,11.8765
44.126,11.85,11.85
45.126,11.8305,11.8305
46.126,11.8083,11.8083
47.126,11.7851,11.7851
48.126,11.7686,11.7686
49.125,11.744,11.744
50.126,11.7202,11.7202
51.126,11.6965,11.6965
52.126,11.6756,11.6756
53.125,11.654,11.654
54.126,11.6367,11.6367
55.126,11.6131,11.6131
56.126,11.5902,11.5902
57.126,11.5707,11.5707
58.125,11.5479,11.5479
59.126,11.5256,11.5256
60.126,11.5062,11.5062
61.125,11.4856,11.4856
62.126,11.4615,11.4615
63.125,11.4472,11.4472
64.126,11.4191,11.4191
65.126,11.3938,11.3938
66.126,11.3788,11.3788
67.125,11.3574,11.3574
68.126,11.3354,11.3354
69.125,11.3164,11.3164
70.125,11.2942,11.2942
71.125,11.2694,11.2694
72.126,11.25,11.25
73.126,11.2279,11.2279
74.125,11.2086,11.2086
75.126,11.1848,11.1848
76.125,11.1696,11.1696
77.126,11.1486,11.1486
78.126,11.1258,11.1258
79.125,11.106,11.106
80.126,11.0933,11.0933
81.125,11.0734,11.0734
82.125,11.0489,11.0489
83.126,11.0262,11.0262
84.126,11.0013,11.0013
85.125,10.9861,10.9861
86.126,10.972,10.972
87.126,10.9451,10.9451
88.125,10.9299,10.9299
89.126,10.9086,10.9086
90.125,10.8945,10.8945
91.126,10.8682,10.8682
92.126,10.8459,10.8459
93.125,10.8309,10.8309
94.126,10.8103,10.8103
95.125,10.7898,10.7898
96.126,10.7698,10.7698
97.125,10.7446,10.7446
98.126,10.7306,10.7306
99.125,10.7099,10.7099
100.126,10.6885,10.6885
101.126,10.6697,10.6697
102.125,10.653,10.653
103.126,10.6316,10.6316
104.125,10.6145,10.6145
105.125,10.5976,10.5976
106.124,10.5757,10.5757
107.125,10.5594,10.5594
108.124,10.5367,10.5367
109.125,10.5164,10.5164
110.125,10.4979,10.4979
111.125,10.4795,10.4795
112.124,10.4609,10.4609
113.124,10.4397,10.4397
114.125,10.4204,10.4204
115.125,10.4024,10.4024
116.125,10.3849,10.3849
117.125,10.3671,10.3671
118.125,10.347,10.347
119.124,10.3257,10.3257
120.124,10.3092,10.3092
121.125,10.2929,10.2929
122.124,10.2697,10.2697
123.124,10.2538,10.2538
124.125,10.2343,10.2343
125.125,10.2181,10.2181
126.124,10.1994,10.1994
127.125,10.1799,10.1799
128.124,10.1652,10.1652
129.124,10.1423,10.1423
130.125,10.1282,10.1282
131.124,10.1027,10.1027
132.124,10.0859,10.0859
133.125,10.0684,10.0684
134.125,10.0479,10.0479
135.124,10.0353,10.0353
136.125,10.0146,10.0146
137.126,9.9956,9.9956
138.126,9.9741,9.9741
139.125,9.9583,9.9583
140.125,9.9399,9.9399
141.126,9.923,9.923
142.125,9.9072,9.9072
143.126,9.8916,9.8916
144.126,9.8673,9.8673
145.126,9.8531,9.8531
146.125,9.8338,9.8338
147.126,9.8166,9.8166
148.126,9.8006,9.8006
149.125,9.7837,9.7837
150.126,9.7649,9.7649
151.126,9.748,9.748
152.125,9.7306,9.7306
153.126,9.7121,9.7121
154.126,9.6919,9.6919
155.125,9.6791,9.6791
156.126,9.66,9.66
157.125,9.6427,9.6427
158.125,9.6236,9.6236
159.126,9.6081,9.6081
160.126,9.5892,9.5892
161.125,9.5744,9.5744
162.126,9.5594,9.5594
163.126,9.5409,9.5409
164.126,9.5253,9.5253
165.125,9.507,9.507
166.126,9.4874,9.4874
167.126,9.468,9.468
168.126,9.565,9.445
169.126,9.5543,9.4343
170.125,9.5336,9.4136
171.126,9.5161,9.3961
172.126,9.4965,9.3765
173.125,9.4807,9.3607
174.126,9.4586,9.3386
175.126,9.4429,9.3229
176.125,9.4267,9.3067
177.125,9.414,9.294
178.126,9.3885,9.2685
179.125,9.3752,9.2552
180.126,9.3603,9.2403
181.125,9.3474,9.2274
182.126,9.3255,9.2055
183.125,9.3092,9.1892
184.126,9.2891,9.1691
185.126,9.2693,9.1493
186.126,9.251,9.131
187.125,9.2371,9.1171
188.125,9.2241,9.1041
189.126,9.2096,9.0896
190.125,9.1877,9.0677
191.126,9.1725,9.0525
