t (s),V (mV)
0,12.6541
1,12.6477
2,12.6383
3,12.6221
3.999,12.6112
5,12.5941
5.999,12.5779
7,12.5618
7.999,12.5437
9,12.5263
10,12.5066
11,12.4904
12,12.4747
13,12.453
14,12.4358
14.999,12.4186
16,12.4002
17,12.3781
18,12.3563
18.999,12.339
20,12.3228
21,12.3049
21.999,12.2865
22.999,12.2632
24,12.2457
25,12.2298
26,12.21
26.999,12.189
27.999,12.1703
29,12.1523
30,12.1326
30.999,12.1142
31.999,12.0946
33.004,12.0758
34,12.0543
35,12.0376
36,12.0175
37,11.998
38,11.9792
39.005,11.9606
40,11.9446
41,11.9259
42,11.9049
42.999,11.8888
44,11.8708
45.005,11.8522
45.999,11.8323
47,11.8134
48,11.7968
48.999,11.7787
50,11.763
50.999,11.7464
52,11.726
52.999,11.709
54,11.6926
54.999,11.6745
55.999,11.6551
57.004,11.64
58,11.6205
58.999,11.6022
60,11.5877
61,11.5678
62,11.5526
62.999,11.5361
64,11.5171
65,11.5031
66,11.4843
67,11.4672
67.999,11.4472
69,11.4319
70,11.4135
71,11.3982
72,11.3792
72.999,11.3634
73.999,11.3459
75.005,11.3313
75.999,11.313
77,11.2978
78,11.2786
78.999,11.2621
80,11.2475
81,11.2271
81.999,11.2103
82.999,11.1962
83.999,11.1781
84.999,11.1624
86,11.1469
87.005,11.1298
87.999,11.1143
89,11.1004
89.999,11.0823
91,11.0641
92,11.0507
93.005,11.03
93.999,11.0181
95,11.0016
96,10.9857
97,10.9713
97.999,10.9584
99.004,10.9439
100,10.9238
100.999,10.9081
102,10.9
103,10.877
103.999,10.8574
104.999,10.8462
106,10.8289
106.999,10.816
108,10.7964
108.999,10.7826
110,10.7655
110.999,10.7498
112,10.7326
112.999,10.7235
114,10.7107
114.999,10.689
116,10.6724
116.999,10.6595
118,10.6434
118.999,10.6288
119.999,10.6119
120.999,10.595
121.999,10.5825
123.003,10.5689
123.998,10.5516
124.999,10.5417
125.999,10.5219
126.999,10.5086
127.998,10.4926
128.999,10.4764
129.998,10.4626
130.999,10.4501
131.999,10.4286
132.998,10.4164
133.999,10.3999
135.003,10.3887
135.998,10.3768
136.998,10.3591
137.998,10.3451
138.998,10.3341
139.998,10.3179
141.003,10.3023
141.998,10.2903
142.998,10.2744
143.998,10.2616
144.999,10.2482
145.998,10.2317
147.003,10.218
147.999,10.2027
148.998,10.1905
149.999,10.1763
150.998,10.1632
151.998,10.1505
152.998,10.1331
153.998,10.119
154.998,10.108
155.999,10.0906
156.999,10.077
157.998,10.0612
158.999,10.05
159.999,10.035
160.998,10.0201
161.999,10.0052
162.999,9.9924
164,9.9798
165.005,9.9674
166,9.9539
167,9.9347
167.999,9.9237
169,9.9098
169.999,9.8969
171.005,9.8823
171.999,9.8683
173,9.8569
174,9.8384
175,9.8318
176,9.8142
176.999,9.8035
178,9.7898
179,9.775
180,9.7614
180.999,9.7435
182,9.7279
182.999,9.7178
183.999,9.704
184.999,9.6925
186,9.6815
187,9.6662
188,9.6527
188.999,9.64
190,9.6235
191,9.6089
191.999,9.5964
193,9.5847
194,9.5723
194.999,9.5567
196,9.5451
197,9.5322
197.999,9.5203
198.999,9.5054
200,9.4945
201,9.4805
201.999,9.4656
203,9.4569
204,9.4378
204.999,9.4248
205.999,9.4119
207.004,9.4043
208,9.3837
209,9.3761
209.999,9.3615
211.003,9.352
212,9.3384
213.005,9.3275
214,9.3134
214.999,9.299
216,9.2886
217,9.2761
218,9.2627
219.004,9.2511
220,9.2366
220.999,9.223
222,9.2109
222.999,9.2001
224,9.1848
224.999,9.1663
226,9.1619
226.999,9.1464
228,9.1344
229,9.1254
230,9.1117
231,9.0987
232,9.0835
233,9.0707
233.999,9.058
234.999,9.0448
235.999,9.0296
237.005,9.0183
238,9.0071
239,8.9974
240,8.9838
241,8.9732
241.999,8.963
242.999,8.9524
244,8.938
244.999,8.9253
246,8.9135
246.999,8.8972
247.999,8.8864
249,8.876
249.999,8.8643
251,8.8531
252,8.8389
253,8.8256
253.999,8.8157
255,8.8034
255.999,8.7904
257,8.7787
258,8.7687
258.999,8.7568
260,8.7452
261,8.7336
262,8.7236
263,8.707
264,8.696
265,8.682
265.999,8.6728
267,8.661
267.999,8.6482
269,8.6348
270,8.6242
270.999,8.6081
272,8.6032
272.999,8.5858
274,8.5778
274.999,8.5649
276,8.552
276.999,8.5406
278,8.5289
278.999,8.5171
280,8.5047
280.999,8.4943
282,8.4812
283,8.467
284,8.4554
285,8.4471
286,8.4351
287,8.4216
288,8.4089
289,8.3991
289.999,8.3835
290.999,8.3764
292,8.3615
293,8.3522
294,8.3443
295,8.3304
295.999,8.322
297,8.3115
298,8.2993
298.999,8.2894
300,8.2807
300.999,8.2682
302,8.259
302.999,8.2454
304,8.2364
305,8.228
306,8.2166
