t (s),V (mV)
0,18.6505
0.971,18.6061
1.913,18.5702
2.912,18.5278
3.912,18.4862
4.912,18.4431
5.912,18.4005
6.912,18.3579
7.912,18.3155
8.912,18.2725
9.912,18.2295
10.912,18.1863
11.912,18.1421
12.912,18.0986
13.912,18.0561
14.912,18.0121
15.912,17.9691
16.912,17.926
17.912,17.8828
18.912,17.839
19.912,17.7955
20.912,17.7536
21.912,17.7101
22.912,17.667
23.912,17.6241
24.912,17.5814
25.912,17.5389
26.912,17.4966
27.912,17.454
28.912,17.4124
29.912,17.3705
30.912,17.3284
31.912,17.2871
32.912,17.2457
33.912,17.2037
34.912,17.1626
35.912,17.1215
36.912,17.0799
37.912,17.0388
38.912,16.9988
39.912,16.9573
40.913,16.9166
41.912,16.8755
42.912,16.8359
43.912,16.7951
44.912,16.7556
45.912,16.7154
46.912,16.6751
47.912,16.6358
48.912,16.5948
49.912,16.5541
50.912,16.5139
51.912,16.4737
52.912,16.4333
53.912,16.3928
54.912,16.353
55.912,16.3127
56.912,16.2729
57.912,16.2339
58.912,16.1931
59.912,16.1532
60.912,16.1143
61.912,16.0752
62.912,16.0352
63.912,15.9969
64.912,15.9577
65.912,15.9189
66.912,15.8803
67.912,15.842
68.912,15.8032
69.912,15.7659
70.912,15.7282
71.912,15.691
72.912,15.6526
73.912,15.6165
74.912,15.5781
75.912,15.5413
76.912,15.5047
77.912,15.4678
78.912,15.4303
79.912,15.3932
80.912,15.3567
81.912,15.3195
82.912,15.2828
83.912,15.2473
84.912,15.2103
85.913,15.1728
86.912,15.1369
87.912,15.1019
88.912,15.065
89.912,15.0301
90.912,14.9938
91.912,14.9569
92.912,14.921
93.912,14.8859
94.912,14.8495
95.912,14.8136
96.912,14.7782
97.912,14.7431
98.913,14.708
99.912,14.6723
100.912,14.6365
101.912,14.6012
102.912,14.5667
103.912,14.5316
104.912,14.4963
105.912,14.4618
106.912,14.4274
107.912,14.3926
108.912,14.3584
109.912,14.3232
110.912,14.2887
111.912,14.2548
112.912,14.2201
113.912,14.1858
114.912,14.1518
115.912,14.118
116.912,14.0833
117.912,14.0507
118.912,14.0171
119.912,13.9826
120.912,13.9496
121.912,13.9167
122.912,13.8836
123.912,13.8504
124.912,13.8173
125.912,13.7838
126.912,13.7508
127.912,13.7186
128.912,13.6855
129.912,13.6522
130.912,13.6196
131.912,13.5866
132.912,13.5537
133.912,13.5203
134.912,13.4873
135.912,13.455
136.912,13.4224
137.912,13.3893
138.912,13.3575
139.912,13.3253
140.912,13.2929
141.912,13.2609
142.912,13.2294
143.912,13.1976
144.912,13.1655
145.912,13.1339
146.912,13.1021
147.912,13.0707
148.912,13.0393
149.913,13.0078
150.912,12.976
151.912,12.9451
152.912,12.9138
153.912,12.8818
154.912,12.8506
155.912,12.8203
156.912,12.7894
157.912,12.7579
158.912,12.7282
159.912,12.6966
160.912,12.6666
161.912,12.6357
162.912,12.6056
163.912,12.5748
164.912,12.5444
165.913,12.5145
166.912,12.484
167.912,12.455
168.912,12.4248
169.912,12.3947
170.912,12.3648
171.912,12.3356
172.913,12.3051
173.912,12.2757
174.912,12.2459
175.912,12.2173
176.912,12.1877
177.912,12.1579
178.912,12.1301
179.912,12.101
180.912,12.0718
181.912,12.0434
182.912,12.0149
183.912,11.9862
184.912,11.9577
185.912,11.9294
186.912,11.9016
187.912,11.8737
188.912,11.8463
189.912,11.8183
190.913,11.7904
191.912,11.7634
192.912,11.736
193.912,11.7087
194.912,11.6804
195.912,11.6529
196.913,11.6257
197.912,11.5982
198.912,11.5715
199.912,11.5449
200.912,11.5174
201.912,11.4908
202.912,11.4628
203.912,11.4361
204.912,11.4088
205.912,11.382
206.912,11.3548
207.912,11.3274
208.912,11.3013
209.912,11.2738
210.912,11.2475
211.912,11.2205
212.912,11.1937
213.912,11.1669
214.913,11.1405
215.912,11.1134
216.912,11.0869
217.912,11.06
218.912,11.0328
219.912,11.0064
220.912,10.9795
221.912,10.9536
222.912,10.9274
223.912,10.9007
224.912,10.8746
225.912,10.8482
226.912,10.823
227.912,10.797
228.912,10.772
229.913,10.746
230.912,10.721
231.912,10.6956
232.912,10.6706
233.912,10.6454
234.912,10.6207
235.911,10.5964
236.911,10.5713
237.911,10.5463
238.911,10.5212
239.911,10.4966
240.911,10.472
241.91,10.4481
242.911,10.4231
243.911,10.3981
244.911,10.3735
245.911,10.3489
246.911,10.3255
247.911,10.3005
248.911,10.2775
249.911,10.2516
250.911,10.2287
251.911,10.2043
252.911,10.1806
253.911,10.1563
254.911,10.1321
255.911,10.1073
256.911,10.0837
257.911,10.0595
258.911,10.0359
259.911,10.0113
260.912,9.9872
261.912,9.9636
262.912,9.9396
263.912,9.9149
264.912,9.8916
265.912,9.8668
266.912,9.8434
267.912,9.8194
268.912,9.7958
