t (s),V (mV)
0,17.9407
0.974,17.9064
1.949,17.8673
2.928,17.8302
3.928,17.7929
4.928,17.7573
5.928,17.7224
6.928,17.6888
7.927,17.6549
8.928,17.6211
9.928,17.5886
10.928,17.556
11.928,17.5248
12.928,17.4926
13.928,17.463
14.928,17.4327
15.928,17.4024
16.928,17.3744
17.928,17.3449
18.928,17.3173
19.928,17.2897
20.928,17.2628
21.928,17.2358
22.928,17.2091
23.928,17.1825
24.928,17.1581
25.928,17.1342
26.928,17.1091
27.928,17.0851
28.928,17.0615
29.928,17.038
30.928,17.0146
31.928,16.9927
32.928,16.9705
33.928,16.949
34.928,16.9277
35.928,16.9059
36.928,16.8852
37.928,16.8642
38.928,16.8441
39.929,16.8229
40.928,16.8029
41.928,16.783
42.928,16.7635
43.928,16.7445
44.928,16.7249
45.928,16.7065
46.928,16.6878
47.928,16.668
48.928,16.6498
49.928,16.6313
50.929,16.6119
51.928,16.594
52.928,16.5757
53.928,16.558
54.928,16.5402
55.928,16.5218
56.928,16.505
57.928,16.4877
58.928,16.4702
59.928,16.4522
60.928,16.436
61.928,16.4186
62.928,16.4012
63.928,16.3851
64.928,16.3674
65.928,16.3511
66.928,16.335
67.928,16.3188
68.929,16.3014
69.928,16.285
70.928,16.2686
71.928,16.2523
72.928,16.2372
73.928,16.2205
74.928,16.2045
75.928,16.1893
76.928,16.173
77.928,16.1569
78.928,16.1413
79.928,16.1254
80.928,16.1106
81.928,16.0948
82.928,16.0793
83.928,16.0637
84.928,16.0487
85.928,16.0343
86.928,16.0188
87.928,16.004
88.928,15.9889
89.928,15.9744
90.928,15.9597
91.928,15.9452
92.928,15.9298
93.928,15.9158
94.928,15.9018
95.928,15.8875
96.928,15.8726
97.928,15.8581
98.928,15.8434
99.928,15.8302
100.929,15.8157
101.928,15.8014
102.928,15.7882
103.928,15.7734
104.928,15.7593
105.928,15.7449
106.928,15.7308
107.928,15.7178
108.928,15.7041
109.928,15.6895
110.928,15.6754
111.928,15.662
112.928,15.6492
113.927,15.6355
114.928,15.6214
115.928,15.6081
116.928,15.5945
117.928,15.5809
118.928,15.5676
119.928,15.5534
120.928,15.5397
121.928,15.5264
122.928,15.5137
123.928,15.5005
124.928,15.4868
125.928,15.4726
126.928,15.4592
127.928,15.4455
128.928,15.4324
129.928,15.4194
130.928,15.406
131.929,15.3933
132.928,15.3799
133.928,15.3666
134.928,15.3529
135.928,15.3402
136.928,15.3269
137.928,15.314
138.928,15.3001
139.928,15.2859
140.928,15.273
141.928,15.2597
142.929,15.2467
143.928,15.2341
144.928,15.2207
145.928,15.208
146.928,15.1939
147.928,15.1811
148.928,15.1675
149.928,15.1546
150.928,15.1415
151.928,15.128
152.928,15.1141
153.928,15.102
154.928,15.0883
155.928,15.0753
156.928,15.0624
157.928,15.0498
158.928,15.0364
159.928,15.0227
160.928,15.0095
161.928,14.9972
162.928,14.9843
163.928,14.9713
164.928,14.9576
165.928,14.9438
166.928,14.9313
167.928,14.9174
168.928,14.9056
169.928,14.8933
170.928,14.8799
171.928,14.8674
172.928,14.8548
173.928,14.8424
174.928,14.8304
175.928,14.818
176.928,14.805
177.928,14.7931
178.928,14.7802
179.928,14.7681
180.928,14.7559
181.928,14.7435
182.928,14.7311
183.928,14.7185
184.928,14.7065
185.928,14.6948
186.928,14.6824
187.928,14.6703
188.928,14.6578
189.928,14.6456
190.928,14.6326
191.928,14.6207
192.928,14.6085
193.928,14.5962
194.928,14.5855
195.928,14.5732
196.928,14.5608
197.928,14.5487
198.928,14.5368
199.928,14.5246
200.928,14.5123
201.928,14.5003
202.928,14.488
203.928,14.4758
204.928,14.4631
205.928,14.4506
206.928,14.4381
207.928,14.426
208.928,14.4134
209.928,14.401
210.928,14.3892
211.928,14.377
212.928,14.3641
213.928,14.3518
214.928,14.3399
215.928,14.3278
216.928,14.3155
217.928,14.3031
218.928,14.2904
219.928,14.2787
220.928,14.2673
221.928,14.2549
222.928,14.2418
223.928,14.2308
224.928,14.2185
225.928,14.2072
226.928,14.1957
227.928,14.1837
228.928,14.1715
229.929,14.1603
230.928,14.149
231.928,14.1371
232.928,14.1253
233.928,14.1139
234.928,14.1018
235.928,14.0897
236.928,14.0783
237.928,14.0674
238.928,14.0551
239.928,14.0438
240.928,14.032
241.928,14.0202
242.928,14.0094
243.928,13.9979
244.928,13.9859
245.93,13.9747
246.928,13.9631
247.928,13.9522
248.928,13.9405
249.928,13.9288
250.928,13.9179
251.928,13.907
252.928,13.8954
253.928,13.8842
254.928,13.8724
255.928,13.8606
256.928,13.8492
257.928,13.8382
258.928,13.827
259.928,13.8159
260.928,13.8044
261.928,13.7931
262.928,13.7825
263.928,13.7711
264.928,13.7611
265.928,13.7505
266.928,13.7389
267.928,13.7284
268.928,13.718
269.928,13.7072
270.928,13.6961
271.928,13.6851
272.928,13.6732
273.928,13.6631
274.928,13.6512
275.928,13.6405
276.928,13.6285
277.928,13.6176
278.928,13.6066
279.928,13.5949
280.928,13.5832
281.928,13.5723
282.928,13.5614
283.928,13.55
284.928,13.539
285.928,13.5276
286.928,13.5165
287.928,13.5054
288.928,13.4938
289.928,13.4826
290.928,13.4714
291.928,13.4605
292.928,13.4492
293.928,13.4386
294.928,13.4277
295.928,13.416
296.928,13.4049
297.928,13.3943
298.928,13.3833
299.928,13.3726
300.928,13.3619
301.928,13.3511
302.928,13.3401
303.928,13.3285
304.928,13.3189
305.928,13.3071
306.928,13.2965
307.928,13.2856
308.928,13.2759
309.928,13.2646
310.928,13.254
311.928,13.244
312.928,13.2334
313.928,13.2222
314.928,13.2119
315.928,13.2011
316.928,13.1907
317.928,13.1812
318.928,13.1701
319.928,13.1594
320.928,13.1489
321.928,13.1395
322.928,13.1284
323.928,13.117
324.928,13.1063
325.928,13.0956
326.929,13.0849
327.928,13.0748
328.928,13.0643
329.928,13.0533
330.929,13.0427
331.928,13.0324
332.928,13.0213
333.928,13.0105
334.928,13.0008
335.928,12.9895
336.929,12.9793
337.928,12.9678
338.929,12.9581
339.928,12.9471
340.928,12.9367
341.928,12.9255
342.928,12.9152
343.928,12.9042
344.928,12.8937
345.928,12.883
346.928,12.8726
