t (s),V (mV)
0,22.1248
2.041,22.0531
4.081,21.9933
6.122,21.9237
8.163,21.8496
10.204,21.7747
12.245,21.7009
14.286,21.6249
16.326,21.5505
18.367,21.4765
19.459,21.4393
21.019,21.3813
23.06,21.3064
26.126,21.1947
28.167,21.1236
30.208,21.0514
32.249,20.9807
34.289,20.9113
36.33,20.8406
38.371,20.7723
40.412,20.7047
41.977,20.6544
44.017,20.5856
46.058,20.5198
49.125,20.422
51.166,20.3565
53.206,20.2937
55.247,20.2299
57.288,20.1653
59.329,20.1014
61.369,20.0372
62.458,20.0032
64.021,19.9546
66.062,19.8936
68.103,19.8306
70.144,19.7697
73.21,19.6793
75.251,19.6192
77.292,19.5598
79.332,19.5003
81.373,19.4409
83.414,19.3823
84.979,19.3391
87.019,19.2823
89.06,19.2237
91.101,19.1671
93.141,19.1112
96.208,19.0252
98.249,18.9694
100.289,18.9148
102.33,18.8591
104.371,18.8042
105.459,18.774
107.023,18.7338
109.064,18.6796
111.105,18.6251
113.146,18.5708
115.186,18.5189
117.227,18.4649
120.294,18.3859
122.334,18.3338
124.375,18.282
126.416,18.2309
127.98,18.1907
130.021,18.1399
132.062,18.0878
134.103,18.0376
136.144,17.9853
138.184,17.9371
140.225,17.8878
143.292,17.8114
145.332,17.7623
147.373,17.7108
149.414,17.6595
150.978,17.6226
153.019,17.574
155.06,17.5262
157.101,17.4795
159.141,17.4314
161.182,17.3845
163.223,17.3381
166.289,17.2662
168.33,17.2187
170.371,17.1719
171.459,17.1479
173.023,17.1129
175.063,17.068
177.104,17.0226
179.145,16.9759
181.185,16.9307
183.226,16.885
185.267,16.8401
187.307,16.7932
190.374,16.7236
192.414,16.6781
193.979,16.6467
196.02,16.6044
198.06,16.5594
200.101,16.515
202.142,16.4715
204.183,16.4269
206.223,16.3828
208.264,16.3396
210.304,16.2961
213.371,16.23
215.411,16.1868
216.976,16.1549
219.017,16.1137
221.057,16.0734
223.098,16.0311
225.139,15.9889
227.18,15.9491
229.22,15.909
231.261,15.8692
233.302,15.8258
236.368,15.7647
237.46,15.7432
239.02,15.7139
241.06,15.6715
243.101,15.6305
245.142,15.591
247.182,15.5503
249.223,15.5094
251.264,15.4695
253.304,15.4282
255.345,15.3865
257.386,15.346
259.976,15.2974
262.017,15.258
264.058,15.2188
266.098,15.1804
268.139,15.1408
270.18,15.1008
272.22,15.0608
274.261,15.0226
276.302,14.9848
278.342,14.9472
280.383,14.908
282.973,14.8617
285.014,14.8239
287.055,14.7866
289.095,14.7479
291.136,14.7125
293.177,14.6749
295.217,14.6368
297.258,14.5992
299.299,14.5611
301.339,14.524
303.38,14.4866
305.97,14.4392
308.011,14.4027
310.052,14.3647
312.092,14.3277
314.133,14.29
316.174,14.2528
318.214,14.2151
320.255,14.1782
322.296,14.1415
324.336,14.1063
326.377,14.0681
328.967,14.0217
331.008,13.9851
333.049,13.9477
335.089,13.9129
337.13,13.8759
339.171,13.842
341.211,13.806
343.252,13.7719
345.293,13.7369
347.333,13.7009
349.374,13.6669
351.965,13.6215
354.005,13.5866
356.046,13.5512
358.086,13.5162
360.127,13.4809
362.168,13.447
364.208,13.4127
366.249,13.3771
368.29,13.3428
370.33,13.3098
372.371,13.2753
374.961,13.2336
377.002,13.2012
379.043,13.1686
381.083,13.1207
383.124,13.0877
385.165,13.0548
387.205,13.0221
389.246,12.9911
391.286,12.959
393.327,12.9253
395.368,12.892
397.958,12.8488
399.999,12.8182
402.039,12.7864
404.08,12.7554
406.121,12.7225
408.161,12.6907
410.202,12.6575
412.243,12.6251
414.283,12.5923
416.324,12.5598
418.365,12.5284
421.435,12.4789
422.996,12.455
425.037,12.4234
427.077,12.3923
429.118,12.3612
431.159,12.3313
433.199,12.2988
435.24,12.268
437.281,12.239
439.322,12.2102
441.362,12.1799
444.433,12.1343
445.993,12.1083
448.034,12.0773
450.075,12.0475
452.116,12.0165
454.156,11.9871
456.197,11.9569
458.238,11.9268
460.278,11.8955
462.319,11.8669
464.36,11.8381
467.43,11.7933
468.991,11.7677
471.032,11.7373
473.073,11.7075
475.113,11.6776
477.154,11.6465
479.195,11.6166
481.235,11.5868
483.276,11.5576
485.317,11.5301
487.357,11.5004
490.424,11.4554
491.989,11.4304
494.029,11.4013
496.07,11.3692
498.111,11.339
500.151,11.3096
502.192,11.2806
504.232,11.2503
506.273,11.2209
508.314,11.1923
510.354,11.1631
513.42,11.1195
514.985,11.0962
517.026,11.069
519.066,11.0422
521.107,11.0133
523.147,10.9848
525.188,10.9554
527.228,10.9264
529.269,10.905
531.31,10.8782
533.35,10.8508
536.416,10.8056
537.981,10.7847
540.022,10.7563
542.062,10.7287
544.103,10.7012
546.143,10.6731
548.183,10.6466
550.224,10.6198
552.263,10.593
554.302,10.5663
556.342,10.54
558.458,10.5107
560.017,10.4906
562.056,10.4628
564.095,10.4365
566.135,10.4111
568.174,10.3851
570.214,10.3587
572.253,10.3336
574.292,10.3069
576.332,10.2821
578.371,10.257
580.411,10.2318
583,10.1992
585.039,10.1757
587.078,10.1506
589.118,10.1244
591.157,10.1016
593.197,10.0751
