ball,d1,d2,d3,d
s1,2.10,2.04,2.10,2.08
s2,2.08,2.06,2.06,2.07
s3,2.10,2.10,2.10,2.10
s4,2.06,2.08,2.08,2.07
s5,2.06,2.08,2.06,2.07
s6,2.08,2.08,2.08,2.08
s7,2.04,2.06,2.08,2.06
s8,2.04,2.10,2.08,2.07
s9,2.10,2.08,2.06,2.08
s10,2.08,2.08,2.08,2.08
s11,2.10,2.10,2.10,2.10
m1,0.66,0.70,0.70,0.69
m2,0.68,0.66,0.68,0.67
m3,0.84,0.84,0.84,0.84
m4,0.82,0.82,0.82,0.82
m5,0.76,0.76,0.76,0.76
m6,0.82,0.88,0.72,0.81
m7,0.92,0.88,0.94,0.91
m8,0.88,0.92,0.88,0.89
m9,0.90,0.90,0.88,0.89
m10,0.88,0.88,0.86,0.87
m11,0.96,0.92,0.92,0.93
m12,1.00,1.04,0.88,0.97
m13,0.88,0.90,0.88,0.89
m14,0.94,0.98,1.00,0.97
m15,0.90,0.90,0.90,0.90
