No,T,v,dv,eta,deta,Re,tau,S,mu
s1,30.86,0.67,0.007,441,21,0.02,0.70,0.05
s2,30.86,0.67,0.007,435,8,0.02,0.70,0.05
s3,41.53,1.20,0.012,251,3,0.06,1.20,0.1
s4,41.50,1.21,0.013,240,5,0.07,1.20,0.1
s5,50.93,2.05,0.023,143,3,0.18,2.10,0.4
s6,51.05,2.13,0.024,139,2,0.20,2.20,0.5
s7,62.00,3.52,0.045,83,3,0.55,3.50,1.2
s8,61.97,3.61,0.047,81,4,0.57,3.60,1.3
s9,61.85,3.79,0.05,78,2,0.63,3.80,1.4
s10,68.40,5.01,0.077,59,1,1.09,5.00,2.5
s11,68.47,5.05,0.078,60,1,1.10,5.10,2.6
m3,30.84,0.60,0.006,420,4,0.01,0.10,0.006
m4,30.85,0.58,0.006,414,4,0.01,0.10,0.006
m5,41.51,0.96,0.01,215,2,0.02,0.20,0.02
m6,41.53,1.01,0.01,233,66,0.02,0.20,0.02
m7,51.09,2.27,0.025,130,12,0.10,0.40,0.09
m8,51.05,2.18,0.024,130,10,0.09,0.40,0.09
m10,61.53,3.70,0.049,73,3,0.27,0.70,0.3
m11,61.16,3.86,0.052,80,6,0.28,0.70,0.3
m12,61.16,4.27,0.06,79,19,0.33,0.80,0.3
m14,67.81,5.09,0.079,66,6,0.46,1.00,0.5
m15,67.73,5.14,0.08,56,1,0.51,1.00,0.5
