ball,T,t1,t2,t3
s1,30.86,0.12,15.21,30.23
s2,30.86,2.11,17.16,32.19
s3,41.53,0.19,9.04,17.16
s4,41.5,0.09,8.18,16.28
s5,50.93,0.07,5.03,10.03
s6,51.05,0.1,4.29,9.25
s7,62,0.07,3.01,5.29
s8,61.97,3.13,6.04,9.01
s9,61.85,0.15,3.04,5.25
s10,68.4,14.08,16.08,18.09
s11,68.47,10.01,12,14.01
m3,30.84,33.26,50.21,67.18
m4,30.85,34.09,51.22,69.05
m5,41.51,28.14,39.04,49.17
m6,41.53,29.25,39.25,49.27
m7,51.09,56,60.12,64.27
m8,51.05,49.12,53.27,58.2
m10,61.53,12.15,15.08,17.29
m11,61.16,92.12,95.01,97.19
m12,61.16,7.24,10.05,12.16
m14,67.81,22.24,24.24,26.23
m15,67.73,15.28,17.26,19.26
