ball,T,t1,t2,t3
s1,30.9,0.4,15.7,30.8
s2,30.9,2.4,17.5,32.6
s3,41.5,0.6,9.1,17.5
s4,41.5,0.3,8.6,16.9
s5,50.9,0.2,5.1,10.1
s6,51.0,0.3,5.0,9.8
s7,62.0,0.2,3.0,6.0
s8,62.0,3.4,6.1,9.0
s9,61.9,0.5,3.1,5.8
s10,68.4,14.3,16.3,18.3
s11,68.5,10.0,12.0,14.0
m3,30.8,33.9,50.7,67.6
m4,30.9,34.3,51.7,69.2
m5,41.5,28.5,39.1,49.6
m6,41.5,29.8,39.8,49.9
m7,51.1,56.0,60.4,64.9
m8,51.0,49.4,53.9,58.7
m10,61.5,12.5,15.3,18.0
m11,61.2,92.4,95.0,97.6
m12,61.2,7.8,10.2,12.5
m14,67.8,22.8,24.8,26.8
m15,67.7,15.9,17.9,19.9
