date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2022-04-23, 14:33:17	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-23, 14:33:18	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-23, 14:33:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-23, 14:33:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-23, 14:33:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-23, 14:33:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-23, 14:33:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-23, 14:33:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-23, 14:33:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-23, 14:33:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2022-04-23, 14:33:36	0 Hz	0 W	1E3 mbar	6,8E2 mbar
2022-04-23, 14:33:38	0 Hz	0 W	1E3 mbar	6,8E2 mbar
2022-04-23, 14:33:40	0 Hz	0 W	1E3 mbar	6,1E2 mbar
2022-04-23, 14:33:42	0 Hz	0 W	1E3 mbar	6,1E2 mbar
2022-04-23, 14:33:44	0 Hz	0 W	1E3 mbar	5,5E2 mbar
2022-04-23, 14:33:46	0 Hz	0 W	1E3 mbar	5,8E2 mbar
2022-04-23, 14:33:48	0 Hz	0 W	1E3 mbar	5,5E2 mbar
2022-04-23, 14:33:50	0 Hz	0 W	1E3 mbar	5,3E2 mbar
2022-04-23, 14:33:52	0 Hz	0 W	1E3 mbar	5,5E2 mbar
2022-04-23, 14:33:54	0 Hz	0 W	1E3 mbar	5,1E2 mbar
2022-04-23, 14:33:56	0 Hz	0 W	1E3 mbar	5,3E2 mbar
2022-04-23, 14:33:58	0 Hz	0 W	1E3 mbar	5,1E2 mbar
2022-04-23, 14:34:00	0 Hz	0 W	1E3 mbar	5,3E2 mbar
2022-04-23, 14:34:02	0 Hz	0 W	1E3 mbar	5,3E2 mbar
2022-04-23, 14:34:04	0 Hz	0 W	1E3 mbar	5,1E2 mbar
2022-04-23, 14:34:06	0 Hz	0 W	1E3 mbar	5,3E2 mbar
2022-04-23, 14:34:08	0 Hz	0 W	1E3 mbar	5,3E2 mbar
2022-04-23, 14:34:10	0 Hz	0 W	1E3 mbar	5,1E2 mbar
2022-04-23, 14:34:12	0 Hz	0 W	1E3 mbar	5,3E2 mbar
2022-04-23, 14:34:14	0 Hz	0 W	1E3 mbar	4,8E2 mbar
2022-04-23, 14:34:16	0 Hz	0 W	1E3 mbar	5,1E2 mbar
2022-04-23, 14:34:18	0 Hz	0 W	1E3 mbar	5,1E2 mbar
2022-04-23, 14:34:20	0 Hz	0 W	1E3 mbar	5,3E2 mbar
2022-04-23, 14:34:22	0 Hz	0 W	1E3 mbar	5E2 mbar
2022-04-23, 14:34:24	0 Hz	0 W	1E3 mbar	5,1E2 mbar
2022-04-23, 14:34:26	0 Hz	0 W	1E3 mbar	4,8E2 mbar
2022-04-23, 14:34:28	0 Hz	0 W	1E3 mbar	5,3E2 mbar
2022-04-23, 14:34:30	0 Hz	0 W	1E3 mbar	5,5E2 mbar
2022-04-23, 14:34:32	0 Hz	0 W	1E3 mbar	5E2 mbar
2022-04-23, 14:34:34	0 Hz	0 W	1E3 mbar	5,1E2 mbar
2022-04-23, 14:34:36	0 Hz	0 W	1E3 mbar	5,3E2 mbar
2022-04-23, 14:34:38	0 Hz	0 W	1E3 mbar	5,1E2 mbar
2022-04-23, 14:34:40	0 Hz	0 W	1E3 mbar	5,3E2 mbar
2022-04-23, 14:34:42	0 Hz	0 W	1E3 mbar	5,1E2 mbar
2022-04-23, 14:34:44	0 Hz	0 W	1E3 mbar	5,1E2 mbar
2022-04-23, 14:34:46	0 Hz	0 W	1E3 mbar	5,1E2 mbar
2022-04-23, 14:34:48	0 Hz	0 W	1E3 mbar	5E2 mbar
2022-04-23, 14:34:50	0 Hz	0 W	1E3 mbar	5E2 mbar
2022-04-23, 14:34:52	0 Hz	0 W	1E3 mbar	5,3E2 mbar
2022-04-23, 14:34:54	0 Hz	0 W	1E3 mbar	4,8E2 mbar
2022-04-23, 14:34:56	0 Hz	0 W	1E3 mbar	4,8E2 mbar
2022-04-23, 14:34:58	0 Hz	0 W	1E3 mbar	5,1E2 mbar
2022-04-23, 14:35:00	0 Hz	0 W	1E3 mbar	5,1E2 mbar
2022-04-23, 14:35:02	0 Hz	0 W	1E3 mbar	5E2 mbar
2022-04-23, 14:35:04	0 Hz	0 W	1E3 mbar	5,5E2 mbar
2022-04-23, 14:35:06	0 Hz	0 W	1E3 mbar	5,8E2 mbar
2022-04-23, 14:35:08	0 Hz	0 W	1E3 mbar	5,5E2 mbar
2022-04-23, 14:35:10	0 Hz	0 W	1E3 mbar	3,8E2 mbar
2022-04-23, 14:35:12	0 Hz	0 W	1E3 mbar	3,2E2 mbar
2022-04-23, 14:35:14	0 Hz	0 W	1E3 mbar	2,6E2 mbar
2022-04-23, 14:35:16	0 Hz	0 W	1E3 mbar	1,9E2 mbar
2022-04-23, 14:35:18	0 Hz	0 W	6,1E2 mbar	1,6E2 mbar
2022-04-23, 14:35:20	0 Hz	0 W	4,7E2 mbar	1,3E2 mbar
2022-04-23, 14:35:22	0 Hz	0 W	3,2E2 mbar	1E2 mbar
2022-04-23, 14:35:24	0 Hz	0 W	2E2 mbar	9,2E1 mbar
2022-04-23, 14:35:26	0 Hz	0 W	1,6E2 mbar	7,6E1 mbar
2022-04-23, 14:35:28	0 Hz	0 W	1,1E2 mbar	6,5E1 mbar
2022-04-23, 14:35:30	0 Hz	0 W	9E1 mbar	5,8E1 mbar
2022-04-23, 14:35:32	0 Hz	0 W	7,1E1 mbar	5E1 mbar
2022-04-23, 14:35:34	0 Hz	0 W	6,2E1 mbar	4,3E1 mbar
2022-04-23, 14:35:36	0 Hz	0 W	5,4E1 mbar	3,8E1 mbar
2022-04-23, 14:35:38	0 Hz	0 W	4,4E1 mbar	3,4E1 mbar
2022-04-23, 14:35:40	0 Hz	0 W	3,8E1 mbar	3,1E1 mbar
2022-04-23, 14:35:42	0 Hz	0 W	3,6E1 mbar	2,7E1 mbar
2022-04-23, 14:35:44	0 Hz	0 W	3,2E1 mbar	2,3E1 mbar
2022-04-23, 14:35:46	0 Hz	0 W	2,8E1 mbar	2E1 mbar
2022-04-23, 14:35:48	0 Hz	0 W	2,4E1 mbar	1,8E1 mbar
2022-04-23, 14:35:50	0 Hz	0 W	2E1 mbar	1,7E1 mbar
