Time,Speed,Power,Pressure1,Pressure2
0,0,0,1000.00,1000.00
1,0,0,1000.00,1000.00
3,0,0,1000.00,1000.00
5,0,0,1000.00,1000.00
7,0,0,1000.00,1000.00
9,0,0,1000.00,1000.00
11,0,0,1000.00,1000.00
13,0,0,1000.00,1000.00
15,0,0,1000.00,1000.00
17,0,0,1000.00,1000.00
19,0,0,1000.00,680.00
21,0,0,1000.00,680.00
23,0,0,1000.00,610.00
25,0,0,1000.00,610.00
27,0,0,1000.00,550.00
29,0,0,1000.00,580.00
31,0,0,1000.00,550.00
33,0,0,1000.00,530.00
35,0,0,1000.00,550.00
37,0,0,1000.00,510.00
39,0,0,1000.00,530.00
41,0,0,1000.00,510.00
43,0,0,1000.00,530.00
45,0,0,1000.00,530.00
47,0,0,1000.00,510.00
49,0,0,1000.00,530.00
51,0,0,1000.00,530.00
53,0,0,1000.00,510.00
55,0,0,1000.00,530.00
57,0,0,1000.00,480.00
59,0,0,1000.00,510.00
61,0,0,1000.00,510.00
63,0,0,1000.00,530.00
65,0,0,1000.00,500.00
67,0,0,1000.00,510.00
69,0,0,1000.00,480.00
71,0,0,1000.00,530.00
73,0,0,1000.00,550.00
75,0,0,1000.00,500.00
77,0,0,1000.00,510.00
79,0,0,1000.00,530.00
81,0,0,1000.00,510.00
83,0,0,1000.00,530.00
85,0,0,1000.00,510.00
87,0,0,1000.00,510.00
89,0,0,1000.00,510.00
91,0,0,1000.00,500.00
93,0,0,1000.00,500.00
95,0,0,1000.00,530.00
97,0,0,1000.00,480.00
99,0,0,1000.00,480.00
101,0,0,1000.00,510.00
103,0,0,1000.00,510.00
105,0,0,1000.00,500.00
107,0,0,1000.00,550.00
109,0,0,1000.00,580.00
111,0,0,1000.00,550.00
113,0,0,1000.00,380.00
115,0,0,1000.00,320.00
117,0,0,1000.00,260.00
119,0,0,1000.00,190.00
121,0,0,610.00,160.00
123,0,0,470.00,130.00
125,0,0,320.00,100.00
127,0,0,200.00,92.00
129,0,0,160.00,76.00
131,0,0,110.00,65.00
133,0,0,90.00,58.00
135,0,0,71.00,50.00
137,0,0,62.00,43.00
139,0,0,54.00,38.00
141,0,0,44.00,34.00
143,0,0,38.00,31.00
145,0,0,36.00,27.00
147,0,0,32.00,23.00
149,0,0,28.00,20.00
151,0,0,24.00,18.00
153,0,0,20.00,17.00
155,0,0,18.00,16.00
157,0,0,17.00,14.00
159,0,0,16.00,13.00
161,0,0,14.00,12.00
163,0,0,13.00,10.00
165,0,0,12.00,9.6
167,0,0,10.00,9.2
169,0,0,9.8,8.7
171,0,0,9.3,8.2
173,0,0,8.8,7.7
175,0,0,8.3,7.3
177,0,0,8.00,6.9
179,0,0,7.5,6.7
181,0,0,7.3,6.5
183,0,0,6.9,6.4
185,0,0,6.7,6.2
187,0,0,6.6,6.1
189,0,0,6.4,5.9
191,0,0,6.3,5.8
193,0,0,6.2,5.7
195,0,0,6.1,5.6
197,0,0,5.9,5.4
199,0,0,5.8,5.3
201,0,0,5.8,5.2
203,0,0,5.7,5.1
205,0,0,5.6,5.1
207,0,0,5.5,5.00
209,0,0,5.4,4.9
211,0,0,5.3,4.8
213,0,0,5.3,4.8
215,0,0,5.2,4.7
217,0,0,5.2,4.6
219,0,0,5.1,4.6
221,0,0,5.1,4.5
223,0,0,5.00,4.5
225,0,0,4.9,4.4
227,0,0,4.9,4.4
229,0,0,4.8,4.3
231,0,0,4.8,4.3
233,0,0,4.8,4.2
235,0,0,4.7,4.2
237,0,0,4.7,4.2
239,0,0,4.7,4.1
241,0,0,4.6,4.1
243,0,0,4.6,4.1
245,0,0,4.6,4.00
247,0,0,4.6,4.00
249,0,0,4.5,4.00
251,0,0,4.5,4.00
253,0,0,4.5,3.9
255,0,0,4.5,3.9
257,0,0,4.4,3.9
259,0,0,4.4,3.9
261,0,0,4.4,3.9
263,0,0,4.4,3.9
265,0,0,4.4,3.9
267,0,0,4.4,3.9
269,0,0,4.3,3.9
271,0,0,4.3,3.9
273,0,0,4.3,3.9
275,0,0,4.3,3.9
277,0,0,4.3,3.9
279,0,0,4.3,3.9
281,0,0,4.3,3.9
283,0,0,4.3,3.9
285,0,0,4.2,3.8
287,0,0,4.2,3.8
289,0,0,4.2,3.8
291,0,0,4.2,3.8
293,0,0,4.2,3.8
295,0,0,4.2,3.8
297,0,0,4.2,3.8
299,0,0,4.2,3.8
301,0,0,4.2,3.8
303,0,0,4.2,3.8
305,0,0,4.2,3.8
307,0,0,4.2,3.8
309,0,0,4.1,3.8
311,0,0,4.1,3.8
313,0,0,4.1,3.8
315,0,0,4.1,3.8
317,0,0,4.1,3.8
319,0,0,4.1,3.8
321,0,0,4.1,3.8
323,0,0,4.1,3.8
325,0,0,4.1,3.8
327,0,0,4.1,3.8
329,0,0,4.1,3.8
331,0,0,4.1,3.8
333,0,0,4.1,3.8
335,0,0,4.1,3.8
337,0,0,4.1,3.8
339,0,0,4.1,3.8
341,0,0,4.1,3.8
343,0,0,4.1,3.8
345,0,0,4.1,3.8
347,0,0,4.1,3.8
349,0,0,4.1,3.8
351,0,0,4.1,3.8
353,0,0,4.1,3.8
355,0,0,4.1,3.8
357,0,0,4.00,3.8
359,0,0,4.00,3.8
361,0,0,4.00,3.8
363,0,0,4.00,3.8
365,0,0,4.00,3.8
367,0,0,4.00,3.8
369,0,0,4.00,3.8
371,0,0,4.00,3.8
373,0,0,4.00,3.8
375,0,0,4.00,3.8
377,0,0,4.00,3.8
379,0,0,4.00,3.8
381,0,0,4.00,3.8
383,0,0,4.00,3.8
385,0,0,4.00,3.8
387,0,0,4.00,3.7
389,0,0,4.00,3.7
391,0,0,4.00,3.7
393,0,0,4.00,3.7
395,0,0,4.00,3.7
397,0,0,4.00,3.7
399,0,0,4.00,3.7
401,0,0,4.00,3.7
403,0,0,4.00,3.7
405,0,0,4.00,3.7
407,0,0,4.00,3.7
409,0,0,4.00,3.7
411,0,0,4.00,3.7
413,0,0,4.00,3.7
415,0,0,4.00,3.7
417,0,0,4.00,3.7
419,0,0,4.00,3.7
421,0,0,4.00,3.7
423,0,0,4.00,3.7
425,0,0,4.00,3.7
427,0,0,4.00,3.7
429,0,0,4.00,3.7
431,0,0,4.00,3.7
433,0,0,4.00,3.7
435,0,0,4.00,3.7
437,0,0,4.00,3.7
439,0,0,4.00,3.7
441,0,0,4.00,3.7
443,0,0,4.00,3.7
445,0,0,4.00,3.7
447,0,0,4.00,3.7
449,0,0,4.00,3.7
451,0,0,4.00,3.7
453,0,0,4.00,3.7
455,0,0,4.00,3.7
457,0,0,4.00,3.7
459,0,0,4.00,3.7
461,0,0,4.00,3.7
463,0,0,4.00,3.7
465,0,0,4.00,3.7
467,0,0,4.00,3.7
469,0,0,4.00,3.7
471,0,0,4.00,3.7
473,0,0,4.00,3.7
475,0,0,4.00,3.7
477,0,0,4.00,3.7
479,0,0,4.00,3.7
481,0,0,4.00,3.7
483,0,0,4.00,3.7
485,0,0,4.00,3.7
487,0,0,4.00,3.7
489,0,0,4.00,3.7
491,0,0,4.00,3.7
493,0,0,4.00,3.7
495,0,0,4.00,3.7
497,0,0,4.00,3.7
499,0,0,4.00,3.7
501,0,0,4.00,3.7
503,0,0,4.00,3.7
505,0,0,4.00,3.7
507,0,0,4.00,3.7
509,0,0,4.00,3.7
511,0,0,4.00,3.7
513,0,0,4.00,3.7
515,0,0,4.00,3.7
517,0,0,4.00,3.7
519,0,0,4.00,3.7
521,0,0,4.00,3.7
523,0,0,4.00,3.7
525,0,0,4.00,3.7
527,0,0,4.00,3.7
529,0,0,4.00,3.7
531,0,0,4.00,3.7
533,0,0,4.00,3.7
535,0,0,4.00,3.7
537,0,0,4.00,3.7
539,0,0,4.00,3.7
541,0,0,4.00,3.7
543,0,0,4.00,3.7
545,0,0,4.00,3.7
547,0,0,4.00,3.7
549,0,0,4.00,3.7
551,0,0,4.00,3.7
553,0,0,4.00,3.7
555,0,0,4.00,3.7
557,0,0,4.00,3.7
559,0,0,4.00,3.7
561,0,0,4.00,3.7
563,0,0,4.00,3.7
565,0,0,4.00,3.7
567,0,0,4.00,3.7
569,0,0,4.00,3.7
571,0,0,4.00,3.7
573,0,0,4.00,3.7
575,0,0,4.00,3.7
577,0,0,4.00,3.7
579,0,0,4.00,3.7
581,0,0,4.00,3.7
583,0,0,4.00,3.7
585,0,0,4.00,3.8
587,0,0,4.00,3.8
589,0,0,4.00,3.8
591,0,0,4.00,3.8
593,0,0,4.00,3.8
