date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2019-03-25, 14:56:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2019-03-25, 14:56:56	0 Hz	0 W	1E3 mbar	1E3 mbar
2019-03-25, 14:56:58	0 Hz	0 W	1E3 mbar	1E3 mbar
2019-03-25, 14:57:00	0 Hz	0 W	1E3 mbar	1E3 mbar
2019-03-25, 14:57:02	0 Hz	0 W	1E3 mbar	1E3 mbar
2019-03-25, 14:57:04	0 Hz	0 W	1E3 mbar	1E3 mbar
2019-03-25, 14:57:06	0 Hz	0 W	1E3 mbar	1E3 mbar
2019-03-25, 14:57:08	0 Hz	0 W	1E3 mbar	1E3 mbar
2019-03-25, 14:57:10	0 Hz	0 W	1E3 mbar	1E3 mbar
2019-03-25, 14:57:12	0 Hz	0 W	1E3 mbar	1E3 mbar
2019-03-25, 14:57:14	0 Hz	0 W	1E3 mbar	1E3 mbar
2019-03-25, 14:57:16	0 Hz	0 W	1E3 mbar	1E3 mbar
2019-03-25, 14:57:18	0 Hz	0 W	1E3 mbar	1E3 mbar
2019-03-25, 14:57:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2019-03-25, 14:57:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2019-03-25, 14:57:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2019-03-25, 14:57:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2019-03-25, 14:57:28	0 Hz	0 W	1E3 mbar	7E2 mbar
2019-03-25, 14:57:30	0 Hz	0 W	1E3 mbar	5,6E2 mbar
2019-03-25, 14:57:32	0 Hz	0 W	1E3 mbar	4E2 mbar
2019-03-25, 14:57:34	0 Hz	0 W	1E3 mbar	3,2E2 mbar
2019-03-25, 14:57:36	0 Hz	0 W	1E3 mbar	3E2 mbar
2019-03-25, 14:57:38	0 Hz	0 W	1E3 mbar	3E2 mbar
2019-03-25, 14:57:40	0 Hz	0 W	1E3 mbar	3E2 mbar
2019-03-25, 14:57:42	0 Hz	0 W	1E3 mbar	3E2 mbar
2019-03-25, 14:57:44	0 Hz	0 W	1E3 mbar	3E2 mbar
2019-03-25, 14:57:46	0 Hz	0 W	1E3 mbar	2,3E2 mbar
2019-03-25, 14:57:48	0 Hz	0 W	1E3 mbar	1,8E2 mbar
2019-03-25, 14:57:50	0 Hz	0 W	6,2E2 mbar	1,5E2 mbar
2019-03-25, 14:57:52	0 Hz	0 W	3,6E2 mbar	1,2E2 mbar
2019-03-25, 14:57:54	0 Hz	0 W	2,5E2 mbar	9,8E1 mbar
2019-03-25, 14:57:56	0 Hz	0 W	1,8E2 mbar	8,3E1 mbar
2019-03-25, 14:57:58	0 Hz	0 W	1,4E2 mbar	6,9E1 mbar
2019-03-25, 14:58:00	0 Hz	0 W	9,7E1 mbar	6,2E1 mbar
2019-03-25, 14:58:02	0 Hz	0 W	8E1 mbar	5,5E1 mbar
2019-03-25, 14:58:04	0 Hz	0 W	6,4E1 mbar	4,6E1 mbar
2019-03-25, 14:58:06	0 Hz	0 W	5,9E1 mbar	3,8E1 mbar
2019-03-25, 14:58:08	0 Hz	0 W	5E1 mbar	3,5E1 mbar
2019-03-25, 14:58:10	0 Hz	0 W	3,9E1 mbar	3,2E1 mbar
2019-03-25, 14:58:12	0 Hz	0 W	3,6E1 mbar	2,9E1 mbar
2019-03-25, 14:58:14	0 Hz	0 W	3,2E1 mbar	2,5E1 mbar
2019-03-25, 14:58:16	0 Hz	0 W	2,8E1 mbar	2,1E1 mbar
2019-03-25, 14:58:18	0 Hz	0 W	2,3E1 mbar	1,8E1 mbar
2019-03-25, 14:58:20	0 Hz	0 W	1,9E1 mbar	1,7E1 mbar
2019-03-25, 14:58:22	0 Hz	0 W	1,8E1 mbar	1,6E1 mbar
2019-03-25, 14:58:24	0 Hz	0 W	1,6E1 mbar	1,4E1 mbar
2019-03-25, 14:58:26	0 Hz	0 W	1,5E1 mbar	1,3E1 mbar
2019-03-25, 14:58:28	0 Hz	0 W	1,3E1 mbar	1,1E1 mbar
2019-03-25, 14:58:30	0 Hz	0 W	1,2E1 mbar	1E1 mbar
2019-03-25, 14:58:32	0 Hz	0 W	1,1E1 mbar	9,3E0 mbar
2019-03-25, 14:58:34	0 Hz	0 W	9,8E0 mbar	8,7E0 mbar
2019-03-25, 14:58:36	0 Hz	0 W	9,2E0 mbar	8,1E0 mbar
2019-03-25, 14:58:38	0 Hz	0 W	8,6E0 mbar	7,7E0 mbar
2019-03-25, 14:58:40	0 Hz	0 W	8E0 mbar	7,1E0 mbar
2019-03-25, 14:58:42	0 Hz	0 W	7,5E0 mbar	6,8E0 mbar
2019-03-25, 14:58:44	0 Hz	0 W	7E0 mbar	6,5E0 mbar
2019-03-25, 14:58:46	0 Hz	0 W	6,7E0 mbar	6,3E0 mbar
2019-03-25, 14:58:48	0 Hz	0 W	6,5E0 mbar	6,1E0 mbar
2019-03-25, 14:58:50	0 Hz	0 W	6,3E0 mbar	5,9E0 mbar
2019-03-25, 14:58:52	0 Hz	0 W	6,1E0 mbar	5,7E0 mbar
2019-03-25, 14:58:54	0 Hz	0 W	5,9E0 mbar	5,5E0 mbar
2019-03-25, 14:58:56	0 Hz	0 W	5,8E0 mbar	5,4E0 mbar
2019-03-25, 14:58:58	0 Hz	0 W	5,6E0 mbar	5,2E0 mbar
2019-03-25, 14:59:00	0 Hz	0 W	5,5E0 mbar	5E0 mbar
2019-03-25, 14:59:02	0 Hz	0 W	5,3E0 mbar	4,9E0 mbar
2019-03-25, 14:59:04	0 Hz	0 W	5,2E0 mbar	4,8E0 mbar
2019-03-25, 14:59:06	0 Hz	0 W	5,1E0 mbar	4,6E0 mbar
