date	COM2.001: TC 110	COM2.001: TC 110	COM2.005: MPT 100	COM2.002: PPT 100
(YYYY-MM-DD hh:mm:ss)	P309: ActualSpd (Hz)	P316: DrvPower (W)	P740: Pressure (mbar)	P740: Pressure (mbar)
2020-02-27, 15:30:54	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:30:56	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:30:58	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:00	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:02	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:04	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:06	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:08	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:10	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:12	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:14	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:16	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:18	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:20	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:22	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:24	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:26	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:28	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:30	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:32	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:34	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:36	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:38	0 Hz	0 W	1E3 mbar	1E3 mbar
2020-02-27, 15:31:40	0 Hz	0 W	1E3 mbar	6E2 mbar
2020-02-27, 15:31:42	0 Hz	0 W	1E3 mbar	4,5E2 mbar
2020-02-27, 15:31:44	0 Hz	0 W	1E3 mbar	3,6E2 mbar
2020-02-27, 15:31:46	0 Hz	0 W	1E3 mbar	2,9E2 mbar
2020-02-27, 15:31:48	0 Hz	0 W	1E3 mbar	2E2 mbar
2020-02-27, 15:31:50	0 Hz	0 W	1E3 mbar	1,7E2 mbar
2020-02-27, 15:31:52	0 Hz	0 W	5,4E2 mbar	1,5E2 mbar
2020-02-27, 15:31:54	0 Hz	0 W	3,6E2 mbar	1,1E2 mbar
2020-02-27, 15:31:56	0 Hz	0 W	2,4E2 mbar	9,4E1 mbar
2020-02-27, 15:31:58	0 Hz	0 W	1,7E2 mbar	8,3E1 mbar
2020-02-27, 15:32:00	0 Hz	0 W	1,3E2 mbar	6,9E1 mbar
2020-02-27, 15:32:02	0 Hz	0 W	9,4E1 mbar	6,1E1 mbar
2020-02-27, 15:32:04	0 Hz	0 W	7,2E1 mbar	5,3E1 mbar
2020-02-27, 15:32:06	0 Hz	0 W	6,2E1 mbar	4,6E1 mbar
2020-02-27, 15:32:08	0 Hz	0 W	5,5E1 mbar	3,9E1 mbar
2020-02-27, 15:32:10	0 Hz	0 W	4,4E1 mbar	3,5E1 mbar
2020-02-27, 15:32:12	0 Hz	0 W	3,8E1 mbar	3,2E1 mbar
2020-02-27, 15:32:14	0 Hz	0 W	3,4E1 mbar	2,8E1 mbar
2020-02-27, 15:32:16	0 Hz	0 W	3,2E1 mbar	2,4E1 mbar
2020-02-27, 15:32:18	0 Hz	0 W	2,8E1 mbar	2E1 mbar
2020-02-27, 15:32:20	0 Hz	0 W	2,3E1 mbar	1,9E1 mbar
2020-02-27, 15:32:22	0 Hz	0 W	1,9E1 mbar	1,7E1 mbar
2020-02-27, 15:32:24	0 Hz	0 W	1,8E1 mbar	1,6E1 mbar
2020-02-27, 15:32:26	0 Hz	0 W	1,6E1 mbar	1,4E1 mbar
2020-02-27, 15:32:28	0 Hz	0 W	1,5E1 mbar	1,3E1 mbar
2020-02-27, 15:32:30	0 Hz	0 W	1,3E1 mbar	1,1E1 mbar
2020-02-27, 15:32:32	0 Hz	0 W	1,2E1 mbar	9,9E0 mbar
2020-02-27, 15:32:34	0 Hz	0 W	1E1 mbar	9,3E0 mbar
2020-02-27, 15:32:36	0 Hz	0 W	9,6E0 mbar	8,6E0 mbar
2020-02-27, 15:32:38	0 Hz	0 W	9E0 mbar	8,2E0 mbar
2020-02-27, 15:32:40	0 Hz	0 W	8,4E0 mbar	7,5E0 mbar
2020-02-27, 15:32:42	0 Hz	0 W	7,8E0 mbar	6,9E0 mbar
2020-02-27, 15:32:44	0 Hz	0 W	7,1E0 mbar	6,7E0 mbar
2020-02-27, 15:32:46	0 Hz	0 W	6,8E0 mbar	6,5E0 mbar
2020-02-27, 15:32:48	0 Hz	0 W	6,6E0 mbar	6,2E0 mbar
2020-02-27, 15:32:50	0 Hz	0 W	6,3E0 mbar	6E0 mbar
2020-02-27, 15:32:52	0 Hz	0 W	6,1E0 mbar	5,8E0 mbar
2020-02-27, 15:32:54	0 Hz	0 W	6E0 mbar	5,6E0 mbar
2020-02-27, 15:32:56	0 Hz	0 W	5,8E0 mbar	5,4E0 mbar
2020-02-27, 15:32:58	0 Hz	0 W	5,6E0 mbar	5,2E0 mbar
2020-02-27, 15:33:00	0 Hz	0 W	5,4E0 mbar	5E0 mbar
2020-02-27, 15:33:02	0 Hz	0 W	5,2E0 mbar	4,8E0 mbar
2020-02-27, 15:33:04	0 Hz	0 W	5E0 mbar	4,6E0 mbar
2020-02-27, 15:33:06	0 Hz	0 W	4,9E0 mbar	4,5E0 mbar
2020-02-27, 15:33:08	0 Hz	0 W	4,7E0 mbar	4,4E0 mbar
2020-02-27, 15:33:10	0 Hz	0 W	4,6E0 mbar	4,2E0 mbar
2020-02-27, 15:33:12	0 Hz	0 W	4,4E0 mbar	4,1E0 mbar
2020-02-27, 15:33:14	0 Hz	0 W	4,4E0 mbar	3,9E0 mbar
2020-02-27, 15:33:16	0 Hz	0 W	4,2E0 mbar	3,9E0 mbar
2020-02-27, 15:33:18	0 Hz	0 W	4,1E0 mbar	3,8E0 mbar
2020-02-27, 15:33:20	0 Hz	0 W	4E0 mbar	3,8E0 mbar
2020-02-27, 15:33:22	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2020-02-27, 15:33:24	0 Hz	0 W	3,9E0 mbar	3,7E0 mbar
2020-02-27, 15:33:26	0 Hz	0 W	3,8E0 mbar	3,7E0 mbar
2020-02-27, 15:33:28	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2020-02-27, 15:33:30	0 Hz	0 W	3,8E0 mbar	3,6E0 mbar
2020-02-27, 15:33:32	0 Hz	0 W	3,7E0 mbar	3,6E0 mbar
2020-02-27, 15:33:34	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2020-02-27, 15:33:36	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2020-02-27, 15:33:38	0 Hz	0 W	3,7E0 mbar	3,5E0 mbar
2020-02-27, 15:33:40	0 Hz	0 W	3,6E0 mbar	3,5E0 mbar
2020-02-27, 15:33:42	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2020-02-27, 15:33:44	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2020-02-27, 15:33:46	0 Hz	0 W	3,6E0 mbar	3,4E0 mbar
2020-02-27, 15:33:48	0 Hz	0 W	3,5E0 mbar	3,4E0 mbar
2020-02-27, 15:33:50	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2020-02-27, 15:33:52	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2020-02-27, 15:33:54	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2020-02-27, 15:33:56	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2020-02-27, 15:33:58	0 Hz	0 W	3,5E0 mbar	3,3E0 mbar
2020-02-27, 15:34:00	0 Hz	0 W	3,4E0 mbar	3,3E0 mbar
2020-02-27, 15:34:02	0 Hz	0 W	3,4E0 mbar	3,2E0 mbar
