T	H1	H2	dH1	dH2	TT	P1	P2	dP1	dP2	$\frac{dP}{dT}_{up}$, Па/К	$\frac{dP}{dT}_{down}$, Па/К	$L_{up}$, кДж/кг	$L_{down}$, кДж/кг
20	79.5	79.6	18.00	17.80	341.3	0.000	-0.011	0.11	0.11				
21	79.0	79.1	19.00	18.80	340.1	0.054	0.043	0.11	0.11	7.84	11.76	1678	2545
22	78.7	78.4	19.60	20.20	339.0	0.085	0.115	0.10	0.10	9.80	10.78	2048	2186
23	78.0	78.0	21.00	21.00	337.8	0.154	0.154	0.10	0.10	12.74	8.82	2501	1732
24	77.4	77.5	22.20	22.00	336.7	0.210	0.201	0.09	0.09	10.78	9.80	2016	1849
25	76.9	77.0	23.20	23.00	335.6	0.254	0.245	0.09	0.09	11.76	12.74	2118	2315
26	76.2	76.2	24.60	24.60	334.4	0.312	0.312	0.08	0.08	13.72	15.68	2347	2682
27	75.5	75.4	26.00	26.20	333.3	0.368	0.375	0.08	0.08	13.72	14.70	2235	2376
28	74.8	74.7	27.40	27.60	332.2	0.420	0.427	0.07	0.07	12.74	15.68	1982	2422
29	74.2	73.8	28.60	29.40	331.1	0.463	0.491	0.07	0.07	12.74	17.64	1912	2575
30	73.5	72.9	30.00	31.20	330.0	0.511	0.550	0.07	0.06	16.66	15.68	2399	2171
31	72.5	72.2	32.00	32.60	328.9	0.575	0.594	0.06	0.06	17.64	15.68	2397	2092
32	71.7	71.3	33.60	34.40	327.9	0.624	0.648	0.06	0.06	16.66	21.56	2171	2744
33	70.8	70.0	35.40	37.00	326.8	0.676	0.721	0.06	0.05	19.60	20.58	2440	2451
34	69.7	69.2	37.60	38.60	325.7	0.737	0.763	0.05	0.05	23.52	19.60	2775	2252
35	68.4	68.0	40.20	41.00	324.7	0.803	0.823	0.05	0.05	20.58	22.54	2285	2454
36	67.6	66.9	41.80	43.20	323.6	0.843	0.875	0.05	0.05	22.54	20.58	2423	2141
37	66.1	65.9	44.80	45.20	322.6	0.912	0.921	0.04	0.04	25.48	21.56	2572	2157
38	65.0	64.7	47.00	47.60	321.5	0.960	0.972	0.04	0.04	22.54	21.56	2183	2062
39	63.8	63.7	49.40	49.60	320.5	1.010	1.014	0.04	0.04	25.48	22.54	2363	2082
40	62.4	62.4	52.20	52.20	319.5	1.065	1.065	0.04	0.04				
