U,I,rising
0.0249,0.012,1
15.7,0.013,1
38.8,0.014,1
44.9,0.014,1
47.8,0.015,1
64.3,0.016,1
72.6,0.016,1
81.6,0.018,1
91.3,0.019,1
94.9,0.019,1
90.2,3.89,1
90.52,4.02,1
93.67,4.59,1
96.05,5.02,1
98.62,5.48,1
99.6,5.63,1
102,6.09,1
103.3,6.28,1
108.1,7.2,1
109.5,7.37,1
113.1,8.09,1
115.5,8.58,1
119.7,9.35,1
122.7,9.93,1
124.1,10.14,1
129.4,11.17,1
135,12.16,1
141.6,13.32,1
147.1,14.44,1
150,15.01,1
152.4,15.36,1
156.3,16.15,1
162.8,17.38,1
167.3,18.1,1
171.8,19.04,1
175.4,19.84,1
176.7,20.07,1
183.5,21.37,1
190.4,22.65,1
198.6,24.23,1
202.4,24.92,1
209.7,26.32,1
218,27.92,1
229.6,30.08,1
237.12,31.55,1
241.7,32.27,1
248.6,33.71,1
261.7,36.13,1
274.2,38.43,1
287.1,40.99,1
292.6,42,1
98.12,4.97,0
95.71,4.51,0
92.5,3.91,0
90.2,3.51,0
88.7,3.24,0
87.4,2.97,0
85.8,2.71,0
84.4,2.41,0
83.7,2.32,0
82.5,2.08,0
81.2,1.82,0
78.6,1.35,0
76.5,0.97,0
74.9,0.7,0
