B,I,U1,U2
508,20.62,0.0003,0.0134
508,40.57,-0.0028,0.023
508,60.08,-0.0057,0.0316
508,80.58,-0.0083,0.0417
508,100.84,-0.012,0.0523
593,20.62,0,0.0153
593,39.99,-0.004,0.0252
593,61.36,-0.0091,0.0362
593,80.77,-0.0134,0.0467
593,101.1,-0.0175,0.0577
701,20.05,-0.002,0.0157
701,40.55,-0.0075,0.0277
701,59.86,-0.013,0.0393
701,80.46,-0.0185,0.0512
701,99.76,-0.024,0.0637
812,20.22,-0.0025,0.0171
812,40.55,-0.0089,0.0292
812,59.86,-0.0156,0.0427
812,80.46,-0.023,0.0552
812,99.76,-0.029,0.0682
909,20.7,-0.0038,0.0177
909,40.59,-0.011,0.031
909,60.7,-0.0183,0.0444
909,79.69,-0.0256,0.0572
909,101.43,-0.0328,0.0723
1033,20.33,-0.0039,0.0191
1033,40.61,-0.0124,0.0332
1033,60.72,-0.0215,0.0479
1033,80.43,-0.0295,0.062
1033,100.95,-0.037,0.0773
