T;U;t;y;t_new
10.154;-0.02;12.0;0.0286;11.95
10.0868;-0.02;14.02;0.0297;13.97
9.9702;-0.02;16.02;0.0319;15.97
9.8791;-0.02;17.11;0.0339;17.06
9.7815;-0.02;18.0;0.0363;17.95
9.6377;-0.02;19.01;0.0403;18.96
9.459;-0.02;20.01;0.0468;19.96
9.0662;-0.019;22.01;0.0709;21.96
8.7512;-0.02;24.02;0.1178;23.97
8.6131;-0.02;26.02;0.1642;25.97
8.5365;-0.02;28.02;0.2094;27.97
8.4882;-0.02;30.01;0.2529;29.96
8.4551;-0.02;32.0;0.2947;31.95
8.4302;-0.02;34.0;0.3364;33.95
8.4111;-0.02;36.01;0.3772;35.96
8.3966;-0.02;38.0;0.4154;37.95
8.3847;-0.02;40.0;0.453;39.95
