"Uзаж, вольт","Ip, мА","Up, В","Ip2, мА","I+1, мкА","U+1, В","I-1, мкА","U-1, В","I+2, мкА","U+2, В","I-2, мкА","U-2, В","I+3, мкА","U+3, В","I-3, мкА","U-3, В","D,мм","L, мм"
94,2.12,25.8,3.98,40.5,24.6,2.4,0.5,29.6,24,1.7,0.5,23,24,1.2,0.5,0.2,5.2
99,2.32,25.5,3,39.4,21,4.8,1,28.9,21,3.3,1,22.4,21,2.6,1,,
,2.54,24.8,2.3,38.4,18,6.8,1.5,28.2,18,5,1.5,21.8,18,3.9,1.5,,
,2.74,24,,37.5,15.1,9.1,2,27.5,15,6.6,2,21.1,15.1,5.1,2,,
,2.94,23.1,,36.1,12,16.2,4,26.4,12,12,4,20.1,12.1,9.1,4,,
,3.12,22.4,,34.5,10,21.2,6.1,25.3,10,15.5,6,19.2,10.1,12,6.1,,
,3.33,21.3,,32,8.1,24,8,23.4,8,17.6,8,17.6,8,13.5,8,,
,3.54,20,,27.5,6,25.5,10,20.2,6,18.8,10,14.9,5.9,14.5,10,,
,3.74,18.7,,21.2,4,26.5,12,15.4,4,19.5,12,11.4,4,15.1,12.1,,
,3.93,17.3,,12.6,2,27.4,15.1,9,2,20.1,14.9,6.5,2,15.8,15.1,,
,4.12,15.9,,10.2,1.5,28.1,18,7.2,1.5,20.7,18,5.2,1.5,16.2,18,,
,4.32,14.5,,7.7,1,28.8,21,5.5,1.1,21.3,20.9,3.7,1,16.7,21,,
,4.53,11.6,,5.3,0.5,29.5,24,3.5,0.5,21.8,23.9,2.4,0.5,17.1,24,,
,4.72,8.3,,,,,,,,,,,,,,,
,4.75,8,,,,,,,,,,,,,,,
,4.53,11.6,,,,,,,,,,,,,,,
,4.34,14.3,,,,,,,,,,,,,,,
,4.13,16.2,,,,,,,,,,,,,,,
,3.93,17.5,,,,,,,,,,,,,,,
,3.68,19.4,,,,,,,,,,,,,,,
,3.52,20.1,,,,,,,,,,,,,,,
,3.35,21,,,,,,,,,,,,,,,
,3.1,22.2,,,,,,,,,,,,,,,
,2.91,23,,,,,,,,,,,,,,,
,2.71,23.8,,,,,,,,,,,,,,,
,2.53,24.5,,,,,,,,,,,,,,,
,2.32,25.4,,,,,,,,,,,,,,,
,2.15,25.6,,,,,,,,,,,,,,,
