$I_2, \mu A$;$U2, V$;$I_2, \mu A$;$U2, V$;$I_2, \mu A$;$U2, V$
90.14;25;52.29;25;25.39;25
91.15;22;50.46;22;24.54;22
89.75;19;48.79;19;23.77;19
86.45;16;46.96;16;22.87;16
79.72;13;44.36;13;21.94;13
67.76;10;39.45;10;19.69;10
56.81;8;33.58;8;16.95;8
41.61;6;25.12;6;12.76;6
23.11;4;14.37;4;7.15;4
2.13;2;1.72;2;0.44;2
-14.6;0.5;-8.79;0.5;-5.12;0.5
-18.5;-0.5;-13.55;-0.5;-8.12;-0.5
-31.56;-2;-23.12;-2;-13.66;-2
-50.17;-4;-34.75;-4;-19.57;-4
-66.67;-6;-44.15;-6;-24.22;-6
-79.37;-8;-50.89;-8;-27.36;-8
-88.8;-10;-55.26;-10;-29.63;-10
-98.88;-13;-59.74;-13;-31.63;-13
-104.83;-16;-62.36;-16;-33.06;-16
-108.37;-19;-64.67;-19;-34.35;-19
-109.9;-22;-66.8;-22;-35.67;-22
-109.44;-25;-68.95;-25;-36.85;-25
