I1;U1;I2;U2;I3;U3
104.015454545455;25;61.1959090909091;25;31.0145454545455;25
102.625454545455;22;59.3659090909091;22;30.1645454545455;22
101.225454545455;19;57.6959090909091;19;29.3945454545455;19
97.9254545454546;16;55.8659090909091;16;28.4945454545455;16
91.1954545454546;13;53.2659090909091;13;27.5645454545455;13
79.2354545454546;10;48.3559090909091;10;25.3145454545455;10
68.2854545454546;8;42.4859090909091;8;22.5745454545455;8
53.0854545454546;6;34.0259090909091;6;18.3845454545455;6
34.5854545454546;4;23.2759090909091;4;12.7745454545455;4
13.6054545454546;2;10.6259090909091;2;6.06454545454546;2
-3.12454545454545;0.5;0.115909090909094;0.5;0.504545454545456;0.5
-7.02454545454545;-0.5;-4.64409090909091;-0.5;-2.49545454545454;-0.5
-20.0845454545454;-2;-14.2140909090909;-2;-8.03545454545455;-2
-38.6945454545454;-4;-25.8440909090909;-4;-13.9454545454545;-4
-55.1945454545455;-6;-35.2440909090909;-6;-18.5954545454545;-6
-67.8945454545455;-8;-41.9840909090909;-8;-21.7354545454545;-8
-77.3245454545454;-10;-46.3540909090909;-10;-24.0054545454545;-10
-87.4045454545454;-13;-50.8340909090909;-13;-26.0054545454545;-13
-93.3545454545454;-16;-53.4540909090909;-16;-27.4354545454545;-16
-96.8945454545455;-19;-55.7640909090909;-19;-28.7254545454545;-19
-98.4245454545455;-22;-57.8940909090909;-22;-30.0454545454545;-22
-99.9645454545454;-25;-60.0440909090909;-25;-31.2254545454545;-25
