Частота,A * B
(kГц),(?)

0.00000000,0.12199230
0.02384186,0.12488710
0.04768372,0.04519602
0.07152557,0.11474890
0.09536743,0.20641330
0.11920929,0.28534830
0.14305115,0.27176150
0.16689301,0.16051480
0.19073486,0.04840814
0.21457672,0.07080417
0.23841858,0.06308320
0.26226044,0.04800932
0.28610229,0.17885110
0.30994415,0.45530440
0.33378601,0.77925770
0.35762787,0.98411150
0.38146973,0.86925230
0.40531158,0.47706370
0.42915344,0.12817100
0.45299530,0.04961580
0.47683716,0.06404070
0.50067902,0.05041738
0.52452087,0.06698721
0.54836273,0.08167479
0.57220459,0.08660783
0.59604645,0.45779810
0.61988831,0.97272910
0.64373016,1.30184300
0.66757202,1.08667400
0.69141388,0.53850170
0.71525574,0.17274100
0.73909760,0.04846199
0.76293945,0.06566304
0.78678131,0.06955881
0.81062317,0.05537194
0.83446503,0.16158390
0.85830688,0.28042370
0.88214874,0.29430410
0.90599060,0.20522280
0.92983246,0.11589700
0.95367432,0.07625151
0.97751617,0.34884700
1.00135803,0.67330840
1.02519989,0.47080320
1.04904175,0.09896944
1.07288361,0.08737117
1.09672546,0.18091770
1.12056732,0.26525860
1.14440918,0.27713590
1.16825104,0.18556300
1.19209290,0.06284878
1.21593475,0.05511018
1.23977661,0.06424464
1.26361847,0.04535099
1.28746033,0.15903780
1.31130219,0.32561150
1.33514404,0.47309470
1.35898590,0.71791740
1.38282776,0.78416480
1.40666962,0.48726300
1.43051147,0.14945070
1.45435333,0.04664959
1.47819519,0.06698541
1.50203705,0.05738296
1.52587891,0.06376729
1.54972076,0.07591882
1.57356262,0.06209851
1.59740448,0.44120190
1.62124634,1.09033200
1.64508820,1.63894200
1.66893005,1.38077600
1.69277191,0.61235650
1.71661377,0.18160550
1.74045563,0.04943664
1.76429749,0.05221916
1.78813934,0.06970771
1.81198120,0.03636416
1.83582306,0.13183640
1.85966492,0.26647370
1.88350677,0.30272450
1.90734863,0.22893320
1.93119049,0.14343760
1.95503235,0.19106980
1.97887421,0.80038150
2.00271606,1.28583900
2.02655792,0.76212300
2.05039978,0.12723360
2.07424164,0.08339760
2.09808350,0.17594280
2.12192535,0.26214720
2.14576721,0.27713680
2.16960907,0.19083130
2.19345093,0.06175187
2.21729279,0.06765693
2.24113464,0.06992760
2.26497650,0.04247659
2.28881836,0.12200470
2.31266022,0.17715490
2.33650208,0.21512810
2.36034393,0.52158500
2.38418579,0.70644710
2.40802765,0.48504760
2.43186951,0.16944880
2.45571136,0.04268175
2.47955322,0.06598267
2.50339508,0.05607392
2.52723694,0.06244406
2.55107880,0.08532844
2.57492065,0.04353246
2.59876251,0.42776270
2.62260437,1.22042400
2.64644623,1.99614900
2.67028809,1.64405700
2.69412994,0.62505060
2.71797180,0.15687040
2.74181366,0.06009062
2.76565552,0.05970970
2.78949738,0.07440782
2.81333923,0.03488069
2.83718109,0.12226580
2.86102295,0.27215810
2.88486481,0.32269660
2.90870667,0.25172720
2.93254852,0.15074650
2.95639038,0.30260640
2.98023224,1.20885400
3.00407410,1.76296700
3.02791595,0.95609400
3.05175781,0.15313600
3.07559967,0.06464279
3.09944153,0.16058400
3.12328339,0.23295340
3.14712524,0.25852300
