Частота,A * B
(kГц),(?)

0.00000000,0.26332430
0.02384186,0.18029650
0.04768372,0.10208570
0.07152557,0.09261937
0.09536743,0.08141845
0.11920929,0.14164670
0.14305115,0.12754710
0.16689301,0.05592670
0.19073486,0.07879385
0.21457672,0.10845570
0.23841858,0.07809161
0.26226044,0.07285682
0.28610229,0.13203710
0.30994415,0.24127120
0.33378601,0.19879870
0.35762787,0.08316069
0.38146973,0.10714220
0.40531158,0.09980600
0.42915344,0.09951591
0.45299530,0.22386490
0.47683716,0.22497170
0.50067902,0.10556520
0.52452087,0.07240140
0.54836273,0.08571438
0.57220459,0.10794660
0.59604645,0.06609220
0.61988831,0.06970744
0.64373016,0.13996290
0.66757202,0.13004370
0.69141388,0.07595963
0.71525574,0.09951602
0.73909760,0.20617990
0.76293945,0.64298060
0.78678131,0.96929920
0.81062317,0.50435850
0.83446503,0.07779302
0.85830688,0.08493269
0.88214874,0.09420953
0.90599060,0.14821000
0.92983246,0.11109500
0.95367432,0.04964676
0.97751617,0.09102992
1.00135803,0.10450300
1.02519989,0.07371936
1.04904175,0.07491563
1.07288361,0.16222740
1.09672546,0.24797260
1.12056732,0.16830060
1.14440918,0.08041991
1.16825104,0.11128060
1.19209290,0.09025059
1.21593475,0.12648520
1.23977661,0.24088330
1.26361847,0.20077610
1.28746033,0.08659258
1.31130219,0.07231960
1.33514404,0.09446833
1.35898590,0.10324560
1.38282776,0.05493683
1.40666962,0.08698589
1.43051147,0.14767420
1.45435333,0.11502790
1.47819519,0.07561792
1.50203705,0.08891449
1.52587891,0.34066110
1.54972076,1.00019800
1.57356262,0.90855950
1.59740448,0.33088140
1.62124634,0.11455340
1.64508820,0.07943524
1.66893005,0.10970260
1.69277191,0.14841610
1.71661377,0.09311849
1.74045563,0.05270077
1.76429749,0.10062430
1.78813934,0.09740154
1.81198120,0.07213538
1.83582306,0.08250847
1.85966492,0.19225480
1.88350677,0.24408430
1.90734863,0.13616090
1.93119049,0.08734451
1.95503235,0.11177290
1.97887421,0.08192565
2.00271606,0.15829230
2.02655792,0.24790310
2.05039978,0.17174910
2.07424164,0.07652263
2.09808350,0.07293912
2.12192535,0.10259080
2.14576721,0.09432385
2.16960907,0.04960823
2.19345093,0.10566610
2.21729279,0.14892270
2.24113464,0.09874231
2.26497650,0.08299456
2.28881836,0.09820583
2.31266022,0.15966970
2.33650208,0.19724290
2.36034393,0.18400370
2.38418579,0.11885520
2.40802765,0.09854078
2.43186951,0.07508920
2.45571136,0.12561680
2.47955322,0.14297950
2.50339508,0.07480948
2.52723694,0.06226477
2.55107880,0.10695980
2.57492065,0.08837602
2.59876251,0.07235809
2.62260437,0.09875990
2.64644623,0.21817330
2.67028809,0.23012570
2.69412994,0.10701340
2.71797180,0.09697598
2.74181366,0.10879380
2.76565552,0.08089621
2.78949738,0.18977180
2.81333923,0.24442510
2.83718109,0.14121840
2.86102295,0.07317571
2.88486481,0.07631780
2.90870667,0.10770930
2.93254852,0.08269440
2.95639038,0.05302820
2.98023224,0.12284010
3.00407410,0.14424790
3.02791595,0.08464134
3.05175781,0.09054619
3.07559967,0.14392010
3.09944153,0.42406930
3.12328339,0.85135750
3.14712524,0.64070960
