Частота,A * B
(kГц),(?)

0.00000000,0.63491980
0.02384186,0.26470090
0.04768372,0.02808602
0.07152557,0.09505455
0.09536743,0.09922440
0.11920929,0.07298827
0.14305115,0.06354566
0.16689301,0.10954160
0.19073486,0.09460089
0.21457672,0.05382504
0.23841858,0.08865718
0.26226044,0.10452710
0.28610229,0.07871482
0.30994415,0.06008465
0.33378601,0.09636969
0.35762787,0.10539290
0.38146973,0.06224502
0.40531158,0.07368434
0.42915344,0.10874430
0.45299530,0.08740517
0.47683716,0.05856084
0.50067902,0.08700121
0.52452087,0.10509960
0.54836273,0.07904688
0.57220459,0.05744035
0.59604645,0.10422860
0.61988831,0.10221050
0.64373016,0.05589455
0.66757202,0.08252481
0.69141388,0.10005760
0.71525574,0.09047235
0.73909760,0.18382670
0.76293945,0.74859890
0.78678131,1.02777300
0.81062317,0.47687350
0.83446503,0.03764464
0.85830688,0.09750634
0.88214874,0.09721448
0.90599060,0.06297292
0.92983246,0.07575542
0.95367432,0.11251820
0.97751617,0.08293708
1.00135803,0.05699982
1.02519989,0.09661731
1.04904175,0.10139060
1.07288361,0.07048048
1.09672546,0.06582407
1.12056732,0.10354300
1.14440918,0.09856804
1.16825104,0.05436147
1.19209290,0.08547205
1.21593475,0.10870370
1.23977661,0.07749151
1.26361847,0.06171994
1.28746033,0.09419356
1.31130219,0.10328510
1.33514404,0.06837299
1.35898590,0.06704106
1.38282776,0.11021460
1.40666962,0.09236375
1.43051147,0.05428577
1.45435333,0.09077629
1.47819519,0.09878400
1.50203705,0.07227867
1.52587891,0.30735700
1.54972076,1.01765200
1.57356262,1.01287600
1.59740448,0.35367030
1.62124634,0.08507671
1.64508820,0.09954908
1.66893005,0.09216124
1.69277191,0.05616059
1.71661377,0.08783513
1.74045563,0.11178950
1.76429749,0.07041398
1.78813934,0.06557170
1.81198120,0.10188980
1.83582306,0.09633412
1.85966492,0.06328484
1.88350677,0.07461542
1.90734863,0.10786620
1.93119049,0.08900160
1.95503235,0.05307470
1.97887421,0.09591450
2.00271606,0.10516180
2.02655792,0.06836555
2.05039978,0.06802396
2.07424164,0.10005620
2.09808350,0.09849720
2.12192535,0.05929552
2.14576721,0.07900795
2.16960907,0.11278070
2.19345093,0.07948849
2.21729279,0.06041237
2.24113464,0.09586162
2.26497650,0.09820827
2.28881836,0.05894365
2.31266022,0.17136890
2.33650208,0.43098120
2.36034393,0.35068600
2.38418579,0.06384511
2.40802765,0.08671912
2.43186951,0.09970498
2.45571136,0.08532628
2.47955322,0.05452070
2.50339508,0.09946968
2.52723694,0.10647300
2.55107880,0.05995528
2.57492065,0.07574055
2.59876251,0.10482200
2.62260437,0.08936685
2.64644623,0.05908902
2.67028809,0.08436215
2.69412994,0.10909750
2.71797180,0.07741246
2.74181366,0.05924775
2.76565552,0.10363560
2.78949738,0.09882313
2.81333923,0.06147734
2.83718109,0.07608961
2.86102295,0.10383460
2.88486481,0.09131061
2.90870667,0.05415735
2.93254852,0.09110976
2.95639038,0.11100780
2.98023224,0.06690332
3.00407410,0.06988102
3.02791595,0.09867521
3.05175781,0.09611531
3.07559967,0.09721829
3.09944153,0.50489640
3.12328339,0.94975020
3.14712524,0.63328160
