Частота,Канал A
(kГц),(mВ)

0.00000000,28.25374000
0.02384186,11.91382000
0.04768372,1.93051100
0.07152557,0.05907473
0.09536743,0.04654881
0.11920929,0.04845437
0.14305115,0.03694814
0.16689301,0.04016095
0.19073486,0.03577353
0.21457672,0.01655317
0.23841858,0.00397461
0.26226044,0.01953187
0.28610229,0.04797674
0.30994415,0.05094561
0.33378601,0.05328606
0.35762787,0.07833078
0.38146973,0.02709235
0.40531158,0.04119594
0.42915344,0.03531225
0.45299530,0.01831652
0.47683716,0.01665942
0.50067902,0.01961516
0.52452087,0.01951225
0.54836273,0.01558134
0.57220459,0.02748094
0.59604645,0.02184921
0.61988831,0.03862725
0.64373016,0.11650450
0.66757202,0.07808757
0.69141388,0.04341776
0.71525574,0.04009479
0.73909760,0.02211724
0.76293945,0.02928664
0.78678131,0.01034362
0.81062317,0.01481696
0.83446503,0.01994246
0.85830688,0.01259736
0.88214874,0.00325759
0.90599060,0.02799058
0.92983246,0.05524162
0.95367432,0.68084950
0.97751617,3.59174500
1.00135803,5.63808400
1.02519989,3.17907400
1.04904175,0.49115110
1.07288361,0.01748990
1.09672546,0.01634962
1.12056732,0.02146306
1.14440918,0.02368812
1.16825104,0.00971994
1.19209290,0.01427534
1.21593475,0.05034926
1.23977661,0.06833540
1.26361847,0.04438743
1.28746033,0.08133388
1.31130219,0.08822625
1.33514404,0.03270296
1.35898590,0.00256923
1.38282776,0.03203412
1.40666962,0.04020482
1.43051147,0.02699676
1.45435333,0.00872847
1.47819519,0.00345759
1.50203705,0.00362554
1.52587891,0.01212970
1.54972076,0.02670420
1.57356262,0.03140311
1.59740448,0.01915068
1.62124634,0.06485223
1.64508820,0.16105120
1.66893005,0.11889240
1.69277191,0.03771540
1.71661377,0.01995035
1.74045563,0.01415618
1.76429749,0.02841936
1.78813934,0.02846581
1.81198120,0.01628455
1.83582306,0.01346381
1.85966492,0.01372223
1.88350677,0.02340208
1.90734863,0.03363016
1.93119049,0.03779604
1.95503235,0.70040490
1.97887421,3.54064400
2.00271606,5.27473900
2.02655792,2.81157500
2.05039978,0.39903980
2.07424164,0.01419937
2.09808350,0.01156675
2.12192535,0.02072476
2.14576721,0.01894280
2.16960907,0.01658585
2.19345093,0.00876715
2.21729279,0.01068734
2.24113464,0.00900642
2.26497650,0.03943692
2.28881836,0.08749422
2.31266022,0.09820396
2.33650208,0.05393952
2.36034393,0.03176368
2.38418579,0.04048340
2.40802765,0.02386497
2.43186951,0.00772082
2.45571136,0.00544622
2.47955322,0.00546862
2.50339508,0.01548670
2.52723694,0.01640677
2.55107880,0.01045839
2.57492065,0.01281214
2.59876251,0.00692181
2.62260437,0.07865188
2.64644623,0.17902870
2.67028809,0.12761640
2.69412994,0.01718478
2.71797180,0.01253402
2.74181366,0.03090838
2.76565552,0.03333733
2.78949738,0.02562453
2.81333923,0.01917107
2.83718109,0.00644858
2.86102295,0.00181136
2.88486481,0.00347570
2.90870667,0.02256693
2.93254852,0.03395828
2.95639038,0.73486900
2.98023224,3.39660200
3.00407410,4.77793100
3.02791595,2.40537000
3.05175781,0.32085110
3.07559967,0.02306808
3.09944153,0.03109235
3.12328339,0.03437770
3.14712524,0.02330128
3.17096710,0.00605593
3.19480896,0.01125127
3.21865082,0.01561689
3.24249268,0.01248206
3.26633453,0.03152387
3.29017639,0.06472570
3.31401825,0.09434739
3.33786011,0.09929048
3.36170197,0.08005292
3.38554382,0.04380351
3.40938568,0.01241862
3.43322754,0.00917446
3.45706940,0.00519323
3.48091125,0.01684444
3.50475311,0.01844324
3.52859497,0.01670232
3.55243683,0.02477776
3.57627869,0.02057600
3.60012054,0.03222587
3.62396240,0.11025750
3.64780426,0.19285190
3.67164612,0.12862700
3.69548798,0.02373462
3.71932983,0.02778352
3.74317169,0.03608646
3.76701355,0.02651964
3.79085541,0.00865568
3.81469727,0.00758070
3.83853912,0.01169381
3.86238098,0.00697983
3.88622284,0.01198866
3.91006470,0.02635220
3.93390656,0.03071664
3.95774841,0.71878800
3.98159027,3.11825200
4.00543213,4.15111600
4.02927399,1.95492300
4.05311584,0.22134610
4.07695770,0.01793057
4.10079956,0.03003497
4.12464142,0.01873613
4.14848328,0.00527749
4.17232513,0.01056269
4.19616699,0.00819536
4.22000885,0.00549565
4.24385071,0.01018589
4.26769257,0.03696657
4.29153442,0.05545828
4.31537628,0.08360378
4.33921814,0.12306390
4.36306000,0.11565160
4.38690186,0.07011559
4.41074371,0.03228826
4.43458557,0.00877010
4.45842743,0.02136639
4.48226929,0.02764697
4.50611115,0.01762587
4.52995300,0.00374994
4.55379486,0.00909485
4.57763672,0.00930332
4.60147858,0.04106258
4.62532043,0.09772572
4.64916229,0.16249160
4.67300415,0.12112060
4.69684601,0.04067881
4.72068787,0.03552908
4.74452972,0.03555760
4.76837158,0.02573548
4.79221344,0.01251412
4.81605530,0.00514010
4.83989716,0.01719526
4.86373901,0.01464461
4.88758087,0.01464222
4.91142273,0.01286494
4.93526459,0.01105879
4.95910645,0.66719310
4.98294830,2.71929400
5.00679016,3.42351600
5.03063202,1.50696800
5.05447388,0.14066180
5.07831573,0.02186240
5.10215759,0.02936169
5.12599945,0.02605482
5.14984131,0.02260392
5.17368317,0.01673666
5.19752502,0.00453913
5.22136688,0.00955890
5.24520874,0.02915955
5.26905060,0.04182304
5.29289246,0.03884320
5.31673431,0.08287519
5.34057617,0.15354460
5.36441803,0.12777060
5.38825989,0.05390481
5.41210175,0.01447394
5.43594360,0.02138663
5.45978546,0.02459980
5.48362732,0.01278355
5.50746918,0.00720509
5.53131104,0.02300385
5.55515289,0.02428834
5.57899475,0.00417639
5.60283661,0.03472002
5.62667847,0.09143566
5.65052032,0.14122220
5.67436218,0.11383840
5.69820404,0.06003765
5.72204590,0.05265922
5.74588776,0.04261588
5.76972961,0.02158964
5.79357147,0.00179138
5.81741333,0.01695877
5.84125519,0.01634287
5.86509705,0.01047181
5.88893890,0.01465609
5.91278076,0.01072467
5.93662262,0.00871463
5.96046448,0.57818820
5.98430634,2.23744400
6.00814819,2.66945400
6.03199005,1.09288900
6.05583191,0.07735954
6.07967377,0.01003716
6.10351563,0.00727450
6.12735748,0.02485826
6.15119934,0.01311956
6.17504120,0.00524142
6.19888306,0.01200840
6.22272491,0.00969116
6.24656677,0.03562373
6.27040863,0.03501848
6.29425049,0.01914437
6.31809235,0.07729932
6.34193420,0.15907730
6.36577606,0.12206560
6.38961792,0.03778747
6.41345978,0.00591289
6.43730164,0.02556401
6.46114349,0.02265701
6.48498535,0.01885324
6.50882721,0.01658257
6.53266907,0.00822500
6.55651093,0.00607554
6.58035278,0.01648169
6.60419464,0.04744129
6.62803650,0.07147300
6.65187836,0.08961599
6.67572021,0.09223467
6.69956207,0.07729231
6.72340393,0.05238680
6.74724579,0.02885925
6.77108765,0.01431297
6.79492950,0.00982979
6.81877136,0.00964985
6.84261322,0.01502624
6.86645508,0.01612395
6.89029694,0.02003465
6.91413879,0.01659036
6.93798065,0.01455720
6.96182251,0.46913490
6.98566437,1.68806400
7.00950623,1.89758800
7.03334808,0.71692750
7.05718994,0.03804388
7.08103180,0.03089048
7.10487366,0.02086246
7.12871552,0.00555208
7.15255737,0.01423160
7.17639923,0.02017945
7.20024109,0.00949619
7.22408295,0.01390382
7.24792480,0.02642909
7.27176666,0.01861463
7.29560852,0.02853618
7.31945038,0.05920300
7.34329224,0.16177490
7.36713409,0.12959070
7.39097595,0.03425698
7.41481781,0.01394423
7.43865967,0.01721261
7.46250153,0.00991754
7.48634338,0.00338830
7.51018524,0.00941184
7.53402710,0.01369328
7.55786896,0.01880471
7.58171082,0.04236424
7.60555267,0.05041944
7.62939453,0.03845793
7.65323639,0.04441615
7.67707825,0.08467939
7.70092010,0.09315552
7.72476196,0.06063617
7.74860382,0.03022692
7.77244568,0.00723980
7.79628754,0.00261562
7.82012939,0.00324365
7.84397125,0.00918234
7.86781311,0.01621255
7.89165497,0.01700645
7.91549683,0.01996119
7.93933868,0.04458883
7.96318054,0.31144600
7.98702240,1.09418100
8.01086426,1.16257800
8.03470612,0.39268100
8.05854797,0.03861668
8.08238983,0.03663148
8.10623169,0.02087186
8.13007355,0.00609063
8.15391541,0.02693624
8.17775726,0.02218564
8.20159912,0.00451880
8.22544098,0.01696276
8.24928284,0.01944293
8.27312469,0.01016348
8.29696655,0.04359192
8.32080841,0.06041262
8.34465027,0.15544840
8.36849213,0.11183730
8.39233398,0.02113413
8.41617584,0.01025895
8.44001770,0.01774701
8.46385956,0.01491010
8.48770142,0.00308982
8.51154327,0.01640569
8.53538513,0.00700766
8.55922699,0.01798099
8.58306885,0.03145020
8.60691071,0.03529751
8.63075256,0.02240185
8.65459442,0.01316124
8.67843628,0.05177564
8.70227814,0.07690819
8.72612000,0.03139724
8.74996185,0.00580752
8.77380371,0.01424543
8.79764557,0.01309833
8.82148743,0.00974767
8.84532928,0.00338604
8.86917114,0.01201783
8.89301300,0.01059473
8.91685486,0.01055676
8.94069672,0.04287344
8.96453857,0.14743570
8.98838043,0.52780520
9.01222229,0.53189310
9.03606415,0.15058760
9.05990601,0.03259574
9.08374786,0.03244583
9.10758972,0.01407154
9.13143158,0.01323049
9.15527344,0.01593126
9.17911530,0.00689351
9.20295715,0.01743029
9.22679901,0.01575354
9.25064087,0.01425407
9.27448273,0.01848023
9.29832458,0.06477226
9.32216644,0.04210040
9.34600830,0.10270080
9.36985016,0.06486105
9.39369202,0.02803198
9.41753387,0.03604067
9.44137573,0.02481447
9.46521759,0.00850660
9.48905945,0.00812508
9.51290131,0.01891263
9.53674316,0.00749546
9.56058502,0.02035528
9.58442688,0.03342232
9.60826874,0.02485271
9.63211060,0.05625709
9.65595245,0.07854776
9.67979431,0.03125496
9.70363617,0.07691137
9.72747803,0.03521071
9.75131989,0.01958099
9.77516174,0.03522009
9.79900360,0.03216681
9.82284546,0.01872518
9.84668732,0.00875940
9.87052917,0.01096709
9.89437103,0.02241588
9.91821289,0.02322831
9.94205475,0.04587196
9.96589661,0.05544223
9.98973846,0.03483458
10.01358032,0.03541249
10.03742218,0.05976731
10.06126404,0.04343369
10.08510590,0.01450882
10.10894775,0.00303249
10.13278961,0.01337499
10.15663147,0.01579985
10.18047333,0.00900591
10.20431519,0.01579451
10.22815704,0.01600939
10.25199890,0.00375366
10.27584076,0.03227498
10.29968262,0.07461212
10.32352448,0.05587167
10.34736633,0.07235242
10.37120819,0.03675225
10.39505005,0.01656329
10.41889191,0.02518269
10.44273376,0.01363315
10.46657562,0.00477912
10.49041748,0.01253923
10.51425934,0.01088921
10.53810120,0.01320721
10.56194305,0.02569770
10.58578491,0.02145344
10.60962677,0.00583772
10.63346863,0.09238680
10.65731049,0.13314260
10.68115234,0.04269962
10.70499420,0.04969379
10.72883606,0.02452506
10.75267792,0.03754049
10.77651978,0.03470926
10.80036163,0.02485218
10.82420349,0.02906025
10.84804535,0.02673033
10.87188721,0.01604664
10.89572906,0.01090848
10.91957092,0.03772204
10.94341278,0.06771842
10.96725464,0.22692620
10.99109650,0.49544530
11.01493835,0.44805850
11.03878021,0.16961300
11.06262207,0.05010082
11.08646393,0.01826997
11.11030579,0.01599195
11.13414764,0.02257808
11.15798950,0.00729228
11.18183136,0.02121753
11.20567322,0.02889558
11.22951508,0.01798848
11.25335693,0.01536480
11.27719879,0.05687176
11.30104065,0.09824248
11.32488251,0.05941752
11.34872437,0.00925142
11.37256622,0.02197654
11.39640808,0.04516081
11.42024994,0.03879309
11.44409180,0.01815636
11.46793365,0.00644773
11.49177551,0.01223888
11.51561737,0.00521787
11.53945923,0.01672224
11.56330109,0.02412462
11.58714294,0.01864561
11.61098480,0.02807120
11.63482666,0.13593240
11.65866852,0.17789550
11.68251038,0.06032609
11.70635223,0.02205155
11.73019409,0.00653096
11.75403595,0.02081727
11.77787781,0.01275262
11.80171967,0.00231082
11.82556152,0.01389913
11.84940338,0.02169261
11.87324524,0.01492681
11.89708710,0.00691016
11.92092896,0.03545165
11.94477081,0.06806745
11.96861267,0.37220630
11.99245453,0.84267740
12.01629639,0.72709790
12.04013824,0.23845950
12.06398010,0.03735905
12.08782196,0.00956859
12.11166382,0.01857798
12.13550568,0.01435306
12.15934753,0.00845817
12.18318939,0.00817992
12.20703125,0.01439226
12.23087311,0.00995203
12.25471497,0.02673655
12.27855682,0.05684700
12.30239868,0.08311668
12.32624054,0.06661366
12.35008240,0.03989116
12.37392426,0.04886725
12.39776611,0.04312591
12.42160797,0.02714937
12.44544983,0.01917846
12.46929169,0.00919509
12.49313354,0.00591723
12.51697540,0.02250743
12.54081726,0.02832123
12.56465912,0.02320348
12.58850098,0.00883554
12.61234283,0.04411856
12.63618469,0.16213280
12.66002655,0.19472170
12.68386841,0.07449921
12.70771027,0.01482755
12.73155212,0.00818337
12.75539398,0.01297842
12.77923584,0.02210150
12.80307770,0.02145926
12.82691956,0.01195296
12.85076141,0.01148658
12.87460327,0.01054557
12.89844513,0.02363397
12.92228699,0.03046630
12.94612885,0.06620567
12.96997070,0.49207170
12.99381256,1.09766500
13.01765442,0.89102040
13.04149628,0.25227470
13.06533813,0.02656141
13.08917999,0.01242347
13.11302185,0.02660819
13.13686371,0.02186293
13.16070557,0.01901760
13.18454742,0.01717467
13.20838928,0.01775954
13.23223114,0.01344549
13.25607300,0.02980009
13.27991486,0.06415528
13.30375671,0.08661783
13.32759857,0.09064287
13.35144043,0.08186246
13.37528229,0.06572808
13.39912415,0.04012429
13.42296600,0.01497908
13.44680786,0.00893368
13.47064972,0.01530878
13.49449158,0.01187198
13.51833344,0.01968905
13.54217529,0.01806780
13.56601715,0.00912303
13.58985901,0.01191512
13.61370087,0.05003477
13.63754272,0.17208480
13.66138458,0.20860210
13.68522644,0.09826650
13.70906830,0.03056081
13.73291016,0.03700089
13.75675201,0.03351376
13.78059387,0.01275850
13.80443573,0.00790735
13.82827759,0.01531235
13.85211945,0.00923524
13.87596130,0.01203665
13.89980316,0.03322508
13.92364502,0.03282017
13.94748688,0.07699993
13.97132874,0.58247320
13.99517059,1.21522400
14.01901245,0.91808870
14.04285431,0.22878020
14.06669617,0.01208242
14.09053802,0.01929026
14.11437988,0.02948992
14.13822174,0.02087127
14.16206360,0.00407241
14.18590546,0.00526367
14.20974731,0.00387520
14.23358917,0.02127869
14.25743103,0.04409756
14.28127289,0.06215758
14.30511475,0.07335827
14.32895660,0.10385140
14.35279846,0.12033470
14.37664032,0.08473850
14.40048218,0.03829882
14.42432404,0.00411920
14.44816589,0.02066629
14.47200775,0.02414461
14.49584961,0.01768881
14.51969147,0.00739342
14.54353333,0.00805731
14.56737518,0.01065164
14.59121704,0.01491269
14.61505890,0.07594512
14.63890076,0.17627830
14.66274261,0.18948940
14.68658447,0.08422437
14.71042633,0.02314442
14.73426819,0.02670478
14.75811005,0.01870627
14.78195190,0.00443305
14.80579376,0.01261903
14.82963562,0.02088718
14.85347748,0.01428393
14.87731934,0.00640836
14.90116119,0.01221794
14.92500305,0.01128154
14.94884491,0.05486261
14.97268677,0.57602150
14.99652863,1.17968700
15.02037048,0.84515800
15.04421234,0.18391760
15.06805420,0.01358734
15.09189606,0.02777837
15.11573792,0.01561039
15.13957977,0.00475843
15.16342163,0.01919683
15.18726349,0.01878343
15.21110535,0.00366535
15.23494720,0.01674927
15.25878906,0.03756236
15.28263092,0.04722217
15.30647278,0.06492338
15.33031464,0.13288100
15.35415649,0.15119360
15.37799835,0.08324994
15.40184021,0.02034334
15.42568207,0.00717086
15.44952393,0.01686897
15.47336578,0.01806596
15.49720764,0.01397171
15.52104950,0.01928961
15.54489136,0.01384281
15.56873322,0.00982193
15.59257507,0.03665221
15.61641693,0.08028534
15.64025879,0.14568610
15.66410065,0.15242130
15.68794250,0.08400859
15.71178436,0.04555371
15.73562622,0.03553524
15.75946808,0.02124312
15.78330994,0.01061361
15.80715179,0.00165426
15.83099365,0.00538341
15.85483551,0.02110639
15.87867737,0.03365092
15.90251923,0.03033284
15.92636108,0.01195233
15.95020294,0.04617964
15.97404480,0.52022770
15.99788666,1.03422500
16.02172852,0.68996140
16.04557037,0.12284480
16.06941223,0.03167497
16.09325409,0.02710748
16.11709595,0.00721937
16.14093781,0.01001970
16.16477966,0.01891300
16.18862152,0.01626811
16.21246338,0.01153526
16.23630524,0.01744014
16.26014709,0.02332355
16.28398895,0.01875236
16.30783081,0.03919639
16.33167267,0.13006340
16.35551453,0.15966880
16.37935638,0.08246657
16.40319824,0.01520364
16.42704010,0.01887671
16.45088196,0.02968321
16.47472382,0.02349738
16.49856567,0.00609332
16.52240753,0.01327385
16.54624939,0.02303482
16.57009125,0.01922119
16.59393311,0.02192331
16.61777496,0.06013805
16.64161682,0.09061167
16.66545868,0.09565206
16.68930054,0.08015826
16.71314240,0.05155844
16.73698425,0.02612298
16.76082611,0.01801956
16.78466797,0.01556023
16.80850983,0.00571736
16.83235168,0.01899558
16.85619354,0.02518024
16.88003540,0.02154212
16.90387726,0.00742266
16.92771912,0.00954505
16.95156097,0.05315746
16.97540283,0.44974570
16.99924469,0.83345810
17.02308655,0.51980670
17.04692841,0.07640456
17.07077026,0.02522535
17.09461212,0.02172186
17.11845398,0.01013212
17.14229584,0.01249826
17.16613770,0.00907448
17.18997955,0.00468925
17.21382141,0.01968106
17.23766327,0.03304571
17.26150513,0.03386928
17.28534698,0.02482521
17.30918884,0.01326144
17.33303070,0.10313780
17.35687256,0.13061400
17.38071442,0.05758771
17.40455627,0.01625308
17.42839813,0.02786851
17.45223999,0.03346609
17.47608185,0.01850599
17.49992371,0.01598293
17.52376556,0.01275165
17.54760742,0.00457178
17.57144928,0.02637962
17.59529114,0.04832799
17.61913300,0.05458966
17.64297485,0.04233434
17.66681671,0.04857412
17.69065857,0.07710209
17.71450043,0.06592383
17.73834229,0.03144211
17.76218414,0.01114475
17.78602600,0.00387933
17.80986786,0.01216624
17.83370972,0.00603335
17.85755157,0.02039936
17.88139343,0.02419394
17.90523529,0.00725499
17.92907715,0.03331674
17.95291901,0.04313555
17.97676086,0.29711410
18.00060272,0.55091070
18.02444458,0.31221580
18.04828644,0.03748204
18.07212830,0.03167304
18.09597015,0.01813839
18.11981201,0.00578114
18.14365387,0.01283132
18.16749573,0.01157277
18.19133759,0.00831147
18.21517944,0.01368876
18.23902130,0.01352647
18.26286316,0.00498698
18.28670502,0.04180073
18.31054688,0.05566057
18.33438873,0.09751783
18.35823059,0.11484590
18.38207245,0.02832335
18.40591431,0.01294561
18.42975616,0.01176323
18.45359802,0.00817070
18.47743988,0.00379488
18.50128174,0.01122155
18.52512360,0.01343423
18.54896545,0.02098202
