Частота,A * B
(kГц),(?)

0.00000000,0.02691776
0.02384186,0.01128635
0.04768372,0.00170741
0.07152557,0.00013727
0.09536743,0.00010176
0.11920929,0.00006357
0.14305115,0.00005401
0.16689301,0.00006351
0.19073486,0.00007408
0.21457672,0.00012282
0.23841858,0.00014244
0.26226044,0.00006812
0.28610229,0.00006568
0.30994415,0.00039463
0.33378601,0.00096500
0.35762787,0.00089177
0.38146973,0.00034033
0.40531158,0.00012864
0.42915344,0.00011148
0.45299530,0.00009384
0.47683716,0.00009143
0.50067902,0.00007236
0.52452087,0.00004874
0.54836273,0.00004681
0.57220459,0.00009716
0.59604645,0.00013641
0.61988831,0.00029835
0.64373016,0.00067743
0.66757202,0.00065097
0.69141388,0.00023505
0.71525574,0.00009838
0.73909760,0.00005087
0.76293945,0.00011947
0.78678131,0.00010483
0.81062317,0.00006463
0.83446503,0.00005485
0.85830688,0.00006442
0.88214874,0.00008279
0.90599060,0.00007979
0.92983246,0.00007957
0.95367432,0.00195605
0.97751617,0.01136906
1.00135803,0.01801098
1.02519989,0.01004022
1.04904175,0.00135729
1.07288361,0.00013416
1.09672546,0.00008078
1.12056732,0.00008355
1.14440918,0.00006374
1.16825104,0.00002287
1.19209290,0.00006087
1.21593475,0.00013249
1.23977661,0.00014703
1.26361847,0.00007287
1.28746033,0.00004821
1.31130219,0.00050364
1.33514404,0.00114763
1.35898590,0.00099660
1.38282776,0.00035702
1.40666962,0.00009710
1.43051147,0.00005811
1.45435333,0.00004638
1.47819519,0.00004901
1.50203705,0.00004682
1.52587891,0.00002768
1.54972076,0.00001588
1.57356262,0.00007531
1.59740448,0.00011969
1.62124634,0.00022161
1.64508820,0.00041395
1.66893005,0.00036339
1.69277191,0.00022718
1.71661377,0.00011466
1.74045563,0.00004766
1.76429749,0.00011323
1.78813934,0.00009033
1.81198120,0.00005674
1.83582306,0.00004813
1.85966492,0.00002980
1.88350677,0.00003441
1.90734863,0.00006476
1.93119049,0.00008266
1.95503235,0.00195465
1.97887421,0.01035770
2.00271606,0.01546313
2.02655792,0.00810644
2.05039978,0.00095361
2.07424164,0.00015596
2.09808350,0.00011675
2.12192535,0.00006150
2.14576721,0.00005759
2.16960907,0.00004904
2.19345093,0.00005588
2.21729279,0.00012624
2.24113464,0.00015496
2.26497650,0.00011409
2.28881836,0.00017106
2.31266022,0.00063592
2.33650208,0.00120365
2.36034393,0.00095470
2.38418579,0.00031790
2.40802765,0.00008577
2.43186951,0.00005505
2.45571136,0.00005952
2.47955322,0.00007978
2.50339508,0.00008433
2.52723694,0.00006643
2.55107880,0.00002675
2.57492065,0.00003913
2.59876251,0.00006886
2.62260437,0.00006846
2.64644623,0.00010132
2.67028809,0.00025330
2.69412994,0.00032500
2.71797180,0.00016257
2.74181366,0.00007209
2.76565552,0.00011267
2.78949738,0.00009803
2.81333923,0.00007924
2.83718109,0.00006278
2.86102295,0.00006678
2.88486481,0.00008144
2.90870667,0.00006388
2.93254852,0.00005811
2.95639038,0.00166981
2.98023224,0.00811515
3.00407410,0.01144357
3.02791595,0.00565934
3.05175781,0.00061455
3.07559967,0.00007739
3.09944153,0.00003264
3.12328339,0.00005085
3.14712524,0.00002341
