Частота,A * B
(kГц),(?)

0.00000000,0.00074678
0.02384186,0.00024993
0.04768372,0.00005183
0.07152557,0.00002645
0.09536743,0.00002232
0.11920929,0.00014742
0.14305115,0.00047128
0.16689301,0.00052926
0.19073486,0.00028285
0.21457672,0.00013740
0.23841858,0.00004791
0.26226044,0.00004353
0.28610229,0.00014209
0.30994415,0.00027058
0.33378601,0.00046160
0.35762787,0.00040093
0.38146973,0.00012155
0.40531158,0.00002299
0.42915344,0.00004243
0.45299530,0.00017892
0.47683716,0.00079177
0.50067902,0.00122871
0.52452087,0.00063422
0.54836273,0.00011252
0.57220459,0.00005866
0.59604645,0.00005267
0.61988831,0.00020048
0.64373016,0.00059329
0.66757202,0.00062591
0.69141388,0.00031168
0.71525574,0.00013322
0.73909760,0.00003209
0.76293945,0.00006929
0.78678131,0.00017191
0.81062317,0.00027120
0.83446503,0.00037279
0.85830688,0.00028072
0.88214874,0.00007729
0.90599060,0.00004334
0.92983246,0.00004369
0.95367432,0.00030088
0.97751617,0.00148149
1.00135803,0.00228216
1.02519989,0.00122642
1.04904175,0.00017605
1.07288361,0.00004771
1.09672546,0.00003023
1.12056732,0.00023214
1.14440918,0.00066613
1.16825104,0.00067188
1.19209290,0.00027577
1.21593475,0.00008122
1.23977661,0.00001764
1.26361847,0.00005356
1.28746033,0.00014564
1.31130219,0.00022316
1.33514404,0.00024590
1.35898590,0.00016653
1.38282776,0.00002678
1.40666962,0.00002814
1.43051147,0.00001836
1.45435333,0.00043203
1.47819519,0.00223869
1.50203705,0.00337322
1.52587891,0.00177775
1.54972076,0.00022056
1.57356262,0.00003042
1.59740448,0.00003536
1.62124634,0.00022548
1.64508820,0.00067731
1.66893005,0.00067534
1.69277191,0.00026545
1.71661377,0.00008408
1.74045563,0.00002885
1.76429749,0.00002502
1.78813934,0.00013312
1.81198120,0.00019912
1.83582306,0.00019269
1.85966492,0.00011427
1.88350677,0.00002263
1.90734863,0.00003279
1.93119049,0.00004428
1.95503235,0.00062740
1.97887421,0.00298445
2.00271606,0.00437463
2.02655792,0.00226928
2.05039978,0.00030365
2.07424164,0.00005798
2.09808350,0.00006342
2.12192535,0.00026620
2.14576721,0.00075576
2.16960907,0.00070972
2.19345093,0.00026677
2.21729279,0.00008987
2.24113464,0.00002901
2.26497650,0.00005633
2.28881836,0.00016149
2.31266022,0.00021221
2.33650208,0.00011500
2.36034393,0.00004954
2.38418579,0.00005282
2.40802765,0.00001416
2.43186951,0.00003537
2.45571136,0.00077332
2.47955322,0.00364427
2.50339508,0.00521192
2.52723694,0.00263600
2.55107880,0.00033283
2.57492065,0.00006565
2.59876251,0.00007588
2.62260437,0.00031757
2.64644623,0.00079792
2.67028809,0.00072826
2.69412994,0.00024720
2.71797180,0.00006055
2.74181366,0.00005139
2.76565552,0.00008495
2.78949738,0.00015080
2.81333923,0.00017109
2.83718109,0.00013969
2.86102295,0.00012917
2.88486481,0.00008776
2.90870667,0.00003405
2.93254852,0.00002265
2.95639038,0.00092309
2.98023224,0.00427948
3.00407410,0.00596568
3.02791595,0.00290888
3.05175781,0.00032694
3.07559967,0.00005603
3.09944153,0.00007520
3.12328339,0.00033190
3.14712524,0.00081054
