Время,A * B
(mс),(?)

-1.00031996,0.14616090
-0.99999996,0.11753910
-0.99967996,0.09845784
-0.99935996,0.06029538
-0.99903996,0.04121416
-0.99871996,0.01259232
-0.99839996,-0.00660141
-0.99807996,-0.04542554
-0.99775996,-0.06373258
-0.99743996,-0.09395569
-0.99711996,-0.11143560
-0.99679996,-0.14005750
-0.99647996,-0.15913870
-0.99615996,-0.19101600
-0.99583996,-0.22013410
-0.99551996,-0.24925220
-0.99519996,-0.26866430
-0.99487996,-0.28807630
-0.99455996,-0.30752110
-0.99423996,-0.33663920
-0.99391996,-0.35605120
-0.99359996,-0.36575730
-0.99327996,-0.39487530
-0.99295996,-0.40458140
-0.99263996,-0.42399340
-0.99231996,-0.44340550
-0.99199996,-0.45311150
-0.99167996,-0.46281760
-0.99135996,-0.48222960
-0.99103996,-0.49193560
-0.99071996,-0.49193560
-0.99039996,-0.51134770
-0.99007996,-0.51134770
-0.98975996,-0.52105370
-0.98943996,-0.52105370
-0.98911996,-0.53980550
-0.98879996,-0.53980550
-0.98847996,-0.53075980
-0.98815996,-0.52105370
-0.98783996,-0.53075980
-0.98751996,-0.52105370
-0.98719996,-0.52993400
-0.98687996,-0.52006260
-0.98655996,-0.51019110
-0.98623996,-0.50031970
-0.98591996,-0.50031970
-0.98559996,-0.48057680
-0.98527996,-0.47070530
-0.98495996,-0.45851930
-0.98463996,-0.44848240
-0.98431996,-0.43121950
-0.98399996,-0.40160520
-0.98367996,-0.39829810
-0.98335996,-0.37822430
-0.98303996,-0.35815060
-0.98271996,-0.33250500
-0.98239996,-0.31800310
-0.98207996,-0.28785870
-0.98175996,-0.26778500
-0.98143996,-0.23767440
-0.98111996,-0.21760060
-0.98079996,-0.18749010
-0.98047996,-0.16741630
-0.98015996,-0.13730570
-0.97983996,-0.10719510
-0.97951996,-0.08712137
-0.97919996,-0.05701077
-0.97887996,-0.02690016
-0.97855996,-0.00682642
-0.97823996,0.02328418
-0.97791996,0.05339479
-0.97759996,0.08350539
-0.97727996,0.11361600
-0.97695996,0.13589310
-0.97663996,0.16380030
-0.97631996,0.19391090
-0.97599996,0.21751140
-0.97567996,0.23405840
-0.97535996,0.26852280
-0.97503996,0.28892740
-0.97471996,0.31953430
-0.97439996,0.33997320
-0.97407996,0.36037780
-0.97375996,0.38078230
-0.97343996,0.40118690
-0.97311996,0.42159150
-0.97279996,0.43482960
-0.97247996,0.45219830
-0.97215996,0.47260290
-0.97183996,0.48280520
-0.97151996,0.49300750
-0.97119996,0.50320980
-0.97087996,0.52361430
-0.97055996,0.53381660
-0.97023996,0.53381660
-0.96991996,0.53381660
-0.96959996,0.54401890
-0.96927996,0.55422120
-0.96895996,0.55422120
-0.96863996,0.56442350
-0.96831996,0.55422120
-0.96799996,0.55422120
-0.96767996,0.55422120
-0.96735996,0.54401890
-0.96703996,0.54401890
-0.96671996,0.53381660
-0.96639996,0.52361430
-0.96607996,0.52361430
-0.96575996,0.51136880
-0.96543996,0.49300750
-0.96511996,0.49063340
-0.96479996,0.46989800
-0.96447996,0.45953020
-0.96415996,0.43179380
-0.96383996,0.41805940
-0.96351996,0.39732400
-0.96319996,0.37658860
-0.96287996,0.35585320
-0.96255996,0.33508290
-0.96223996,0.31434740
-0.96191996,0.28324430
-0.96159996,0.26250890
-0.96127996,0.24177350
-0.96095996,0.21067040
-0.96063996,0.17956730
-0.96031996,0.15883180
-0.95999996,0.12772870
-0.95967996,0.10699330
-0.95935996,0.07710105
-0.95903996,0.04478709
-0.95871996,0.01368398
-0.95839996,-0.01769707
-0.95807996,-0.04852226
-0.95775996,-0.07036269
-0.95743996,-0.10036080
-0.95711996,-0.13146390
-0.95679996,-0.15219930
-0.95647996,-0.18622710
-0.95615996,-0.21782640
-0.95583996,-0.23889270
-0.95551996,-0.25995890
-0.95519996,-0.29155830
-0.95487996,-0.31262450
-0.95455996,-0.33898480
-0.95423996,-0.37108210
-0.95391996,-0.38639180
-0.95359996,-0.40745810
-0.95327996,-0.42852440
