Частота,A * B
(kГц),(?)

0.00000000,0.00106811
0.02384186,0.00044309
0.04768372,0.00012234
0.07152557,0.00006178
0.09536743,0.00007474
0.11920929,0.00019043
0.14305115,0.00023408
0.16689301,0.00015810
0.19073486,0.00003984
0.21457672,0.00009712
0.23841858,0.00012388
0.26226044,0.00004311
0.28610229,0.00007389
0.30994415,0.00015548
0.33378601,0.00010397
0.35762787,0.00007317
0.38146973,0.00010690
0.40531158,0.00010941
0.42915344,0.00006258
0.45299530,0.00003042
0.47683716,0.00004073
0.50067902,0.00005919
0.52452087,0.00011699
0.54836273,0.00016750
0.57220459,0.00016978
0.59604645,0.00016861
0.61988831,0.00015604
0.64373016,0.00009865
0.66757202,0.00004132
0.69141388,0.00005218
0.71525574,0.00004507
0.73909760,0.00011316
0.76293945,0.00022166
0.78678131,0.00007824
0.81062317,0.00007883
0.83446503,0.00007510
0.85830688,0.00010576
0.88214874,0.00010895
0.90599060,0.00010287
0.92983246,0.00018760
0.95367432,0.00021272
0.97751617,0.00022966
1.00135803,0.00026921
1.02519989,0.00013154
1.04904175,0.00007580
1.07288361,0.00012591
1.09672546,0.00013691
1.12056732,0.00012791
1.14440918,0.00003010
1.16825104,0.00012191
1.19209290,0.00015256
1.21593475,0.00015931
1.23977661,0.00017410
1.26361847,0.00018751
1.28746033,0.00017129
1.31130219,0.00010360
1.33514404,0.00011081
1.35898590,0.00009538
1.38282776,0.00012877
1.40666962,0.00017841
1.43051147,0.00016051
1.45435333,0.00009311
1.47819519,0.00007800
1.50203705,0.00008479
1.52587891,0.00004188
1.54972076,0.00018920
1.57356262,0.00021519
1.59740448,0.00015666
1.62124634,0.00007887
1.64508820,0.00015487
1.66893005,0.00026569
1.69277191,0.00021099
1.71661377,0.00011180
1.74045563,0.00004802
1.76429749,0.00003711
1.78813934,0.00002389
1.81198120,0.00003568
1.83582306,0.00008820
1.85966492,0.00012600
1.88350677,0.00009333
1.90734863,0.00008218
1.93119049,0.00001610
1.95503235,0.00008927
1.97887421,0.00019724
2.00271606,0.00025476
2.02655792,0.00020458
2.05039978,0.00009064
2.07424164,0.00008234
2.09808350,0.00008957
2.12192535,0.00011752
2.14576721,0.00012909
2.16960907,0.00003267
2.19345093,0.00016784
2.21729279,0.00026603
2.24113464,0.00028006
2.26497650,0.00020629
2.28881836,0.00015514
2.31266022,0.00005028
2.33650208,0.00032352
2.36034393,0.00032289
2.38418579,0.00015163
2.40802765,0.00008410
2.43186951,0.00007653
2.45571136,0.00020688
2.47955322,0.00007899
2.50339508,0.00010615
2.52723694,0.00012333
2.55107880,0.00005923
2.57492065,0.00004678
2.59876251,0.00009961
2.62260437,0.00014502
2.64644623,0.00012353
2.67028809,0.00005906
2.69412994,0.00003880
2.71797180,0.00003006
2.74181366,0.00007300
2.76565552,0.00007321
2.78949738,0.00009854
2.81333923,0.00009639
2.83718109,0.00008101
2.86102295,0.00016490
2.88486481,0.00018152
2.90870667,0.00012849
2.93254852,0.00009373
2.95639038,0.00013388
2.98023224,0.00022968
3.00407410,0.00027567
3.02791595,0.00018504
3.05175781,0.00009640
3.07559967,0.00015001
3.09944153,0.00018894
3.12328339,0.00014284
3.14712524,0.00010956
