Время,A * B
(mс),(?)

-1.00023218,-0.07508162
-0.99991218,-0.08782162
-0.99959218,-0.09565457
-0.99927218,-0.10480830
-0.99895218,-0.12212710
-0.99863218,-0.13030260
-0.99831218,-0.14420240
-0.99799218,-0.14861440
-0.99767218,-0.16185070
-0.99735218,-0.17067490
-0.99703218,-0.17949900
-0.99671218,-0.18391110
-0.99639218,-0.19273530
-0.99607218,-0.20155940
-0.99575218,-0.20597150
-0.99543218,-0.21038360
-0.99511218,-0.21479570
-0.99479218,-0.22361980
-0.99447218,-0.22803190
-0.99415218,-0.22803190
-0.99383218,-0.24115890
-0.99351218,-0.24573640
-0.99319218,-0.23685610
-0.99287218,-0.24573640
-0.99255218,-0.24573640
-0.99223218,-0.25031390
-0.99191218,-0.24573640
-0.99159218,-0.25031390
-0.99127218,-0.24573640
-0.99095218,-0.23244400
-0.99063218,-0.24115890
-0.99031218,-0.23658140
-0.98999218,-0.23200390
-0.98967218,-0.22742640
-0.98935218,-0.22284890
-0.98903218,-0.22615910
-0.98871218,-0.21667330
-0.98839218,-0.21193030
-0.98807218,-0.20244450
-0.98775218,-0.18622890
-0.98743218,-0.18821570
-0.98711218,-0.17872990
-0.98679218,-0.16924400
-0.98647218,-0.15501530
-0.98615218,-0.14552940
-0.98583218,-0.13602760
-0.98551218,-0.12654180
-0.98519218,-0.11705590
-0.98487218,-0.09808425
-0.98455218,-0.08859841
-0.98423218,-0.07911257
-0.98391218,-0.06014088
-0.98359218,-0.05065504
-0.98327218,-0.04260505
-0.98295218,-0.02694043
-0.98263218,-0.01315501
-0.98231218,0.00151710
-0.98199218,0.01138669
-0.98167218,0.02611171
-0.98135218,0.04083673
-0.98103218,0.05556174
-0.98071218,0.06791800
-0.98039218,0.08010344
-0.98007218,0.09482846
-0.97975218,0.10464510
-0.97943218,0.11937020
-0.97911218,0.12918680
-0.97879218,0.13900350
-0.97847218,0.15372850
-0.97815218,0.16356170
-0.97783218,0.17337840
-0.97751218,0.18319510
-0.97719218,0.19301180
-0.97687218,0.20282850
-0.97655218,0.21264510
-0.97623218,0.21755350
-0.97591218,0.23503290
-0.97559218,0.23227850
-0.97527218,0.24518040
-0.97495218,0.25532790
-0.97463218,0.26040170
-0.97431218,0.26547550
-0.97399218,0.27054920
-0.97367218,0.27054920
-0.97335218,0.27562300
-0.97303218,0.27562300
-0.97271218,0.27562300
-0.97239218,0.28069670
-0.97207218,0.27562300
-0.97175218,0.27562300
-0.97143218,0.27562300
-0.97111218,0.28460900
-0.97079218,0.27054920
-0.97047218,0.26547550
-0.97015218,0.26889150
-0.96983218,0.26365230
-0.96951218,0.25025420
-0.96919218,0.25317400
-0.96887218,0.24793480
-0.96855218,0.22995910
-0.96823218,0.21981160
-0.96791218,0.22173890
-0.96759218,0.21126050
-0.96727218,0.20078220
-0.96695218,0.19030380
-0.96663218,0.17982550
-0.96631218,0.16409030
-0.96599218,0.15846200
-0.96567218,0.14765280
-0.96535218,0.13265520
-0.96503218,0.12603440
-0.96471218,0.10982060
-0.96439218,0.09360687
-0.96407218,0.08279767
-0.96375218,0.06658389
-0.96343218,0.05037010
-0.96311218,0.03415632
-0.96279218,0.02334712
-0.96247218,0.00713334
-0.96215218,-0.00367585
-0.96183218,-0.01988964
-0.96151218,-0.03610342
-0.96119218,-0.05231721
-0.96087218,-0.06853100
-0.96055218,-0.07934019
-0.96023218,-0.09555397
-0.95991218,-0.10961860
-0.95959218,-0.12257700
-0.95927218,-0.13746870
-0.95895218,-0.14959990
-0.95863218,-0.16531880
-0.95831218,-0.17647760
-0.95799218,-0.19318760
-0.95767218,-0.19875760
-0.95735218,-0.21546770
-0.95703218,-0.22660770
-0.95671218,-0.23774770
-0.95639218,-0.24331770
-0.95607218,-0.24888770
-0.95575218,-0.26002780
-0.95543218,-0.26559780
-0.95511218,-0.27673780
-0.95479218,-0.28230780
-0.95447218,-0.29642720
-0.95415218,-0.29642720
-0.95383218,-0.30216270
-0.95351218,-0.30216270
-0.95319218,-0.30789810
