Частота,A * B
(kГц),(?)

0.00000000,0.00097811
0.02384186,0.00040875
0.04768372,0.00012608
0.07152557,0.00014224
0.09536743,0.00012970
0.11920929,0.00006575
0.14305115,0.00002435
0.16689301,0.00007073
0.19073486,0.00008187
0.21457672,0.00012146
0.23841858,0.00017423
0.26226044,0.00009691
0.28610229,0.00004123
0.30994415,0.00003119
0.33378601,0.00009240
0.35762787,0.00014537
0.38146973,0.00009160
0.40531158,0.00006806
0.42915344,0.00015720
0.45299530,0.00015251
0.47683716,0.00007155
0.50067902,0.00011090
0.52452087,0.00008663
0.54836273,0.00004623
0.57220459,0.00011133
0.59604645,0.00005935
0.61988831,0.00014555
0.64373016,0.00018531
0.66757202,0.00011797
0.69141388,0.00009871
0.71525574,0.00008607
0.73909760,0.00003350
0.76293945,0.00019077
0.78678131,0.00012716
0.81062317,0.00006621
0.83446503,0.00006321
0.85830688,0.00007504
0.88214874,0.00016870
0.90599060,0.00025473
0.92983246,0.00026436
0.95367432,0.00024607
0.97751617,0.00032940
1.00135803,0.00034068
1.02519989,0.00012904
1.04904175,0.00010943
1.07288361,0.00012044
1.09672546,0.00006041
1.12056732,0.00002957
1.14440918,0.00004038
1.16825104,0.00005289
1.19209290,0.00008829
1.21593475,0.00016458
1.23977661,0.00014565
1.26361847,0.00011640
1.28746033,0.00013456
1.31130219,0.00017138
1.33514404,0.00026508
1.35898590,0.00023815
1.38282776,0.00011423
1.40666962,0.00009562
1.43051147,0.00013225
1.45435333,0.00016581
1.47819519,0.00018808
1.50203705,0.00014863
1.52587891,0.00013954
1.54972076,0.00021446
1.57356262,0.00022881
1.59740448,0.00012048
1.62124634,0.00003717
1.64508820,0.00009428
1.66893005,0.00010472
1.69277191,0.00008377
1.71661377,0.00004855
1.74045563,0.00002081
1.76429749,0.00006785
1.78813934,0.00004467
1.81198120,0.00005548
1.83582306,0.00013591
1.85966492,0.00009378
1.88350677,0.00005155
1.90734863,0.00009061
1.93119049,0.00008996
1.95503235,0.00014354
1.97887421,0.00014238
2.00271606,0.00008120
2.02655792,0.00010048
2.05039978,0.00013310
2.07424164,0.00006300
2.09808350,0.00006531
2.12192535,0.00008757
2.14576721,0.00011573
2.16960907,0.00014706
2.19345093,0.00014542
2.21729279,0.00008378
2.24113464,0.00005344
2.26497650,0.00012623
2.28881836,0.00016817
2.31266022,0.00019866
2.33650208,0.00042237
2.36034393,0.00039969
2.38418579,0.00016497
2.40802765,0.00011116
2.43186951,0.00011137
2.45571136,0.00009593
2.47955322,0.00005848
2.50339508,0.00008643
2.52723694,0.00007024
2.55107880,0.00011614
2.57492065,0.00008566
2.59876251,0.00007237
2.62260437,0.00008455
2.64644623,0.00006658
2.67028809,0.00004465
2.69412994,0.00012499
2.71797180,0.00017989
2.74181366,0.00028607
2.76565552,0.00029998
2.78949738,0.00019634
2.81333923,0.00017301
2.83718109,0.00016938
2.86102295,0.00010183
2.88486481,0.00010306
2.90870667,0.00013324
2.93254852,0.00012620
2.95639038,0.00004989
2.98023224,0.00014202
3.00407410,0.00019146
3.02791595,0.00015465
3.05175781,0.00009655
3.07559967,0.00009112
3.09944153,0.00005748
3.12328339,0.00004292
3.14712524,0.00006785
