Время,A * B
(mс),(?)

-1.00001844,-0.18765880
-0.99969844,-0.18355100
-0.99937844,-0.19286890
-0.99905844,-0.18383180
-0.99873844,-0.17931320
-0.99841844,-0.15479640
-0.99809844,-0.14247300
-0.99777844,-0.14768310
-0.99745844,-0.13864590
-0.99713844,-0.12959360
-0.99681844,-0.11603780
-0.99649844,-0.09727331
-0.99617844,-0.09344489
-0.99585844,-0.08440773
-0.99553844,-0.07085198
-0.99521844,-0.05729624
-0.99489844,-0.04825907
-0.99457844,-0.03470332
-0.99425844,-0.02114758
-0.99393844,-0.00759183
-0.99361844,0.00144534
-0.99329844,0.01500109
-0.99297844,0.02403825
-0.99265844,0.03759400
-0.99233844,0.05566832
-0.99201844,0.06470549
-0.99169844,0.07374266
-0.99137844,0.08729841
-0.99105844,0.09633557
-0.99073844,0.10989130
-0.99041844,0.12344710
-0.99009844,0.13248420
-0.98977844,0.14152140
-0.98945844,0.16426230
-0.98913844,0.17905040
-0.98881844,0.18397970
-0.98849844,0.19383850
-0.98817844,0.20369720
-0.98785844,0.21355590
-0.98753844,0.20027820
-0.98721844,0.20931530
-0.98689844,0.23820270
-0.98657844,0.24313210
-0.98625844,0.24806150
-0.98593844,0.25299080
-0.98561844,0.25792020
-0.98529844,0.25792020
-0.98497844,0.26284950
-0.98465844,0.26777890
-0.98433844,0.26777890
-0.98401844,0.26777890
-0.98369844,0.27270830
-0.98337844,0.27270830
-0.98305844,0.27270830
-0.98273844,0.26777890
-0.98241844,0.26777890
-0.98209844,0.26284950
-0.98177844,0.25792020
-0.98145844,0.25299080
-0.98113844,0.27407340
-0.98081844,0.24313210
-0.98049844,0.25805300
-0.98017844,0.23327340
-0.97985844,0.24203260
-0.97953844,0.21355590
-0.97921844,0.22601210
-0.97889844,0.21533180
-0.97857844,0.20465150
-0.97825844,0.19397130
-0.97793844,0.18329100
-0.97761844,0.17259270
-0.97729844,0.15657230
-0.97697844,0.14589200
-0.97665844,0.12987160
-0.97633844,0.11919130
-0.97601844,0.10851100
-0.97569844,0.09249057
-0.97537844,0.08181027
-0.97505844,0.06578984
-0.97473844,0.05510956
-0.97441844,0.03634506
-0.97409844,0.01909229
-0.97377844,0.00704827
-0.97345844,-0.00391140
-0.97313844,-0.02691510
-0.97281844,-0.03841694
-0.97249844,-0.05566971
-0.97217844,-0.07292248
-0.97185844,-0.09017526
-0.97153844,-0.10167710
-0.97121844,-0.11892990
-0.97089844,-0.13043170
-0.97057844,-0.14768450
-0.97025844,-0.15918630
-0.96993844,-0.17068820
-0.96961844,-0.18796030
-0.96929844,-0.19946220
-0.96897844,-0.21096400
-0.96865844,-0.22246590
-0.96833844,-0.23396770
-0.96801844,-0.23971860
-0.96769844,-0.25122050
-0.96737844,-0.27532650
-0.96705844,-0.28764990
-0.96673844,-0.27422420
-0.96641844,-0.29997330
-0.96609844,-0.31229670
-0.96577844,-0.31845840
-0.96545844,-0.31845840
-0.96513844,-0.32462010
-0.96481844,-0.32462010
-0.96449844,-0.33078180
-0.96417844,-0.33078180
-0.96385844,-0.33694350
-0.96353844,-0.33694350
-0.96321844,-0.33078180
-0.96289844,-0.33078180
-0.96257844,-0.33078180
-0.96225844,-0.32462010
-0.96193844,-0.32462010
-0.96161844,-0.31845840
-0.96129844,-0.31229670
-0.96097844,-0.30613500
-0.96065844,-0.29997330
-0.96033844,-0.28764990
-0.96001844,-0.30025410
-0.95969844,-0.26916480
-0.95937844,-0.26300310
-0.95905844,-0.25067970
-0.95873844,-0.23835630
-0.95841844,-0.22603290
-0.95809844,-0.22795670
-0.95777844,-0.21481180
-0.95745844,-0.18906260
-0.95713844,-0.18849970
-0.95681844,-0.16878230
-0.95649844,-0.15563730
-0.95617844,-0.13591990
-0.95585844,-0.11510150
-0.95553844,-0.10305740
-0.95521844,-0.08333998
-0.95489844,-0.07019501
-0.95457844,-0.05047756
-0.95425844,-0.03733259
-0.95393844,-0.01761514
-0.95361844,0.00210231
-0.95329844,0.02181976
-0.95297844,0.03496473
