Время,A * B
(mс),(?)

-1.00031390,-0.16711980
-0.99999390,-0.15890420
-0.99967390,-0.16575740
-0.99935390,-0.15220170
-0.99903390,-0.14316450
-0.99871390,-0.12192010
-0.99839390,-0.12507500
-0.99807390,-0.11151920
-0.99775390,-0.10248210
-0.99743390,-0.09344489
-0.99711390,-0.07988915
-0.99679390,-0.06633341
-0.99647390,-0.05729624
-0.99615390,-0.04374048
-0.99583390,-0.03018474
-0.99551390,-0.01511727
-0.99519390,-0.00307325
-0.99487390,0.00596392
-0.99455390,0.01951967
-0.99423390,0.03307541
-0.99391390,0.04663116
-0.99359390,0.05566832
-0.99327390,0.06922407
-0.99295390,0.07826124
-0.99263390,0.09181698
-0.99231390,0.10085420
-0.99199390,0.11440990
-0.99167390,0.12344710
-0.99135390,0.13700280
-0.99103390,0.14604000
-0.99071390,0.15509240
-0.99039390,0.16412950
-0.99007390,0.18890910
-0.98975390,0.19876780
-0.98943390,0.20862660
-0.98911390,0.21355590
-0.98879390,0.22341460
-0.98847390,0.23327340
-0.98815390,0.23820270
-0.98783390,0.24313210
-0.98751390,0.24806150
-0.98719390,0.25299080
-0.98687390,0.25792020
-0.98655390,0.26284950
-0.98623390,0.26284950
-0.98591390,0.26777890
-0.98559390,0.27270830
-0.98527390,0.26777890
-0.98495390,0.27270830
-0.98463390,0.26777890
-0.98431390,0.26777890
-0.98399390,0.26777890
-0.98367390,0.26284950
-0.98335390,0.25792020
-0.98303390,0.25792020
-0.98271390,0.25299080
-0.98239390,0.26873330
-0.98207390,0.24313210
-0.98175390,0.23327340
-0.98143390,0.24737270
-0.98111390,0.23669240
-0.98079390,0.23135230
-0.98047390,0.22067200
-0.98015390,0.20999170
-0.97983390,0.19931140
-0.97951390,0.18863110
-0.97919390,0.17795080
-0.97887390,0.16725260
-0.97855390,0.15123210
-0.97823390,0.14055190
-0.97791390,0.12453140
-0.97759390,0.11385110
-0.97727390,0.10317080
-0.97695390,0.08715042
-0.97663390,0.07112999
-0.97631390,0.06044970
-0.97599390,0.04209599
-0.97567390,0.03059414
-0.97535390,0.01334137
-0.97503390,0.00183952
-0.97471390,-0.01541325
-0.97439390,-0.03266602
-0.97407390,-0.04991879
-0.97375390,-0.06142064
-0.97343390,-0.07292248
-0.97311390,-0.09592618
-0.97279390,-0.10742800
-0.97247390,-0.12468080
-0.97215390,-0.14193360
-0.97183390,-0.15343540
-0.97151390,-0.16493730
-0.97119390,-0.19522430
-0.97087390,-0.18796030
-0.97055390,-0.20521310
-0.97023390,-0.21671490
-0.96991390,-0.22821680
-0.96959390,-0.23396770
-0.96927390,-0.26300310
-0.96895390,-0.27532650
-0.96863390,-0.26272230
-0.96831390,-0.29381160
-0.96799390,-0.27997510
-0.96767390,-0.28572600
-0.96735390,-0.31229670
-0.96703390,-0.31845840
-0.96671390,-0.32462010
-0.96639390,-0.32462010
-0.96607390,-0.33078180
-0.96575390,-0.33078180
-0.96543390,-0.33078180
-0.96511390,-0.33078180
-0.96479390,-0.33694350
-0.96447390,-0.33078180
-0.96415390,-0.33078180
-0.96383390,-0.33078180
-0.96351390,-0.32462010
-0.96319390,-0.31845840
-0.96287390,-0.31845840
-0.96255390,-0.30613500
-0.96223390,-0.29997330
-0.96191390,-0.29381160
-0.96159390,-0.28764990
-0.96127390,-0.27532650
-0.96095390,-0.26916480
-0.96063390,-0.25684140
-0.96031390,-0.24451800
-0.95999390,-0.23835630
-0.95967390,-0.22603290
-0.95935390,-0.20754780
-0.95903390,-0.19522430
-0.95871390,-0.19507220
-0.95839390,-0.17055680
-0.95807390,-0.16220980
-0.95775390,-0.14906480
-0.95743390,-0.12934740
-0.95711390,-0.11620240
-0.95679390,-0.09045465
-0.95647390,-0.07676750
-0.95615390,-0.05705004
-0.95583390,-0.04390508
-0.95551390,-0.02418762
-0.95519390,-0.00447017
-0.95487390,0.00867479
-0.95455390,0.02839224
-0.95423390,0.04810970
-0.95391390,0.06782714
-0.95359390,0.08097211
-0.95327390,0.10068960
-0.95295390,0.11383450
