Частота,A * B
(kГц),(?)

0.00000000,0.00210988
0.02384186,0.00076319
0.04768372,0.00025049
0.07152557,0.00016042
0.09536743,0.00004481
0.11920929,0.00005259
0.14305115,0.00009485
0.16689301,0.00006801
0.19073486,0.00011739
0.21457672,0.00021102
0.23841858,0.00020640
0.26226044,0.00011319
0.28610229,0.00028646
0.30994415,0.00024251
0.33378601,0.00017152
0.35762787,0.00019835
0.38146973,0.00018450
0.40531158,0.00026981
0.42915344,0.00011951
0.45299530,0.00007528
0.47683716,0.00019653
0.50067902,0.00021885
0.52452087,0.00011378
0.54836273,0.00003460
0.57220459,0.00011838
0.59604645,0.00018355
0.61988831,0.00007531
0.64373016,0.00016852
0.66757202,0.00005292
0.69141388,0.00026222
0.71525574,0.00023605
0.73909760,0.00012039
0.76293945,0.00023631
0.78678131,0.00023155
0.81062317,0.00014802
0.83446503,0.00016398
0.85830688,0.00031060
0.88214874,0.00029134
0.90599060,0.00037977
0.92983246,0.00024997
0.95367432,0.00021765
0.97751617,0.00073261
1.00135803,0.00108195
1.02519989,0.00061675
1.04904175,0.00014396
1.07288361,0.00014668
1.09672546,0.00004675
1.12056732,0.00013630
1.14440918,0.00009288
1.16825104,0.00000965
1.19209290,0.00004477
1.21593475,0.00012322
1.23977661,0.00033758
1.26361847,0.00032914
1.28746033,0.00019001
1.31130219,0.00015317
1.33514404,0.00017122
1.35898590,0.00018907
1.38282776,0.00023749
1.40666962,0.00018278
1.43051147,0.00012974
1.45435333,0.00014580
1.47819519,0.00019218
1.50203705,0.00023162
1.52587891,0.00015920
1.54972076,0.00018379
1.57356262,0.00037156
1.59740448,0.00036126
1.62124634,0.00021768
1.64508820,0.00004824
1.66893005,0.00023552
1.69277191,0.00029267
1.71661377,0.00018142
1.74045563,0.00005237
1.76429749,0.00007934
1.78813934,0.00020815
1.81198120,0.00026022
1.83582306,0.00017044
1.85966492,0.00009606
1.88350677,0.00023596
1.90734863,0.00027320
1.93119049,0.00012649
1.95503235,0.00020681
1.97887421,0.00041394
2.00271606,0.00049839
2.02655792,0.00041856
2.05039978,0.00022683
2.07424164,0.00009837
2.09808350,0.00014788
2.12192535,0.00019373
2.14576721,0.00014007
2.16960907,0.00017300
2.19345093,0.00021809
2.21729279,0.00011445
2.24113464,0.00023315
2.26497650,0.00022683
2.28881836,0.00003077
2.31266022,0.00009076
2.33650208,0.00010626
2.36034393,0.00011192
2.38418579,0.00010364
2.40802765,0.00007155
2.43186951,0.00008519
2.45571136,0.00009590
2.47955322,0.00025377
2.50339508,0.00026435
2.52723694,0.00010757
2.55107880,0.00007874
2.57492065,0.00009528
2.59876251,0.00009515
2.62260437,0.00013951
2.64644623,0.00015087
2.67028809,0.00011407
2.69412994,0.00007722
2.71797180,0.00018859
2.74181366,0.00034363
2.76565552,0.00042210
2.78949738,0.00033634
2.81333923,0.00028109
2.83718109,0.00017758
2.86102295,0.00004836
2.88486481,0.00011099
2.90870667,0.00002640
2.93254852,0.00018116
2.95639038,0.00027868
2.98023224,0.00072479
3.00407410,0.00096450
3.02791595,0.00040912
3.05175781,0.00003418
3.07559967,0.00008690
3.09944153,0.00032862
3.12328339,0.00052729
3.14712524,0.00039552
