Частота,Канал A
(kГц),(В)

0.00000000,0.41825490
0.02384186,0.17621030
0.04768372,0.02895152
0.07152557,0.00160434
0.09536743,0.00083087
0.11920929,0.00022939
0.14305115,0.00039396
0.16689301,0.00035388
0.19073486,0.00073308
0.21457672,0.00090011
0.23841858,0.00035166
0.26226044,0.00102205
0.28610229,0.00106458
0.30994415,0.00149195
0.33378601,0.00492928
0.35762787,0.00472924
0.38146973,0.00128545
0.40531158,0.00113574
0.42915344,0.00099012
0.45299530,0.00033444
0.47683716,0.00021966
0.50067902,0.00014995
0.52452087,0.00052721
0.54836273,0.00109741
0.57220459,0.00077354
0.59604645,0.00010190
0.61988831,0.00018830
0.64373016,0.00042588
0.66757202,0.00280971
0.69141388,0.00435976
0.71525574,0.00236816
0.73909760,0.00036004
0.76293945,0.00054397
0.78678131,0.00040227
0.81062317,0.00065200
0.83446503,0.00078413
0.85830688,0.00026444
0.88214874,0.00070587
0.90599060,0.00082269
0.92983246,0.00072213
0.95367432,0.00144499
0.97751617,0.00151340
1.00135803,0.00136529
1.02519989,0.00266724
1.04904175,0.00237264
1.07288361,0.00078831
1.09672546,0.00022549
1.12056732,0.00019118
1.14440918,0.00048563
1.16825104,0.00097182
1.19209290,0.00070130
1.21593475,0.00013034
1.23977661,0.00018611
1.26361847,0.00052778
1.28746033,0.00265711
1.31130219,0.00434198
1.33514404,0.00262513
1.35898590,0.00112180
1.38282776,0.00115794
1.40666962,0.00064386
1.43051147,0.00061847
1.45435333,0.00074443
1.47819519,0.00023137
1.50203705,0.00067114
1.52587891,0.00076592
1.54972076,0.00043637
1.57356262,0.00054888
1.59740448,0.00049083
1.62124634,0.00279858
1.64508820,0.00801210
1.66893005,0.00745486
1.69277191,0.00218205
1.71661377,0.00016961
1.74045563,0.00018959
1.76429749,0.00049435
1.78813934,0.00104171
1.81198120,0.00082318
1.83582306,0.00018552
1.85966492,0.00027826
1.88350677,0.00030104
1.90734863,0.00100311
1.93119049,0.00157312
1.95503235,0.03423868
1.97887421,0.17393510
2.00271606,0.25898630
2.02655792,0.13650260
2.05039978,0.01829732
2.07424164,0.00108409
2.09808350,0.00031286
2.12192535,0.00067245
2.14576721,0.00079413
2.16960907,0.00041160
2.19345093,0.00028285
2.21729279,0.00031710
2.24113464,0.00052983
2.26497650,0.00166616
2.28881836,0.00164272
2.31266022,0.00046113
2.33650208,0.00016015
2.36034393,0.00010580
2.38418579,0.00061139
2.40802765,0.00137250
2.43186951,0.00104264
2.45571136,0.00016529
2.47955322,0.00033421
2.50339508,0.00026936
2.52723694,0.00060266
2.55107880,0.00096042
2.57492065,0.00050269
2.59876251,0.00093184
2.62260437,0.00150852
2.64644623,0.00063656
2.67028809,0.00197469
2.69412994,0.00279365
2.71797180,0.00124503
2.74181366,0.00079146
2.76565552,0.00107683
2.78949738,0.00056416
2.81333923,0.00029751
2.83718109,0.00030197
2.86102295,0.00034685
2.88486481,0.00109993
2.90870667,0.00110827
2.93254852,0.00034949
2.95639038,0.00020703
2.98023224,0.00015251
3.00407410,0.00120536
3.02791595,0.00284025
3.05175781,0.00221378
3.07559967,0.00040214
3.09944153,0.00052428
3.12328339,0.00037398
3.14712524,0.00046118
3.17096710,0.00076436
3.19480896,0.00044205
3.21865082,0.00049722
3.24249268,0.00089319
3.26633453,0.00081779
3.29017639,0.00181439
3.31401825,0.00254791
3.33786011,0.00156543
3.36170197,0.00178204
3.38554382,0.00208506
3.40938568,0.00098464
3.43322754,0.00027410
3.45706940,0.00025482
3.48091125,0.00024160
3.50475311,0.00084588
3.52859497,0.00089653
3.55243683,0.00031951
3.57627869,0.00019854
3.60012054,0.00047887
3.62396240,0.00365547
3.64780426,0.00851976
3.67164612,0.00706560
3.69548798,0.00210966
3.71932983,0.00094894
3.74317169,0.00067409
3.76701355,0.00055610
3.79085541,0.00076872
3.81469727,0.00051808
3.83853912,0.00045639
3.86238098,0.00079828
3.88622284,0.00058531
3.91006470,0.00069564
3.93390656,0.00114336
3.95774841,0.03601664
3.98159027,0.15533270
4.00543213,0.20559610
4.02927399,0.09540558
4.05311584,0.00987056
4.07695770,0.00024009
4.10079956,0.00024119
4.12464142,0.00088197
4.14848328,0.00086743
4.17232513,0.00026488
4.19616699,0.00022725
4.22000885,0.00018286
4.24385071,0.00068185
4.26769257,0.00159203
4.29153442,0.00159589
4.31537628,0.00248259
4.33921814,0.00483001
4.36306000,0.00370325
4.38690186,0.00128832
4.41074371,0.00100790
4.43458557,0.00067588
4.45842743,0.00045692
4.48226929,0.00085981
4.50611115,0.00056015
4.52995300,0.00033273
4.55379486,0.00042977
4.57763672,0.00031646
4.60147858,0.00163776
4.62532043,0.00227305
4.64916229,0.00110570
4.67300415,0.00017207
4.69684601,0.00020870
4.72068787,0.00025632
4.74452972,0.00107914
4.76837158,0.00118194
4.79221344,0.00038909
4.81605530,0.00030111
4.83989716,0.00032028
4.86373901,0.00047451
4.88758087,0.00095869
4.91142273,0.00082376
4.93526459,0.00066453
4.95910645,0.00185151
4.98294830,0.00141676
5.00679016,0.00078807
5.03063202,0.00191310
5.05447388,0.00130802
5.07831573,0.00043765
5.10215759,0.00101096
5.12599945,0.00066136
5.14984131,0.00023663
5.17368317,0.00026427
5.19752502,0.00014198
5.22136688,0.00090034
5.24520874,0.00127570
5.26905060,0.00060671
5.29289246,0.00011967
5.31673431,0.00019393
5.34057617,0.00043092
5.36441803,0.00184739
5.38825989,0.00212515
5.41210175,0.00080443
5.43594360,0.00033688
5.45978546,0.00037099
5.48362732,0.00041548
5.50746918,0.00077499
5.53131104,0.00070789
5.55515289,0.00031049
5.57899475,0.00096232
5.60283661,0.00103363
5.62667847,0.00273919
5.65052032,0.00544663
5.67436218,0.00409637
5.69820404,0.00167006
5.72204590,0.00174767
5.74588776,0.00115189
5.76972961,0.00037774
5.79357147,0.00024305
5.81741333,0.00016492
5.84125519,0.00069055
5.86509705,0.00102236
5.88893890,0.00054254
5.91278076,0.00011329
5.93662262,0.00067899
5.96046448,0.03041747
5.98430634,0.11268450
6.00814819,0.13279980
6.03199005,0.05393360
6.05583191,0.00378879
6.07967377,0.00058597
6.10351563,0.00046200
6.12735748,0.00065892
6.15119934,0.00063613
6.17504120,0.00023501
6.19888306,0.00078913
6.22272491,0.00067219
6.24656677,0.00059487
6.27040863,0.00092425
6.29425049,0.00115340
6.31809235,0.00432172
6.34193420,0.00806149
6.36577606,0.00546765
6.38961792,0.00119459
6.41345978,0.00023999
6.43730164,0.00013437
6.46114349,0.00061699
6.48498535,0.00099413
6.50882721,0.00058140
6.53266907,0.00017110
6.55651093,0.00022734
6.58035278,0.00056501
6.60419464,0.00175758
6.62803650,0.00218118
6.65187836,0.00142061
6.67572021,0.00216343
6.69956207,0.00229248
6.72340393,0.00106656
6.74724579,0.00084248
6.77108765,0.00078228
6.79492950,0.00022050
6.81877136,0.00073361
6.84261322,0.00061378
6.86645508,0.00028838
6.89029694,0.00038222
6.91413879,0.00021725
6.93798065,0.00148450
6.96182251,0.00300420
6.98566437,0.00213853
7.00950623,0.00038046
7.03334808,0.00016122
7.05718994,0.00012576
7.08103180,0.00076518
7.10487366,0.00116843
7.12871552,0.00065914
7.15255737,0.00016418
7.17639923,0.00023412
7.20024109,0.00030963
7.22408295,0.00086408
7.24792480,0.00111465
7.27176666,0.00051367
7.29560852,0.00238124
7.31945038,0.00273539
7.34329224,0.00085814
7.36713409,0.00131058
7.39097595,0.00133920
7.41481781,0.00032817
7.43865967,0.00091380
7.46250153,0.00086468
7.48634338,0.00039708
7.51018524,0.00032252
7.53402710,0.00025722
7.55786896,0.00067735
7.58171082,0.00140507
7.60555267,0.00104526
7.62939453,0.00016877
7.65323639,0.00021399
7.67707825,0.00014716
7.70092010,0.00110577
7.72476196,0.00182757
7.74860382,0.00100929
7.77244568,0.00021417
7.79628754,0.00044789
7.82012939,0.00030552
7.84397125,0.00057967
7.86781311,0.00074143
7.89165497,0.00028646
7.91549683,0.00083054
7.93933868,0.00076361
7.96318054,0.01735639
7.98702240,0.05611353
8.01086426,0.05892975
8.03470612,0.02065020
8.05854797,0.00108131
8.08238983,0.00124320
8.10623169,0.00060091
8.13007355,0.00033704
8.15391541,0.00026605
8.17775726,0.00040757
8.20159912,0.00103035
8.22544098,0.00080494
8.24928284,0.00018112
8.27312469,0.00021046
8.29696655,0.00055635
8.32080841,0.00465487
8.34465027,0.00799559
8.36849213,0.00475257
8.39233398,0.00057853
8.41617584,0.00066199
8.44001770,0.00046289
8.46385956,0.00060646
8.48770142,0.00074423
8.51154327,0.00029241
8.53538513,0.00063611
8.55922699,0.00079170
8.58306885,0.00058935
8.60691071,0.00102582
8.63075256,0.00116229
8.65459442,0.00156349
8.67843628,0.00367152
8.70227814,0.00351782
8.72612000,0.00119118
8.74996185,0.00019983
8.77380371,0.00015799
8.79764557,0.00040376
8.82148743,0.00095143
8.84532928,0.00075512
8.86917114,0.00015867
8.89301300,0.00018750
8.91685486,0.00033849
8.94069672,0.00163757
8.96453857,0.00290013
8.98838043,0.00196272
9.01222229,0.00126772
9.03606415,0.00159877
9.05990601,0.00095806
9.08374786,0.00071156
9.10758972,0.00087122
9.13143158,0.00039381
9.15527344,0.00056921
9.17911530,0.00077083
9.20295715,0.00049754
9.22679901,0.00048760
9.25064087,0.00050472
9.27448273,0.00125609
9.29832458,0.00404859
9.32216644,0.00413222
9.34600830,0.00137428
9.36985016,0.00009956
9.39369202,0.00011370
9.41753387,0.00043280
9.44137573,0.00102131
9.46521759,0.00081747
9.48905945,0.00014993
9.51290131,0.00028814
9.53674316,0.00027437
9.56058502,0.00071525
9.58442688,0.00125247
9.60826874,0.00058676
9.63211060,0.00362518
9.65595245,0.00604938
9.67979431,0.00338290
9.70363617,0.00062811
9.72747803,0.00124230
9.75131989,0.00055793
9.77516174,0.00064377
9.79900360,0.00088577
9.82284546,0.00047712
9.84668732,0.00031280
9.87052917,0.00034839
9.89437103,0.00039220
9.91821289,0.00135200
9.94205475,0.00141888
9.96589661,0.00046853
9.98973846,0.00017932
10.01358032,0.00013480
10.03742218,0.00055887
10.06126404,0.00147197
10.08510590,0.00123173
10.10894775,0.00025743
10.13278961,0.00035556
10.15663147,0.00029686
10.18047333,0.00055247
10.20431519,0.00093788
10.22815704,0.00055822
10.25199890,0.00070920
10.27584076,0.00130424
10.29968262,0.00061251
10.32352448,0.00320640
10.34736633,0.00495456
10.37120819,0.00252239
10.39505005,0.00077268
10.41889191,0.00125941
10.44273376,0.00064061
10.46657562,0.00023562
10.49041748,0.00024451
10.51425934,0.00021833
10.53810120,0.00092588
10.56194305,0.00100253
10.58578491,0.00032997
10.60962677,0.00019861
10.63346863,0.00014525
10.65731049,0.00150959
10.68115234,0.00396174
10.70499420,0.00344136
10.72883606,0.00085751
10.75267792,0.00054142
10.77651978,0.00044544
10.80036163,0.00044664
10.82420349,0.00074407
10.84804535,0.00051379
10.87188721,0.00043089
10.89572906,0.00083257
10.91957092,0.00070715
10.94341278,0.00119218
10.96725464,0.00174573
10.99109650,0.00123828
11.01493835,0.00203497
11.03878021,0.00269680
11.06262207,0.00136154
11.08646393,0.00030947
11.11030579,0.00023865
11.13414764,0.00017723
11.15798950,0.00082939
11.18183136,0.00094112
11.20567322,0.00036224
11.22951508,0.00014893
11.25335693,0.00029070
11.27719879,0.00168997
11.30104065,0.00423099
11.32488251,0.00385007
11.34872437,0.00147704
11.37256622,0.00118621
11.39640808,0.00095928
11.42024994,0.00059267
11.44409180,0.00076948
11.46793365,0.00054071
11.49177551,0.00037540
11.51561737,0.00074616
11.53945923,0.00050818
11.56330109,0.00038984
11.58714294,0.00060637
11.61098480,0.00118057
11.63482666,0.00673707
11.65866852,0.00979288
11.68251038,0.00496904
11.70635223,0.00049894
11.73019409,0.00019416
11.75403595,0.00021697
11.77787781,0.00086357
11.80171967,0.00098844
11.82556152,0.00040044
11.84940338,0.00016223
11.87324524,0.00020176
11.89708710,0.00052564
11.92092896,0.00138674
11.94477081,0.00250172
11.96861267,0.01738228
11.99245453,0.04115314
12.01629639,0.03428273
12.04013824,0.00937265
12.06398010,0.00117704
12.08782196,0.00077357
12.11166382,0.00036613
12.13550568,0.00090708
12.15934753,0.00065474
12.18318939,0.00034448
12.20703125,0.00037638
12.23087311,0.00024625
12.25471497,0.00123953
12.27855682,0.00184634
12.30239868,0.00095752
12.32624054,0.00011031
12.35008240,0.00018657
12.37392426,0.00022214
12.39776611,0.00106418
12.42160797,0.00126570
12.44544983,0.00048727
12.46929169,0.00028567
12.49313354,0.00031098
12.51697540,0.00037960
12.54081726,0.00080452
12.56465912,0.00075770
12.58850098,0.00045787
12.61234283,0.00144600
12.63618469,0.00117975
12.66002655,0.00099130
12.68386841,0.00261063
12.70771027,0.00196795
12.73155212,0.00046302
12.75539398,0.00114536
12.77923584,0.00084878
12.80307770,0.00037707
12.82691956,0.00034493
12.85076141,0.00015758
12.87460327,0.00075729
12.89844513,0.00120413
12.92228699,0.00069185
12.94612885,0.00012239
12.96997070,0.00016462
12.99381256,0.00042942
13.01765442,0.00216340
13.04149628,0.00268464
13.06533813,0.00108981
13.08917999,0.00038532
13.11302185,0.00047139
13.13686371,0.00040187
13.16070557,0.00069991
13.18454742,0.00066751
13.20838928,0.00026055
13.23223114,0.00086104
13.25607300,0.00083586
13.27991486,0.00123733
13.30375671,0.00252262
13.32759857,0.00209057
13.35144043,0.00136107
13.37528229,0.00202460
13.39912415,0.00146382
13.42296600,0.00043154
13.44680786,0.00021916
13.47064972,0.00010683
13.49449158,0.00062124
13.51833344,0.00102947
13.54217529,0.00063360
13.56601715,0.00006845
13.58985901,0.00017631
13.61370087,0.00186118
13.63754272,0.00748823
13.66138458,0.00965850
13.68522644,0.00446091
13.70906830,0.00109137
13.73291016,0.00089522
13.75675201,0.00051068
13.78059387,0.00068429
13.80443573,0.00069081
13.82827759,0.00022297
13.85211945,0.00070760
