Частота,Канал A
(kГц),(В)

0.00000000,0.37998400
0.02384186,0.16028800
0.04768372,0.02630709
0.07152557,0.00055771
0.09536743,0.00046786
0.11920929,0.00029903
0.14305115,0.00016683
0.16689301,0.00022184
0.19073486,0.00036793
0.21457672,0.00040413
0.23841858,0.00034766
0.26226044,0.00041988
0.28610229,0.00072566
0.30994415,0.00191302
0.33378601,0.00396207
0.35762787,0.00322619
0.38146973,0.00088516
0.40531158,0.00052549
0.42915344,0.00039006
0.45299530,0.00026127
0.47683716,0.00024586
0.50067902,0.00031913
0.52452087,0.00038185
0.54836273,0.00028503
0.57220459,0.00026439
0.59604645,0.00042548
0.61988831,0.00116594
0.64373016,0.00388525
0.66757202,0.00467165
0.69141388,0.00273482
0.71525574,0.00097802
0.73909760,0.00037119
0.76293945,0.00036669
0.78678131,0.00040189
0.81062317,0.00035411
0.83446503,0.00025059
0.85830688,0.00020489
0.88214874,0.00029754
0.90599060,0.00037484
0.92983246,0.00056259
0.95367432,0.02739386
0.97751617,0.15096360
1.00135803,0.23785470
1.02519989,0.13322900
1.04904175,0.01956251
1.07288361,0.00039711
1.09672546,0.00044504
1.12056732,0.00033167
1.14440918,0.00025775
1.16825104,0.00020653
1.19209290,0.00025325
1.21593475,0.00038268
1.23977661,0.00045427
1.26361847,0.00049244
1.28746033,0.00050547
1.31130219,0.00048405
1.33514404,0.00188394
1.35898590,0.00154964
1.38282776,0.00065671
1.40666962,0.00053938
1.43051147,0.00035159
1.45435333,0.00023400
1.47819519,0.00024311
1.50203705,0.00028133
1.52587891,0.00031369
1.54972076,0.00036904
1.57356262,0.00041714
1.59740448,0.00043488
1.62124634,0.00114645
1.64508820,0.00339753
1.66893005,0.00409271
1.69277191,0.00273676
1.71661377,0.00101434
1.74045563,0.00044186
1.76429749,0.00026737
1.78813934,0.00025257
1.81198120,0.00031498
1.83582306,0.00034723
1.85966492,0.00024383
1.88350677,0.00031350
1.90734863,0.00042328
1.93119049,0.00065372
1.95503235,0.02676949
1.97887421,0.13461800
2.00271606,0.19961520
2.02655792,0.10481070
2.05039978,0.01351007
2.07424164,0.00037161
2.09808350,0.00049319
2.12192535,0.00034962
2.14576721,0.00031901
2.16960907,0.00034231
2.19345093,0.00023948
2.21729279,0.00023690
2.24113464,0.00038037
2.26497650,0.00060458
2.28881836,0.00087950
2.31266022,0.00142673
2.33650208,0.00084045
2.36034393,0.00056403
2.38418579,0.00063822
2.40802765,0.00054744
2.43186951,0.00043822
2.45571136,0.00031718
2.47955322,0.00023675
2.50339508,0.00021789
2.52723694,0.00027977
2.55107880,0.00039898
2.57492065,0.00044471
2.59876251,0.00045522
2.62260437,0.00084832
2.64644623,0.00175908
2.67028809,0.00240976
2.69412994,0.00207167
2.71797180,0.00090082
2.74181366,0.00045595
2.76565552,0.00034912
2.78949738,0.00028741
2.81333923,0.00026225
2.83718109,0.00027641
2.86102295,0.00036808
2.88486481,0.00042906
2.90870667,0.00042205
2.93254852,0.00048355
2.95639038,0.02223446
2.98023224,0.10343190
3.00407410,0.14447090
3.02791595,0.07091328
3.05175781,0.00779638
3.07559967,0.00024891
3.09944153,0.00034911
3.12328339,0.00037985
3.14712524,0.00029730
3.17096710,0.00027371
3.19480896,0.00028390
3.21865082,0.00024286
3.24249268,0.00034305
3.26633453,0.00057705
3.29017639,0.00138931
3.31401825,0.00285618
3.33786011,0.00312131
3.36170197,0.00200291
3.38554382,0.00068505
3.40938568,0.00041894
3.43322754,0.00035407
3.45706940,0.00032373
3.48091125,0.00029754
3.50475311,0.00024594
3.52859497,0.00020835
3.55243683,0.00031735
3.57627869,0.00050434
3.60012054,0.00058550
3.62396240,0.00058970
3.64780426,0.00070646
3.67164612,0.00074149
3.69548798,0.00073046
3.71932983,0.00062899
3.74317169,0.00050987
3.76701355,0.00034084
3.79085541,0.00023988
3.81469727,0.00019059
3.83853912,0.00030330
3.86238098,0.00033699
3.88622284,0.00036246
3.91006470,0.00046772
3.93390656,0.00046291
3.95774841,0.01448155
3.98159027,0.06294793
4.00543213,0.08292267
4.02927399,0.03789854
4.05311584,0.00325325
4.07695770,0.00045632
4.10079956,0.00036478
4.12464142,0.00031695
4.14848328,0.00024741
4.17232513,0.00034571
4.19616699,0.00038633
4.22000885,0.00029788
4.24385071,0.00030020
4.26769257,0.00054619
4.29153442,0.00155940
4.31537628,0.00344600
4.33921814,0.00451456
4.36306000,0.00285401
4.38690186,0.00070050
4.41074371,0.00035750
4.43458557,0.00035097
4.45842743,0.00036665
4.48226929,0.00032439
4.50611115,0.00032090
4.52995300,0.00026320
4.55379486,0.00027973
4.57763672,0.00040654
4.60147858,0.00056269
4.62532043,0.00117127
4.64916229,0.00299146
4.67300415,0.00255774
4.69684601,0.00063345
4.72068787,0.00052234
4.74452972,0.00040656
4.76837158,0.00041351
4.79221344,0.00038552
4.81605530,0.00027156
4.83989716,0.00021589
4.86373901,0.00029535
4.88758087,0.00038012
4.91142273,0.00046410
4.93526459,0.00041762
4.95910645,0.00476420
4.98294830,0.02068600
5.00679016,0.02578450
5.03063202,0.01068591
5.05447388,0.00030583
5.07831573,0.00049345
5.10215759,0.00030503
5.12599945,0.00022150
5.14984131,0.00020692
5.17368317,0.00024997
5.19752502,0.00032603
5.22136688,0.00039922
5.24520874,0.00042286
5.26905060,0.00045589
5.29289246,0.00122252
5.31673431,0.00304098
5.34057617,0.00440467
5.36441803,0.00264730
5.38825989,0.00067866
5.41210175,0.00033090
5.43594360,0.00017021
5.45978546,0.00027346
5.48362732,0.00037922
5.50746918,0.00033002
5.53131104,0.00023977
5.55515289,0.00029790
5.57899475,0.00041092
5.60283661,0.00049741
5.62667847,0.00182553
5.65052032,0.00456475
5.67436218,0.00407276
5.69820404,0.00172497
5.72204590,0.00057550
5.74588776,0.00032688
5.76972961,0.00034187
5.79357147,0.00037830
5.81741333,0.00033182
5.84125519,0.00022124
5.86509705,0.00021572
5.88893890,0.00032851
5.91278076,0.00042550
5.93662262,0.00073928
5.96046448,0.00494132
5.98430634,0.01543927
6.00814819,0.01781080
6.03199005,0.00755313
6.05583191,0.00105641
6.07967377,0.00050026
6.10351563,0.00045941
6.12735748,0.00025995
6.15119934,0.00017905
6.17504120,0.00028988
6.19888306,0.00041428
6.22272491,0.00042490
6.24656677,0.00042677
6.27040863,0.00051826
6.29425049,0.00057510
6.31809235,0.00186775
6.34193420,0.00316926
6.36577606,0.00186046
6.38961792,0.00060357
6.41345978,0.00045897
6.43730164,0.00034517
6.46114349,0.00028282
6.48498535,0.00028705
6.50882721,0.00032903
6.53266907,0.00037192
6.55651093,0.00036649
6.58035278,0.00033252
6.60419464,0.00043452
6.62803650,0.00208986
6.65187836,0.00473533
6.67572021,0.00435178
6.69956207,0.00222109
6.72340393,0.00063230
6.74724579,0.00027160
6.77108765,0.00031899
6.79492950,0.00037542
6.81877136,0.00037217
6.84261322,0.00027768
6.86645508,0.00027613
6.89029694,0.00033052
6.91413879,0.00042037
6.93798065,0.00103475
6.96182251,0.01219729
6.98566437,0.03911822
7.00950623,0.04291707
7.03334808,0.01629870
7.05718994,0.00128102
7.08103180,0.00032083
7.10487366,0.00038990
7.12871552,0.00034507
7.15255737,0.00027823
7.17639923,0.00024989
7.20024109,0.00025499
7.22408295,0.00032973
7.24792480,0.00046806
7.27176666,0.00054850
7.29560852,0.00058110
7.31945038,0.00075016
7.34329224,0.00085442
7.36713409,0.00065260
7.39097595,0.00056124
7.41481781,0.00046424
7.43865967,0.00031757
7.46250153,0.00021833
7.48634338,0.00023572
7.51018524,0.00028501
7.53402710,0.00031770
7.55786896,0.00038060
7.58171082,0.00044397
7.60555267,0.00049195
7.62939453,0.00165543
7.65323639,0.00333081
7.67707825,0.00330773
7.70092010,0.00194067
7.72476196,0.00063733
7.74860382,0.00039498
7.77244568,0.00027814
7.79628754,0.00022281
7.82012939,0.00030468
7.84397125,0.00038104
7.86781311,0.00030958
7.89165497,0.00025652
7.91549683,0.00039122
7.93933868,0.00124859
7.96318054,0.01558179
7.98702240,0.04736306
8.01086426,0.04901682
8.03470612,0.01705853
8.05854797,0.00082080
8.08238983,0.00025552
8.10623169,0.00037552
8.13007355,0.00037605
8.15391541,0.00036096
8.17775726,0.00036913
8.20159912,0.00026267
8.22544098,0.00026046
8.24928284,0.00044442
8.27312469,0.00066910
8.29696655,0.00152690
8.32080841,0.00224041
8.34465027,0.00166306
8.36849213,0.00103868
8.39233398,0.00056484
8.41617584,0.00043557
8.44001770,0.00041814
8.46385956,0.00037551
8.48770142,0.00027548
8.51154327,0.00020593
8.53538513,0.00030271
8.55922699,0.00047388
8.58306885,0.00047753
8.60691071,0.00049187
8.63075256,0.00076317
8.65459442,0.00088593
8.67843628,0.00158403
8.70227814,0.00126283
8.72612000,0.00062106
8.74996185,0.00036990
8.77380371,0.00034829
8.79764557,0.00028494
8.82148743,0.00024270
8.84532928,0.00029140
8.86917114,0.00042251
8.89301300,0.00039938
8.91685486,0.00037384
8.94069672,0.00097554
8.96453857,0.01405600
8.98838043,0.04072789
9.01222229,0.03977187
9.03606415,0.01260549
9.05990601,0.00030304
9.08374786,0.00025219
9.10758972,0.00025186
9.13143158,0.00035217
9.15527344,0.00034698
9.17911530,0.00032917
9.20295715,0.00023388
9.22679901,0.00021489
9.25064087,0.00037936
9.27448273,0.00067053
9.29832458,0.00206040
9.32216644,0.00353573
9.34600830,0.00350153
9.36985016,0.00171529
9.39369202,0.00048122
9.41753387,0.00033125
9.44137573,0.00030505
9.46521759,0.00031927
9.48905945,0.00032784
9.51290131,0.00024008
9.53674316,0.00020791
9.56058502,0.00033842
9.58442688,0.00049523
9.60826874,0.00056481
9.63211060,0.00115393
9.65595245,0.00202198
9.67979431,0.00109707
9.70363617,0.00030148
9.72747803,0.00051361
9.75131989,0.00044793
9.77516174,0.00037256
9.79900360,0.00028287
9.82284546,0.00020366
9.84668732,0.00029563
9.87052917,0.00039774
9.89437103,0.00037759
9.91821289,0.00038339
9.94205475,0.00045783
9.96589661,0.00841963
9.98973846,0.02351111
10.01358032,0.02162665
10.03742218,0.00610328
10.06126404,0.00032409
10.08510590,0.00043643
10.10894775,0.00032181
10.13278961,0.00030184
10.15663147,0.00026710
10.18047333,0.00037314
10.20431519,0.00038269
10.22815704,0.00031727
10.25199890,0.00036081
10.27584076,0.00069199
10.29968262,0.00209945
10.32352448,0.00394649
10.34736633,0.00427871
10.37120819,0.00195057
10.39505005,0.00045002
10.41889191,0.00026968
10.44273376,0.00032395
10.46657562,0.00038342
10.49041748,0.00038131
10.51425934,0.00034040
10.53810120,0.00029013
10.56194305,0.00030932
10.58578491,0.00040043
10.60962677,0.00062647
10.63346863,0.00247648
10.65731049,0.00436478
10.68115234,0.00274558
10.70499420,0.00081276
10.72883606,0.00041782
10.75267792,0.00036343
10.77651978,0.00037394
10.80036163,0.00038108
10.82420349,0.00029607
10.84804535,0.00023714
10.87188721,0.00026825
10.89572906,0.00037160
10.91957092,0.00049039
10.94341278,0.00055646
10.96725464,0.00069584
10.99109650,0.00195537
11.01493835,0.00167652
11.03878021,0.00051622
11.06262207,0.00058274
11.08646393,0.00046342
11.11030579,0.00029689
11.13414764,0.00024944
11.15798950,0.00026029
11.18183136,0.00028534
11.20567322,0.00029077
11.22951508,0.00041062
11.25335693,0.00047068
11.27719879,0.00051207
11.30104065,0.00128406
11.32488251,0.00313891
11.34872437,0.00360016
11.37256622,0.00151838
11.39640808,0.00052622
11.42024994,0.00027584
11.44409180,0.00019619
11.46793365,0.00029505
11.49177551,0.00038356
11.51561737,0.00032372
11.53945923,0.00026107
11.56330109,0.00027093
11.58714294,0.00033265
11.61098480,0.00067535
11.63482666,0.00321491
11.65866852,0.00538925
11.68251038,0.00368190
11.70635223,0.00139237
11.73019409,0.00037879
11.75403595,0.00030640
11.77787781,0.00036964
11.80171967,0.00039114
11.82556152,0.00032480
11.84940338,0.00030278
11.87324524,0.00025483
11.89708710,0.00028472
11.92092896,0.00044760
11.94477081,0.00145618
11.96861267,0.00805673
11.99245453,0.01752657
12.01629639,0.01436536
12.04013824,0.00404338
12.06398010,0.00048178
12.08782196,0.00042920
12.11166382,0.00041690
12.13550568,0.00028893
12.15934753,0.00022767
12.18318939,0.00028436
12.20703125,0.00037126
12.23087311,0.00043513
12.25471497,0.00049445
12.27855682,0.00051723
12.30239868,0.00008214
12.32624054,0.00150164
12.35008240,0.00194883
12.37392426,0.00093682
12.39776611,0.00051819
12.42160797,0.00038296
12.44544983,0.00035229
12.46929169,0.00033782
12.49313354,0.00033358
12.51697540,0.00030527
12.54081726,0.00037958
12.56465912,0.00041531
12.58850098,0.00033597
12.61234283,0.00074587
12.63618469,0.00303747
12.66002655,0.00478745
12.68386841,0.00359289
12.70771027,0.00157504
12.73155212,0.00045220
12.75539398,0.00024128
12.77923584,0.00029048
12.80307770,0.00038024
12.82691956,0.00034674
12.85076141,0.00030183
12.87460327,0.00027105
12.89844513,0.00024097
12.92228699,0.00041788
12.94612885,0.00204168
12.96997070,0.01373174
12.99381256,0.02931314
13.01765442,0.02259116
13.04149628,0.00542314
13.06533813,0.00039734
13.08917999,0.00029407
13.11302185,0.00036105
13.13686371,0.00034894
13.16070557,0.00034143
13.18454742,0.00026917
13.20838928,0.00023860
13.23223114,0.00030586
13.25607300,0.00049613
13.27991486,0.00065722
13.30375671,0.00127007
13.32759857,0.00112483
13.35144043,0.00021389
13.37528229,0.00057559
13.39912415,0.00048341
13.42296600,0.00046677
13.44680786,0.00035965
13.47064972,0.00024586
13.49449158,0.00023389
13.51833344,0.00027843
13.54217529,0.00031679
13.56601715,0.00035550
13.58985901,0.00044218
13.61370087,0.00072895
13.63754272,0.00179380
13.66138458,0.00266193
13.68522644,0.00243006
13.70906830,0.00118533
13.73291016,0.00051391
13.75675201,0.00039248
13.78059387,0.00027272
13.80443573,0.00025365
13.82827759,0.00032791
13.85211945,0.00040065
