kHz;V
0;0.04016764
0.00596046;0.0276968
0.01192093;0.0189107
0.01788139;0.00640871
0.02384186;0.00265601
0.02980232;0.00464775
0.03576279;0.00570705
0.04172325;0.00542712
0.04768372;0.0046344
0.05364418;0.00212368
0.05960464;0.00046243
0.06556511;0.00187956
0.07152557;0.0027812
0.07748604;0.00278619
0.0834465;0.00238832
0.08940697;0.00182576
0.09536743;0.0007176
0.1013279;0.00011785
0.10728836;0.00010259
0.11324883;0.00035312
0.11920929;0.00038838
0.12516975;0.00037062
0.13113022;0.00012594
0.13709068;0.00068689
0.14305115;0.00124525
0.14901161;0.00192655
0.15497208;0.00222353
0.16093254;0.00183266
0.16689301;0.00125977
0.17285347;0.00015209
0.17881393;0.00104659
0.1847744;0.00163825
0.19073486;0.00198604
0.19669533;0.00180214
0.20265579;0.00112214
0.20861626;0.00069403
0.21457672;0.00045512
0.22053719;0.00034972
0.22649765;0.00033777
0.23245811;0.0005235
0.23841858;0.0005474
0.24437904;0.00038333
0.25033951;0.00064752
0.25629997;0.00237807
0.26226044;0.00335137
0.2682209;0.00377276
0.27418137;0.00382794
0.28014183;0.00260322
0.28610229;0.00077409
0.29206276;0.00212603
0.29802322;0.00532925
0.30398369;0.00645247
0.30994415;0.00669629
0.31590462;0.00572608
0.32186508;0.00267903
0.32782555;0.00029656
0.33378601;0.00317871
0.33974648;0.00543092
0.34570694;0.00574826
0.3516674;0.00554101
0.35762787;0.00386052
0.36358833;0.00083552
0.3695488;0.00155529
0.37550926;0.0037337
0.38146973;0.00484358
0.38743019;0.00459181
0.39339066;0.00403215
0.39935112;0.002161
0.40531158;0.00016474
0.41127205;0.00126569
0.41723251;0.00186795
0.42319298;0.00192302
0.42915344;0.00160105
0.43511391;0.0012923
0.44107437;0.00074155
0.44703484;0.00041143
0.4529953;0.00059015
0.45895576;0.00099214
0.46491623;0.00104522
0.47087669;0.00089718
0.47683716;0.00032378
0.48279762;0.00069265
0.48875809;0.00144591
0.49471855;0.00208057
0.50067902;0.0024175
0.50663948;0.00194729
0.51259995;0.00131861
0.51856041;0.0003958
0.52452087;0.0006891
0.53048134;0.00121789
0.5364418;0.00141605
0.54240227;0.00129975
0.54836273;0.00077507
0.5543232;0.0005665
0.56028366;0.00078678
0.56624413;0.00109889
0.57220459;0.00130166
0.57816505;0.00158203
0.58412552;0.00144734
0.59008598;0.00092026
0.59604645;0.00042637
0.60200691;0.00277704
0.60796738;0.0043074
0.61392784;0.00473738
0.61988831;0.00484105
0.62584877;0.00335205
0.63180923;0.00100407
0.6377697;0.00240125
0.64373016;0.00660225
0.64969063;0.00835478
0.65565109;0.00854307
0.66161156;0.00764014
0.66757202;0.00388725
0.67353249;0.00021836
0.67949295;0.00276964
0.68545341;0.00508788
0.69141388;0.00552835
0.69737434;0.00525865
0.70333481;0.00391841
0.70929527;0.00102303
0.71525574;0.00123712
0.7212162;0.00300939
0.72717667;0.00401999
0.73313713;0.00381039
0.7390976;0.00331921
0.74505806;0.00203919
0.75101852;0.00022548
0.75697899;0.00068482
0.76293945;0.00094734
0.76889992;0.00089991
0.77486038;0.00068145
0.78082085;0.00058377
0.78678131;0.0005776
0.79274178;0.00062934
0.79870224;0.0010371
0.8046627;0.00157897
0.81062317;0.00164353
0.81658363;0.00129077
0.8225441;0.00066304
0.82850456;0.00058363
0.83446503;0.00148727
0.84042549;0.00207585
0.84638596;0.00236779
0.85234642;0.00194411
0.85830688;0.00120554
0.86426735;0.0005388
0.87022781;0.00034157
0.87618828;0.00069822
0.88214874;0.00081496
0.88810921;0.00069517
0.89406967;0.00037829
0.90003014;0.00031715
0.9059906;0.00103206
0.91195107;0.00181028
0.91791153;0.00225305
0.92387199;0.00253986
0.92983246;0.00243962
0.93579292;0.00147738
0.94175339;0.00013074
0.94771385;0.00306131
0.95367432;0.00522026
0.95963478;0.00596828
0.96559525;0.00600967
0.97155571;0.00467609
0.97751617;0.01188714
0.98347664;0.08168924
0.9894371;0.2130173
0.99539757;0.2795711
1.00135803;0.2830559
1.0073185;0.2627545
1.01327896;0.1544423
1.01923943;0.03870109
1.02519989;0.00472822
1.03116035;0.00456005
1.03712082;0.0052414
1.04308128;0.00482019
1.04904175;0.00383921
1.05500221;0.00119378
1.06096268;0.00093918
1.06692314;0.00234368
1.07288361;0.00315557
1.07884407;0.00302709
1.08480453;0.00258426
1.090765;0.00181622
1.09672546;0.00050766
1.10268593;0.00023224
1.10864639;0.00019766
1.11460686;0.00014329
1.12056732;0.00007341
1.12652779;0.00022358
1.13248825;0.00033211
1.13844872;0.00073763
1.14440918;0.00125319
1.15036964;0.00191336
1.15633011;0.00206207
1.16229057;0.00165153
1.16825104;0.00102361
1.1742115;0.0002167
1.18017197;0.0013059
1.18613243;0.00185205
1.1920929;0.00218055
1.19805336;0.00183883
1.20401382;0.00113448
1.20997429;0.00064469
1.21593475;0.00020541
1.22189522;0.00015874
1.22785568;0.00008597
1.23381615;0.00022243
1.23977661;0.00024729
1.24573708;0.00015419
1.25169754;0.00099598
1.257658;0.00251714
1.26361847;0.0032118
1.26957893;0.00360888
1.2755394;0.00344064
1.28149986;0.0021154
1.28746033;0.00011497
1.29342079;0.00342662
1.29938126;0.00662136
1.30534172;0.00745326
1.31130219;0.00764525
1.31726265;0.00594763
1.32322311;0.00239303
1.32918358;0.0001444
1.33514404;0.00185243
1.34110451;0.00286134
1.34706497;0.00291233
1.35302544;0.00270773
1.3589859;0.00151376
1.36494637;0.00019342
1.37090683;0.00196508
1.37686729;0.00396561
1.38282776;0.00468761
1.38878822;0.00438205
1.39474869;0.00365469
1.40070915;0.00153972
1.40666962;0.00050548
1.41263008;0.00158449
1.41859055;0.00222907
1.42455101;0.00215787
1.43051147;0.00179086
1.43647194;0.00133784
1.4424324;0.00056946
1.44839287;0.00023379
1.45435333;0.00038561
1.4603138;0.00068278
1.46627426;0.00072019
1.47223473;0.00061229
1.47819519;0.00003849
1.48415565;0.00082147
1.49011612;0.00142827
1.49607658;0.00206093
1.50203705;0.00224942
1.50799751;0.00172075
1.51395798;0.00108011
1.51991844;0.00002145
1.52587891;0.0010978
1.53183937;0.00156299
1.53779984;0.00176999
1.5437603;0.00150056
1.54972076;0.00086325
1.55568123;0.00061007
1.56164169;0.00065895
1.56760216;0.00076816
1.57356262;0.00089036
1.57952309;0.00108806
1.58548355;0.00093934
1.59144402;0.00048389
1.59740448;0.00103538
1.60336494;0.00330885
1.60932541;0.00445177
1.61528587;0.00482381
1.62124634;0.00467966
1.6272068;0.00289556
1.63316727;0.00022996
1.63912773;0.00454138
1.6450882;0.00954596
1.65104866;0.01103642
1.65700912;0.01119291
1.66296959;0.00924908
1.66893005;0.00404581
1.67489052;0.00012527
1.68085098;0.00248183
1.68681145;0.00404046
1.69277191;0.00417017
1.69873238;0.00389746
1.70469284;0.0024761
1.71065331;0.00013596
1.71661377;0.00167504
1.72257423;0.00338239
1.7285347;0.00409879
1.73449516;0.00375929
1.74045563;0.00315652
1.74641609;0.00156856
1.75237656;0.000245
1.75833702;0.00100484
1.76429749;0.0013655
1.77025795;0.00128105
1.77621841;0.00101429
1.78217888;0.00081948
1.78813934;0.00061906
1.79409981;0.00055751
1.80006027;0.00093381
1.80602074;0.00134943
1.8119812;0.00133631
1.81794167;0.00102451
1.82390213;0.00031485
1.82986259;0.00088949
1.83582306;0.00162721
1.84178352;0.00221434
1.84774399;0.00237703
1.85370445;0.00183339
1.85966492;0.0010995
1.86562538;0.00028728
1.87158585;0.00070377
1.87754631;0.00104012
1.88350677;0.00120746
1.88946724;0.00100602
1.8954277;0.00058048
1.90138817;0.0004967
1.90734863;0.00111289
1.9133091;0.00158797
1.91926956;0.00194185
1.92523003;0.00215829
1.93119049;0.001962
1.93715096;0.00102693
1.94311142;0.00074172
1.94907188;0.00397128
1.95503235;0.00568303
1.96099281;0.00634628
1.96695328;0.00610258
1.97291374;0.00467923
1.97887421;0.01953038
1.98483467;0.108111
1.99079514;0.2341291
1.9967556;0.2788302
2.00271606;0.2792382
2.00867653;0.2435746
2.01463699;0.1220586
2.02059746;0.02404677
2.02655792;0.00346265
2.03251839;0.00415552
2.03847885;0.00453315
2.04443932;0.00403114
2.05039978;0.00289449
2.05636024;0.00037119
2.06232071;0.00133022
2.06828117;0.00277343
2.07424164;0.00340228
2.0802021;0.0031659
2.08616257;0.00263044
2.09212303;0.00160057
2.0980835;0.00019579
2.10404396;0.00043887
2.11000443;0.00056324
2.11596489;0.00045064
2.12192535;0.00029327
2.12788582;0.0003087
2.13384628;0.00049355
2.13980675;0.00072992
2.14576721;0.00122792
2.15172768;0.00178126
2.15768814;0.00181633
2.16364861;0.00141624
2.16960907;0.00071923
2.17556953;0.00059441
2.18153;0.00152752
2.18749046;0.00209165
2.19345093;0.00233534
