kHz;V
0;0.03340672
0.02384186;0.02308869
0.04768372;0.01520402
0.07152557;0.00355041
0.09536743;0.00160473
0.11920929;0.00260966
0.14305115;0.002649
0.16689301;0.00253538
0.19073486;0.00220119
0.21457672;0.00110097
0.23841858;0.00105623
0.26226044;0.0015649
0.28610229;0.00182065
0.30994415;0.00175094
0.33378601;0.00153935
0.35762787;0.00105456
0.38146973;0.00052072
0.40531158;0.0005993
0.42915344;0.00109028
0.4529953;0.00131079
0.47683716;0.00123338
0.50067902;0.00093916
0.52452087;0.00069365
0.54836273;0.00286071
0.57220459;0.00727616
0.59604645;0.00971512
0.61988831;0.01023166
0.64373016;0.00979204
0.66757202;0.00608679
0.69141388;0.00167116
0.71525574;0.00077203
0.7390976;0.001821
0.76293945;0.00207916
0.78678131;0.00198222
0.81062317;0.00161811
0.83446503;0.00098621
0.85830688;0.00068548
0.88214874;0.00105784
0.9059906;0.00130156
0.92983246;0.0012
0.95367432;0.00134278
0.97751617;0.00093578
1.00135803;0.00067802
1.02519989;0.00154089
1.04904175;0.00239886
1.07288361;0.00234636
1.09672546;0.00217123
1.12056732;0.00154066
1.14440918;0.00066053
1.16825104;0.0002554
1.1920929;0.00031688
1.21593475;0.00040195
1.23977661;0.00031528
1.26361847;0.00048144
1.28746033;0.00040624
1.31130219;0.00117608
1.33514404;0.00499501
1.3589859;0.00804362
1.38282776;0.00880601
1.40666962;0.00881438
1.43051147;0.00663536
1.45435333;0.00282283
1.47819519;0.00161812
1.50203705;0.00196204
1.52587891;0.00199985
1.54972076;0.00173509
1.57356262;0.00129531
1.59740448;0.00038695
1.62124634;0.00053085
1.6450882;0.001094
1.66893005;0.00151368
1.69277191;0.00143162
1.71661377;0.00112043
1.74045563;0.00059385
1.76429749;0.00038602
1.78813934;0.00142229
1.8119812;0.00313356
1.83582306;0.00345971
1.85966492;0.00367601
1.88350677;0.00291168
1.90734863;0.01297885
1.93119049;0.1354678
1.95503235;0.3936766
1.97887421;0.5477042
2.00271606;0.5599854
2.02655792;0.5315706
2.05039978;0.3355872
2.07424164;0.09287529
2.0980835;0.00581201
2.12192535;0.00244907
2.14576721;0.00275358
2.16960907;0.00302625
2.19345093;0.00280323
2.21729279;0.00177105
2.24113464;0.0013871
2.2649765;0.00192795
2.28881836;0.00191399
2.31266022;0.0014372
2.33650208;0.00110971
2.36034393;0.00055863
2.38418579;0.0000846
2.40802765;0.00015199
2.43186951;0.00014644
2.45571136;0.0002312
2.47955322;0.00030566
2.50339508;0.00050836
2.52723694;0.00080257
2.5510788;0.00291816
2.57492065;0.00678247
2.59876251;0.00833577
2.62260437;0.00834473
2.64644623;0.00777303
2.67028809;0.00458639
2.69412994;0.0008688
2.7179718;0.00136913
2.74181366;0.00271486
2.76565552;0.00327654
2.78949738;0.00347587
2.81333923;0.00273212
2.83718109;0.00128811
2.86102295;0.00033465
2.88486481;0.00059162
2.90870667;0.00099433
2.93254852;0.00103271
2.95639038;0.00110592
2.98023224;0.0008452
3.0040741;0.00106014
3.02791595;0.00206839
3.05175781;0.00277671
3.07559967;0.00272783
3.09944153;0.00250683
3.12328339;0.00173547
3.14712524;0.00086543
3.1709671;0.00074942
3.19480896;0.0012682
3.21865082;0.00130883
3.24249268;0.0012488
3.26633453;0.00095997
3.29017639;0.00064132
3.31401825;0.00141476
3.33786011;0.00464625
3.36170197;0.00687835
3.38554382;0.00715347
3.40938568;0.00693211
3.43322754;0.00478481
3.4570694;0.00186108
3.48091125;0.00172316
3.50475311;0.00256866
3.52859497;0.00268323
3.55243683;0.00244114
3.57627869;0.00183314
3.60012054;0.00076946
3.6239624;0.00045607
3.64780426;0.00061004
3.67164612;0.0004702
3.69548798;0.00052639
3.71932983;0.00025497
3.74317169;0.00025855
3.76701355;0.00029683
3.79085541;0.0011954
3.81469727;0.0026545
3.83853912;0.00282073
3.86238098;0.00302551
3.88622284;0.00196618
3.9100647;0.01801926
3.93390656;0.1524643
3.95774841;0.399778
3.98159027;0.5248806
4.00543213;0.5314809
4.02927399;0.493145
4.05311584;0.2892946
4.0769577;0.07099008
4.10079956;0.00371933
4.12464142;0.00140054
4.14848328;0.00145611
4.17232513;0.00171036
4.19616699;0.00125222
4.22000885;0.00062149
4.24385071;0.00076745
4.26769257;0.00174352
4.29153442;0.00210361
4.31537628;0.00203143
4.33921814;0.00158217
4.36306;0.00045626
4.38690186;0.00062294
4.41074371;0.00076214
4.43458557;0.00065975
4.45842743;0.00052292
4.48226929;0.00046381
4.50611115;0.00045658
4.529953;0.00016093
4.55379486;0.00217995
4.57763672;0.00561373
4.60147858;0.00685334
4.62532043;0.00698895
4.64916229;0.00632817
4.67300415;0.00327421
4.69684601;0.0007611
4.72068787;0.00278808
4.74452972;0.00415708
4.76837158;0.00444658
4.79221344;0.00433508
4.8160553;0.00305367
4.83989716;0.00110058
4.86373901;0.00031657
4.88758087;0.00043473
4.91142273;0.00061842
4.93526459;0.00069118
4.95910645;0.00073078
4.9829483;0.00051222
5.00679016;0.00092831
5.03063202;0.00203504
5.05447388;0.002733
5.07831573;0.00284665
5.10215759;0.0026997
5.12599945;0.00183433
5.14984131;0.00102706
5.17368317;0.00166271
5.19752502;0.00267806
5.22136688;0.00275865
5.24520874;0.0027335
5.2690506;0.002059
5.29289246;0.00100213
5.31673431;0.00163808
5.34057617;0.00385392
5.36441803;0.00504234
5.38825989;0.00494208
5.41210175;0.00465848
5.4359436;0.00290271
5.45978546;0.0010753
5.48362732;0.00165962
5.50746918;0.00285952
5.53131104;0.00319261
5.55515289;0.0031152
5.57899475;0.00259522
5.60283661;0.00125808
5.62667847;0.00052343
5.65052032;0.0006713
5.67436218;0.000495
5.69820404;0.0004523
5.7220459;0.00012965
5.74588776;0.00011774
5.76972961;0.0005984
5.79357147;0.001557
5.81741333;0.00273183
5.84125519;0.00274217
5.86509705;0.00292746
5.8889389;0.0015146
5.91278076;0.02278719
5.93662262;0.1630424
5.96046448;0.388548
5.98430634;0.4845939
6.00814819;0.4876548
6.03199005;0.4400131
6.05583191;0.2389443
6.07967377;0.05175779
6.10351563;0.00208616
6.12735748;0.00106742
6.15119934;0.00075983
6.1750412;0.00087284
6.19888306;0.00030102
6.22272491;0.00004133
6.24656677;0.0008445
6.27040863;0.00188415
6.29425049;0.0021566
6.31809235;0.00198272
6.3419342;0.00148633
6.36577606;0.00049683
6.38961792;0.00019652
6.41345978;0.00065842
6.43730164;0.00107397
6.46114349;0.00110098
6.48498535;0.00121395
6.50882721;0.00099204
6.53266907;0.00075561
6.55651093;0.00241657
6.58035278;0.00476431
6.60419464;0.0055046
6.6280365;0.00546183
6.65187836;0.00442617
6.67572021;0.00182275
6.69956207;0.00096528
6.72340393;0.0032805
6.74724579;0.00449096
6.77108765;0.00448349
6.7949295;0.00423168
6.81877136;0.00275517
6.84261322;0.00090282
6.86645508;0.00049528
6.89029694;0.00028787
6.91413879;0.0000477
6.93798065;0.00034727
6.96182251;0.00049762
6.98566437;0.00038107
7.00950623;0.00055966
7.03334808;0.0014344
7.05718994;0.0019868
7.0810318;0.0021598
7.10487366;0.00213315
7.12871552;0.00157207
7.15255737;0.00113909
7.17639923;0.00213287
7.20024109;0.00341727
7.22408295;0.00363301
7.2479248;0.00369821
7.27176666;0.00298876
7.29560852;0.00157998
7.31945038;0.00120648
7.34329224;0.00227348
7.36713409;0.00288464
7.39097595;0.00287565
7.41481781;0.0025435
7.43865967;0.00134748
7.46250153;0.00048527
7.48634338;0.00128058
7.51018524;0.00223619
7.5340271;0.00245427
7.55786896;0.00224606
7.58171082;0.00154483
7.60555267;0.00042107
7.62939453;0.00039726
7.65323639;0.00101303
7.67707825;0.00119266
7.7009201;0.00131855
7.72476196;0.00096978
7.74860382;0.00054607
7.77244568;0.00062614
7.79628754;0.00161346
7.82012939;0.00250666
7.84397125;0.00241081
7.86781311;0.00251421
7.89165497;0.00108602
7.91549683;0.02702606
7.93933868;0.1651461
7.96318054;0.3591336
7.9870224;0.4278414
8.01086426;0.428602
8.03470612;0.3737665
8.05854797;0.1868581
8.08238983;0.03576342
8.10623169;0.00207632
8.13007355;0.00086339
8.15391541;0.00117539
8.17775726;0.00086683
8.20159912;0.00090213
8.22544098;0.00030898
8.24928284;0.00066561
8.27312469;0.00172616
8.29696655;0.00217764
8.32080841;0.00252118
8.34465027;0.00241812
8.36849213;0.00166555
8.39233398;0.00116098
8.41617584;0.00171888
8.4400177;0.00209844
8.46385956;0.0020894
8.48770142;0.00182225
8.51154327;0.001084
8.53538513;0.00018471
8.55922699;0.00139555
8.58306885;0.00260628
8.60691071;0.00285232
8.63075256;0.00277447
8.65459442;0.0022056
8.67843628;0.00066343
8.70227814;0.00128133
8.72612;0.00353923
8.74996185;0.00477415
8.77380371;0.00495392
8.79764557;0.00471939
8.82148743;0.00313679
8.84532928;0.00127806
8.86917114;0.00104155
8.893013;0.00139448
8.91685486;0.00151843
8.94069672;0.00154066
8.96453857;0.00145811
8.98838043;0.00116892
9.01222229;0.00060773
9.03606415;0.00021608
9.05990601;0.00078902
9.08374786;0.00111198
9.10758972;0.00124775
9.13143158;0.00083367
9.15527344;0.00075422
9.1791153;0.00268835
9.20295715;0.0044764
9.22679901;0.0047795
9.25064087;0.00479324
9.27448273;0.00351427
9.29832458;0.00125683
9.32216644;0.00014189
9.3460083;0.00063045
9.36985016;0.00086878
9.39369202;0.00082122
9.41753387;0.00064827
9.44137573;0.00055306
9.46521759;0.0010016
9.48905945;0.00219526
9.51290131;0.00308761
9.53674316;0.00310473
9.56058502;0.00272079
9.58442688;0.00178268
9.60826874;0.0006349
9.6321106;0.00076559
9.65595245;0.00166593
9.67979431;0.00213162
9.70363617;0.00235393
9.72747803;0.00217367
9.75131989;0.00155931
9.77516174;0.0011351
9.7990036;0.00094908
9.82284546;0.00121592
9.84668732;0.0010694
9.87052917;0.00122257
9.89437103;0.00056838
9.91821289;0.0304617
9.94205475;0.1588084
9.96589661;0.3158396
9.98973846;0.3614795
10.01358032;0.3606462
10.03742218;0.3018715
10.06126404;0.1382275
10.0851059;0.0231694
10.10894775;0.00142791
10.13278961;0.00067635
10.15663147;0.00078919
10.18047333;0.00037025
10.20431519;0.00017888
10.22815704;0.000715
10.2519989;0.0011485
10.27584076;0.00168703
10.29968262;0.00178263
10.32352448;0.00168478
10.34736633;0.00115816
10.37120819;0.00028559
10.39505005;0.00042875
10.41889191;0.00134968
10.44273376;0.00211274
10.46657562;0.00240879
10.49041748;0.00217823
10.51425934;0.0012059
10.5381012;0.00024324
10.56194305;0.00023504
10.58578491;0.00022596
10.60962677;0.00008298
10.63346863;0.00015621
10.65731049;0.0003056
10.68115234;0.00032242
10.7049942;0.00134007
10.72883606;0.00341735
10.75267792;0.00453782
10.77651978;0.00467824
10.80036163;0.00428638
10.82420349;0.00261441
10.84804535;0.00098962
10.87188721;0.00110405
10.89572906;0.00159405
10.91957092;0.00167361
10.94341278;0.00152976
10.96725464;0.00113129
10.9910965;0.00058091
11.01493835;0.00064051
11.03878021;0.0007364
11.06262207;0.0005719
11.08646393;0.00050295
11.11030579;0.00045769
11.13414764;0.00030303
11.1579895;0.00050944
11.18183136;0.00292496
11.20567322;0.00471372
11.22951508;0.00505588
11.25335693;0.00486733
11.27719879;0.00312056
11.30104065;0.00050004
11.32488251;0.00170653
11.34872437;0.00319702
11.37256622;0.00370253
11.39640808;0.00346776
11.42024994;0.00283404
11.4440918;0.00154438
11.46793365;0.00067167
11.49177551;0.00163673
11.51561737;0.00215577
11.53945923;0.00214023
11.56330109;0.00214599
11.58714294;0.00160297
11.6109848;0.00081556
11.63482666;0.00114383
11.65866852;0.00184145
11.68251038;0.00212943
11.70635223;0.00222181
11.73019409;0.0018436
11.75403595;0.00098171
11.77787781;0.000192
11.80171967;0.00034533
11.82556152;0.00061621
11.84940338;0.00065706
11.87324524;0.00085415
11.8970871;0.00092899
11.92092896;0.03012133
11.94477081;0.14031
11.96861267;0.2581041
11.99245453;0.2858632
12.01629639;0.2840436
12.04013824;0.2271515
12.0639801;0.09490128
12.08782196;0.01413453
12.11166382;0.00191138
