kHz;V
0;0.00897943
0.00596046;0.0062085
0.01192093;0.00436579
0.01788139;0.00178433
0.02384186;0.00124971
0.02980232;0.00295615
0.03576279;0.00371399
0.04172325;0.00363614
0.04768372;0.00324531
0.05364418;0.00160123
0.05960464;0.00086024
0.06556511;0.00191805
0.07152557;0.00305241
0.07748604;0.00327377
0.0834465;0.00304149
0.08940697;0.00237116
0.09536743;0.0010013
0.1013279;0.00121908
0.10728836;0.00187468
0.11324883;0.00236891
0.11920929;0.00226459
0.12516975;0.0019867
0.13113022;0.00134549
0.13709068;0.00083016
0.14305115;0.00106532
0.14901161;0.00128373
0.15497208;0.0013726
0.16093254;0.00107344
0.16689301;0.00088532
0.17285347;0.00062076
0.17881393;0.00053337
0.1847744;0.00029446
0.19073486;0.00031316
0.19669533;0.00035058
0.20265579;0.0002014
0.20861626;0.00028002
0.21457672;0.00050503
0.22053719;0.00089737
0.22649765;0.00110749
0.23245811;0.00131868
0.23841858;0.00123127
0.24437904;0.00092894
0.25033951;0.00093592
0.25629997;0.0023303
0.26226044;0.00323265
0.2682209;0.00350607
0.27418137;0.00342071
0.28014183;0.00234279
0.28610229;0.00117793
0.29206276;0.0034805
0.29802322;0.00761983
0.30398369;0.00901832
0.30994415;0.00925058
0.31590462;0.00801209
0.32186508;0.0040671
0.32782555;0.0025992
0.33378601;0.00733147
0.33974648;0.01162381
0.34570694;0.01228218
0.3516674;0.01195308
0.35762787;0.00876312
0.36358833;0.00317027
0.3695488;0.00046836
0.37550926;0.00046289
0.38146973;0.00047488
0.38743019;0.00021452
0.39339066;0.00030122
0.39935112;0.00030823
0.40531158;0.00039523
0.41127205;0.00052193
0.41723251;0.00123914
0.42319298;0.00151294
0.42915344;0.00147126
0.43511391;0.00126149
0.44107437;0.00060522
0.44703484;0.00095026
0.4529953;0.00152341
0.45895576;0.00211243
0.46491623;0.00211456
0.47087669;0.00188742
0.47683716;0.00130576
0.48279762;0.00102222
0.48875809;0.0016156
0.49471855;0.00203061
0.50067902;0.00223895
0.50663948;0.0018376
0.51259995;0.00136055
0.51856041;0.00081965
0.52452087;0.00126213
0.53048134;0.00161562
0.5364418;0.00175438
0.54240227;0.00162712
0.54836273;0.00103543
0.5543232;0.00059996
0.56028366;0.000448
0.56624413;0.00071555
0.57220459;0.00062952
0.57816505;0.00068746
0.58412552;0.00045708
0.59008598;0.00010904
0.59604645;0.00052131
0.60200691;0.00113871
0.60796738;0.00165928
0.61392784;0.00182527
0.61988831;0.00191412
0.62584877;0.00145503
0.63180923;0.00110098
0.6377697;0.00566747
0.64373016;0.01318626
0.64969063;0.01628397
0.65565109;0.01651383
0.66161156;0.01485162
0.66757202;0.00806956
0.67353249;0.00263972
0.67949295;0.00506411
0.68545341;0.00857155
0.69141388;0.00925527
0.69737434;0.00893551
0.70333481;0.00695261
0.70929527;0.00267053
0.71525574;0.00124394
0.7212162;0.00217732
0.72717667;0.00278918
0.73313713;0.00272241
0.7390976;0.00243067
0.74505806;0.00161498
0.75101852;0.00068547
0.75697899;0.0006555
0.76293945;0.00068135
0.76889992;0.00063136
0.77486038;0.00033612
0.78082085;0.00039206
0.78678131;0.00029619
0.79274178;0.00036158
0.79870224;0.00040872
0.8046627;0.00087985
0.81062317;0.00093897
0.81658363;0.00093042
0.8225441;0.00078543
0.82850456;0.00083233
0.83446503;0.00122173
0.84042549;0.00161619
0.84638596;0.00185586
0.85234642;0.00174542
0.85830688;0.00133684
0.86426735;0.00098728
0.87022781;0.00161032
0.87618828;0.00218616
0.88214874;0.00249469
0.88810921;0.00240677
0.89406967;0.00172753
0.90003014;0.00100272
0.9059906;0.00107029
0.91195107;0.00216225
0.91791153;0.00268213
0.92387199;0.00269385
0.92983246;0.00242959
0.93579292;0.00119272
0.94175339;0.0006577
0.94771385;0.00080923
0.95367432;0.00160331
0.95963478;0.00174216
0.96559525;0.00173469
0.97155571;0.00139028
0.97751617;0.0218532
0.98347664;0.1773611
0.9894371;0.4657714
0.99539757;0.6118857
1.00135803;0.619572
1.0073185;0.574955
1.01327896;0.3372145
1.01923943;0.08256813
1.02519989;0.0054253
1.03116035;0.00454077
1.03712082;0.00521996
1.04308128;0.00506902
1.04904175;0.00420369
1.05500221;0.0017954
1.06096268;0.00116846
1.06692314;0.00236719
1.07288361;0.00321704
1.07884407;0.00326382
1.08480453;0.00291683
1.090765;0.00207686
1.09672546;0.00097389
1.10268593;0.00136174
1.10864639;0.00184079
1.11460686;0.00208466
1.12056732;0.0017885
1.12652779;0.00146043
1.13248825;0.0008549
1.13844872;0.00067384
1.14440918;0.00073086
1.15036964;0.00073061
1.15633011;0.00063806
1.16229057;0.00042963
1.16825104;0.00051416
1.1742115;0.00050175
1.18017197;0.00048933
1.18613243;0.00046749
1.1920929;0.00075934
1.19805336;0.00079919
1.20401382;0.00070184
1.20997429;0.00057549
1.21593475;0.00106968
1.22189522;0.00161443
1.22785568;0.00188688
1.23381615;0.00201808
1.23977661;0.00162567
1.24573708;0.00114627
1.25169754;0.00140375
1.257658;0.00295222
1.26361847;0.00359144
1.26957893;0.00377658
1.2755394;0.00342081
1.28149986;0.00204976
1.28746033;0.00102441
1.29342079;0.00395706
1.29938126;0.00728336
1.30534172;0.00803591
1.31130219;0.00814115
1.31726265;0.00636724
1.32322311;0.00273796
1.32918358;0.00215621
1.33514404;0.00482433
1.34110451;0.00656724
1.34706497;0.00663721
1.35302544;0.0062915
1.3589859;0.0041369
1.36494637;0.00134069
1.37090683;0.00040623
1.37686729;0.00119105
1.38282776;0.00142203
1.38878822;0.00132645
1.39474869;0.00108576
1.40070915;0.00031277
1.40666962;0.0005198
1.41263008;0.00121003
1.41859055;0.00211024
1.42455101;0.00230852
1.43051147;0.00222215
1.43647194;0.00172967
1.4424324;0.00086685
1.44839287;0.00127562
1.45435333;0.00191372
1.4603138;0.00236207
1.46627426;0.00221711
1.47223473;0.00189973
1.47819519;0.00123722
1.48415565;0.00104924
1.49011612;0.0014627
1.49607658;0.00177579
1.50203705;0.00186539
1.50799751;0.00145734
1.51395798;0.00107472
1.51991844;0.00072946
1.52587891;0.00102802
1.53183937;0.00107007
1.53779984;0.00106996
1.5437603;0.00084033
1.54972076;0.00037422
1.55568123;0.00033755
1.56164169;0.0004203
1.56760216;0.00048626
1.57356262;0.0004331
1.57952309;0.00060829
1.58548355;0.00065511
1.59144402;0.00057845
1.59740448;0.00090501
1.60336494;0.00221828
1.60932541;0.00299746
1.61528587;0.00323656
1.62124634;0.00315403
1.6272068;0.00214474
1.63316727;0.00179977
1.63912773;0.00837097
1.6450882;0.01642172
1.65104866;0.01870278
1.65700912;0.01879598
1.66296959;0.01562677
1.66893005;0.00722567
1.67489052;0.00255345
1.68085098;0.00546042
1.68681145;0.00806734
1.69277191;0.0083001
1.69873238;0.00788084
1.70469284;0.00546108
1.71065331;0.00169297
1.71661377;0.00096157
1.72257423;0.00152526
1.7285347;0.00174836
1.73449516;0.00164169
1.74045563;0.00145728
1.74641609;0.00095506
1.75237656;0.00041455
1.75833702;0.00003725
1.76429749;0.0004873
1.77025795;0.00042075
1.77621841;0.00043263
1.78217888;0.00051714
1.78813934;0.00051341
1.79409981;0.00082619
1.80006027;0.00119012
1.80602074;0.00163019
1.8119812;0.00153375
1.81794167;0.00134313
1.82390213;0.00093137
1.82986259;0.00122998
1.83582306;0.00174182
1.84178352;0.00216533
1.84774399;0.00224201
1.85370445;0.00187984
1.85966492;0.00128094
1.86562538;0.00092558
1.87158585;0.00174074
1.87754631;0.0021675
1.88350677;0.00239925
1.88946724;0.00215301
1.8954277;0.00143191
1.90138817;0.00084074
1.90734863;0.00095116
1.9133091;0.00162431
1.91926956;0.00194757
1.92523003;0.00185704
1.93119049;0.00151639
1.93715096;0.00058891
1.94311142;0.00060704
1.94907188;0.00039062
1.95503235;0.00047833
1.96099281;0.00046027
1.96695328;0.00032377
1.97291374;0.00141135
1.97887421;0.03739343
1.98483467;0.2241697
1.99079514;0.487671
1.9967556;0.5812572
2.00271606;0.5822586
2.00867653;0.5076948
2.01463699;0.2536731
2.02059746;0.04799296
2.02655792;0.00409897
2.03251839;0.00574116
2.03847885;0.00608145
2.04443932;0.00580419
2.05039978;0.00437172
2.05636024;0.00166099
2.06232071;0.00134288
2.06828117;0.00252661
2.07424164;0.0030169
2.0802021;0.00304127
2.08616257;0.00263116
2.09212303;0.00182011
2.0980835;0.00092441
2.10404396;0.00113507
2.11000443;0.00136501
2.11596489;0.00141577
2.12192535;0.00115856
2.12788582;0.00100412
2.13384628;0.0006253
2.13980675;0.00045034
2.14576721;0.00018965
2.15172768;0.00018975
2.15768814;0.00009684
2.16364861;0.00041104
2.16960907;0.00053493
2.17556953;0.0006686
2.18153;0.00084359
2.18749046;0.00107663
2.19345093;0.00131164
2.19941139;0.00122863
2.20537186;0.0009825
2.21133232;0.00080124
2.21729279;0.00164134
2.22325325;0.00216155
2.22921371;0.00247589
2.23517418;0.00241387
2.24113464;0.00176269
2.24709511;0.00108695
2.25305557;0.00157211
2.25901604;0.0030376
2.2649765;0.0034859
2.27093697;0.00361301
2.27689743;0.00301466
2.28285789;0.001529
2.28881836;0.00092288
2.29477882;0.00364555
2.30073929;0.00568339
2.30669975;0.00596898
2.31266022;0.00583746
2.31862068;0.00398919
2.32458115;0.00128171
2.33054161;0.00053335
2.33650208;0.00055675
2.34246254;0.00051406
2.348423;0.00049889
2.35438347;0.00058948
2.36034393;0.0005222
2.3663044;0.00053397
2.37226486;0.00131176
2.37822533;0.00248667
2.38418579;0.00272914
2.39014626;0.00262514
2.39610672;0.00203572
2.40206718;0.00059985
2.40802765;0.00098953
2.41398811;0.00194057
2.41994858;0.00279836
2.42590904;0.00278775
2.43186951;0.00256351
2.43782997;0.00173571
2.44379044;0.00091817
2.4497509;0.00141267
2.45571136;0.00202166
2.46167183;0.00232811
2.46763229;0.00209834
2.47359276;0.00173492
2.47955322;0.0010674
2.48551369;0.00101939
2.49147415;0.00120738
2.49743462;0.00139181
2.50339508;0.00128829
2.50935555;0.00092777
2.51531601;0.00071633
2.52127647;0.00055705
2.52723694;0.00051323
2.5331974;0.00027964
2.53915787;0.00044139
2.54511833;0.00027733
2.5510788;0.00022263
2.55703926;0.0004414
2.56299973;0.00082229
2.56896019;0.00112779
2.57492065;0.00135282
2.58088112;0.00151815
2.58684158;0.0012925
2.59280205;0.00093439
2.59876251;0.00156628
2.60472298;0.00337903
2.61068344;0.00409458
2.61664391;0.00431533
2.62260437;0.00385652
2.62856483;0.00227468
2.6345253;0.00252711
2.64048576;0.0104069
2.64644623;0.01750191
2.65240669;0.01883549
2.65836716;0.01872603
2.66432762;0.01405334
2.67028809;0.00541174
2.67624855;0.00234204
2.68220901;0.00477899
2.68816948;0.00628313
2.69412994;0.00626193
2.70009041;0.00579665
2.70605087;0.00359087
2.71201134;0.00103209
2.7179718;0.00054586
2.72393227;0.00069397
2.72989273;0.00062882
2.7358532;0.00044773
2.74181366;0.0004885
2.74777412;0.00048258
2.75373459;0.00047843
2.75969505;0.00066586
2.76565552;0.00120226
2.77161598;0.00126393
2.77757645;0.00126649
2.78353691;0.00097785
2.78949738;0.00066525
2.79545784;0.0011516
2.8014183;0.00171966
2.80737877;0.00211666
2.81333923;0.00191846
2.8192997;0.00161442
2.82526016;0.00104848
2.83122063;0.00138911
2.83718109;0.00185068
2.84314156;0.00221844
2.84910202;0.00218405
2.85506248;0.00172088
2.86102295;0.00113863
2.86698341;0.00083381
2.87294388;0.00150432
2.87890434;0.00175163
2.88486481;0.00190002
2.89082527;0.00153217
2.89678574;0.00093123
2.9027462;0.00056364
2.90870667;0.00049482
2.91466713;0.0006795
2.92062759;0.00072538
2.92658806;0.00065774
2.93254852;0.00036225
2.93850899;0.00046456
2.94446945;0.00112579
2.95042992;0.00199617
2.95639038;0.00246691
2.96235085;0.00250784
2.96831131;0.00234558
2.97427177;0.00330709
2.98023224;0.05643726
2.9861927;0.2580574
2.99215317;0.4739661
2.99811363;0.5247354
3.0040741;0.5211635
3.01003456;0.4170266
3.01599503;0.1742099
3.02195549;0.02477951
3.02791595;0.00444188
3.03387642;0.00615334
3.03983688;0.0062392
3.04579735;0.00580955
3.05175781;0.00385849
3.05771828;0.00138279
3.06367874;0.00141257
3.06963921;0.00228942
3.07559967;0.00245091
3.08156013;0.00238615
3.0875206;0.00197395
3.09348106;0.00123901
3.09944153;0.0006021
3.10540199;0.00065889
3.11136246;0.00073327
3.11732292;0.00061684
3.12328339;0.0004367
3.12924385;0.00053229
3.13520432;0.0004261
3.14116478;0.00049762
3.14712524;0.00060834
3.15308571;0.0009592
3.15904617;0.00091427
3.16500664;0.00098168
3.1709671;0.00080216
3.17692757;0.00108297
3.18288803;0.00143143
3.1888485;0.0017526
3.19480896;0.00181534
3.20076942;0.00150292
3.20672989;0.0010867
3.21269035;0.0009918
3.21865082;0.00197024
3.22461128;0.00239451
3.23057175;0.00266658
3.23653221;0.00238626
3.24249268;0.00158796
3.24845314;0.00084547
3.2544136;0.00156592
3.26037407;0.00272254
3.26633453;0.00302508
3.272295;0.00311498
3.27825546;0.00237566
3.28421593;0.00107909
3.29017639;0.00059052
3.29613686;0.00214319
3.30209732;0.00299034
3.30805779;0.00309207
