kHz;mV
0;0.01068866
0.00596046;0.00739997
0.01192093;0.0050271
0.01788139;0.00159766
0.02384186;0.00036683
0.02980232;0.00162886
0.03576279;0.00227142
0.04172325;0.00246477
0.04768372;0.00250077
0.05364418;0.0017967
0.05960464;0.00084103
0.06556511;0.00032807
0.07152557;0.00132932
0.07748604;0.00167185
0.0834465;0.00197045
0.08940697;0.0019808
0.09536743;0.00143542
0.1013279;0.0008487
0.10728836;0.00028058
0.11324883;0.00118959
0.11920929;0.00184918
0.12516975;0.00251366
0.13113022;0.00264425
0.13709068;0.00238139
0.14305115;0.00182502
0.14901161;0.00082465
0.15497208;0.00015304
0.16093254;0.00102353
0.16689301;0.00181189
0.17285347;0.00217791
0.17881393;0.00223009
0.1847744;0.00171568
0.19073486;0.00100257
0.19669533;0.00024352
0.20265579;0.00089262
0.20861626;0.00179312
0.21457672;0.00239167
0.22053719;0.00256291
0.22649765;0.00210602
0.23245811;0.00160893
0.23841858;0.0007283
0.24437904;0.00058205
0.25033951;0.00153356
0.25629997;0.00254606
0.26226044;0.0029658
0.2682209;0.00276213
0.27418137;0.00237358
0.28014183;0.00119539
0.28610229;0.00036031
0.29206276;0.0017205
0.29802322;0.00297059
0.30398369;0.00328283
0.30994415;0.00311914
0.31590462;0.00246252
0.32186508;0.00107066
0.32782555;0.00044305
0.33378601;0.00136586
0.33974648;0.0021612
0.34570694;0.00221969
0.3516674;0.00219573
0.35762787;0.00179529
0.36358833;0.00087478
0.3695488;0.00017416
0.37550926;0.00132404
0.38146973;0.00212772
0.38743019;0.00250353
0.39339066;0.00269742
0.39935112;0.00207909
0.40531158;0.00110077
0.41127205;0.00010107
0.41723251;0.00133896
0.42319298;0.00203477
0.42915344;0.002504
0.43511391;0.00262077
0.44107437;0.00201398
0.44703484;0.00127462
0.4529953;0.00036876
0.45895576;0.00071795
0.46491623;0.00122113
0.47087669;0.00178401
0.47683716;0.00201665
0.48279762;0.00189444
0.48875809;0.00148199
0.49471855;0.00074774
0.50067902;0.00027252
0.50663948;0.0008343
0.51259995;0.00175671
0.51856041;0.00221333
0.52452087;0.00240887
0.53048134;0.00204546
0.5364418;0.00131336
0.54240227;0.00063789
0.54836273;0.00062847
0.5543232;0.00141966
0.56028366;0.00209217
0.56624413;0.00252662
0.57220459;0.00233074
0.57816505;0.00201462
0.58412552;0.00128517
0.59008598;0.00025399
0.59604645;0.00114964
0.60200691;0.00230056
0.60796738;0.00283767
0.61392784;0.00264505
0.61988831;0.00231429
0.62584877;0.00119866
0.63180923;0.00057682
0.6377697;0.00176857
0.64373016;0.00318939
0.64969063;0.00358898
0.65565109;0.00331307
0.66161156;0.00273355
0.66757202;0.00121653
0.67353249;0.00032722
0.67949295;0.00127135
0.68545341;0.00204239
0.69141388;0.00213442
0.69737434;0.00212501
0.70333481;0.00180059
0.70929527;0.00098983
0.71525574;0.00022793
0.7212162;0.00093215
0.72717667;0.00179026
0.73313713;0.00213394
0.7390976;0.00251893
0.74505806;0.00227984
0.75101852;0.00156295
0.75697899;0.0007576
0.76293945;0.00065451
0.76889992;0.00132336
0.77486038;0.00194947
0.78082085;0.00248409
0.78678131;0.00226236
0.79274178;0.0017746
0.79870224;0.0009005
0.8046627;0.00039842
0.81062317;0.00119524
0.81658363;0.00198338
0.8225441;0.00246359
0.82850456;0.00226417
0.83446503;0.00174495
0.84042549;0.00090716
0.84638596;0.00031736
0.85234642;0.00078643
0.85830688;0.0016016
0.86426735;0.00212901
0.87022781;0.00253366
0.87618828;0.00240402
0.88214874;0.00175036
0.88810921;0.00112282
