kHz;V
0;0.00250382
0.02384186;0.00172896
0.04768372;0.0011916
0.07152557;0.0004093
0.09536743;0.00022538
0.11920929;0.00030308
0.14305115;0.00029287
0.16689301;0.00023416
0.19073486;0.00019899
0.21457672;0.00017058
0.23841858;0.0001702
0.26226044;0.0001825
0.28610229;0.00017242
0.30994415;0.00013519
0.33378601;0.00007313
0.35762787;0.00013659
0.38146973;0.00022365
0.40531158;0.00025868
0.42915344;0.00021924
0.4529953;0.00012985
0.47683716;0.00006739
0.50067902;0.00005398
0.52452087;0.00003665
0.54836273;0.00004123
0.57220459;0.00007064
0.59604645;0.00010128
0.61988831;0.00007191
0.64373016;0.00001586
0.66757202;0.00004216
0.69141388;0.000073
0.71525574;0.00010148
0.7390976;0.00013467
0.76293945;0.00013228
0.78678131;0.00013822
0.81062317;0.00015759
0.83446503;0.0001942
0.85830688;0.00025763
0.88214874;0.00025711
0.9059906;0.0006358
0.92983246;0.00485779
0.95367432;0.01451641
0.97751617;0.02073443
1.00135803;0.02137685
1.02519989;0.02055179
1.04904175;0.01338926
1.07288361;0.00381054
1.09672546;0.00013447
1.12056732;0.0002668
1.14440918;0.00027755
1.16825104;0.00024877
1.1920929;0.0002211
1.21593475;0.00020183
1.23977661;0.00020385
1.26361847;0.00021792
1.28746033;0.00022001
1.31130219;0.00018166
1.33514404;0.00008377
1.3589859;0.00015005
1.38282776;0.00024225
1.40666962;0.00029118
1.43051147;0.00027046
1.45435333;0.0001626
1.47819519;0.00008477
1.50203705;0.00009729
1.52587891;0.00012326
1.54972076;0.00014696
1.57356262;0.00009802
1.59740448;0.00005528
1.62124634;0.00005059
1.6450882;0.00005972
1.66893005;0.00006624
1.69277191;0.00005455
1.71661377;0.00005593
1.74045563;0.00010306
1.76429749;0.00010864
1.78813934;0.00012373
1.8119812;0.00012731
1.83582306;0.00014088
1.85966492;0.00017904
1.88350677;0.0001669
1.90734863;0.00096376
1.93119049;0.00843892
1.95503235;0.02436369
1.97887421;0.03385684
2.00271606;0.03466206
2.02655792;0.03296964
2.05039978;0.02078394
2.07424164;0.00566186
2.0980835;0.00027361
2.12192535;0.00019822
2.14576721;0.00015904
2.16960907;0.00013851
2.19345093;0.00012578
2.21729279;0.0001225
2.24113464;0.00014546
2.2649765;0.00018255
2.28881836;0.00019423
2.31266022;0.00014114
2.33650208;0.0000408
2.36034393;0.00013447
2.38418579;0.00021723
2.40802765;0.00025838
2.43186951;0.00025493
2.45571136;0.0001709
2.47955322;0.00011309
2.50339508;0.00011048
2.52723694;0.00012459
2.5510788;0.00017766
