kHz;V
0;1.874632
0.00074506;1.290664
0.00149012;0.8717098
0.00223517;0.269908
0.00298023;0.02371283
0.00372529;0.00009176
0.00447035;0.00014666
0.00521541;0.00017083
0.00596046;0.00014351
0.00670552;0.00009027
0.00745058;0.00010632
0.00819564;0.00001843
0.0089407;0.00010073
0.00968575;0.00005301
0.01043081;0.00006228
0.01117587;0.00018196
0.01192093;0.00009229
0.01266599;0.00007831
0.01341105;0.00014084
0.0141561;0.00011262
0.01490116;0.00024569
0.01564622;0.00014707
0.01639128;0.00020844
0.01713634;0.0001194
0.01788139;0.0001894
0.01862645;0.00014022
0.01937151;0.00021182
0.02011657;0.00012164
0.02086163;0.00019855
0.02160668;0.00015014
0.02235174;0.00025158
0.0230968;0.00019878
0.02384186;0.00026295
0.02458692;0.00018391
0.02533197;0.00012584
0.02607703;0.00013855
0.02682209;0.00008753
0.02756715;0.00012607
0.02831221;0.00002779
0.02905726;0.0000584
0.02980232;0.00006731
0.03054738;0.00007616
0.03129244;0.00002038
0.0320375;0.0001068
0.03278255;0.0000393
0.03352761;0.00003782
0.03427267;0.00002779
0.03501773;0.0001228
0.03576279;0.0000166
0.03650784;0.00003714
0.0372529;0.00011438
0.03799796;0.00013074
0.03874302;0.00015006
0.03948808;0.00011644
0.04023314;0.00006419
0.04097819;0.00011146
0.04172325;0.00005697
0.04246831;0.00010562
0.04321337;0.00005283
0.04395843;0.0000835
0.04470348;0.00004116
0.04544854;0.00004287
0.0461936;0.00005276
0.04693866;0.00006612
0.04768372;0.0001094
0.04842877;0.00010642
0.04917383;0.00014466
0.04991889;0.00008693
0.05066395;0.00006755
0.05140901;0.00007675
0.05215406;0.0001131
0.05289912;0.00006079
0.05364418;0.0001388
0.05438924;0.00010144
0.0551343;0.00015574
0.05587935;0.00012137
0.05662441;0.00014669
0.05736947;0.0001111
0.05811453;0.00014822
0.05885959;0.00010799
0.05960464;0.00010796
0.0603497;0.0000182
0.06109476;0.00002564
0.06183982;0.00006788
0.06258488;0.00009526
0.06332994;0.00016984
0.06407499;0.00016184
0.06482005;0.00021607
0.06556511;0.00018648
0.06631017;0.00018407
0.06705523;0.0001106
0.06780028;0.00010637
0.06854534;0.00016654
0.0692904;0.00018594
0.07003546;0.00017485
0.07078052;0.00004792
0.07152557;0.00005143
0.07227063;0.00011012
0.07301569;0.0000859
0.07376075;0.00005057
0.07450581;0.00010373
0.07525086;0.00021316
0.07599592;0.00021741
0.07674098;0.00017973
0.07748604;0.00014384
0.0782311;0.00014523
0.07897615;0.00014271
0.07972121;0.00013565
0.08046627;0.00013866
0.08121133;0.00012347
0.08195639;0.00011298
0.08270144;0.00013737
0.0834465;0.0001379
0.08419156;0.00006428
0.08493662;0.00005559
0.08568168;0.00013011
0.08642673;0.00014052
0.08717179;0.00009159
0.08791685;0.00001995
0.08866191;0.00006065
0.08940697;0.00006251
0.09015203;0.00006199
0.09089708;0.00011945
0.09164214;0.00016011
0.0923872;0.00016825
0.09313226;0.00013288
0.09387732;0.00011718
0.09462237;0.00016793
0.09536743;0.0002171
0.09611249;0.00025085
0.09685755;0.00023824
0.09760261;0.00019206
0.09834766;0.00021616
0.09909272;0.00027285
0.09983778;0.00028631
0.10058284;0.00029746
0.1013279;0.0002885
0.10207295;0.00021233
0.10281801;0.00014407
0.10356307;0.00012149
0.10430813;0.00013144
0.10505319;0.0001789
0.10579824;0.00022866
0.1065433;0.00027571
0.10728836;0.00027576
0.10803342;0.00019988
0.10877848;0.00008763
0.10952353;0.00009638
0.11026859;0.00012448
0.11101365;0.00012365
0.11175871;0.00010167
0.11250377;0.00010984
0.11324883;0.00014769
0.11399388;0.00012151
0.11473894;0.00009841
0.115484;0.0001006
0.11622906;0.00011873
0.11697412;0.00015286
0.11771917;0.00013958
0.11846423;0.00011991
0.11920929;0.00011708
0.11995435;0.00009426
0.12069941;0.00009034
0.12144446;0.00003738
0.12218952;0.00002329
0.12293458;0.00001808
0.12367964;0.0000674
0.1244247;0.00010177
0.12516975;0.00014228
0.12591481;0.00016862
0.12665987;0.00019326
0.12740493;0.00017952
0.12814999;0.00011064
0.12889504;0.00010642
0.1296401;0.0001744
0.13038516;0.00020872
0.13113022;0.00020511
0.13187528;0.0001548
0.13262033;0.00017083
0.13336539;0.00015019
0.13411045;0.00013915
0.13485551;0.00011845
0.13560057;0.00012602
0.13634562;0.00009053
0.13709068;0.00007836
0.13783574;0.0000192
0.1385808;0.00001773
0.13932586;0.00001203
0.14007092;0.0000488
0.14081597;0.00005183
0.14156103;0.00009061
0.14230609;0.0001075
0.14305115;0.00010835
0.14379621;0.0000677
0.14454126;0.00006412
0.14528632;0.00004914
0.14603138;0.00012006
0.14677644;0.00017564
0.1475215;0.00018113
0.14826655;0.0001995
0.14901161;0.00019615
0.14975667;0.00017209
0.15050173;0.00010856
0.15124679;0.00008037
0.15199184;0.00009472
0.1527369;0.00006787
0.15348196;0.00013988
0.15422702;0.00014943
0.15497208;0.0001613
0.15571713;0.00016936
0.15646219;0.0002595
0.15720725;0.0002795
0.15795231;0.00026504
0.15869737;0.00023929
0.15944242;0.00016743
0.16018748;0.00004716
0.16093254;0.00001874
0.1616776;0.00007111
0.16242266;0.00008498
0.16316772;0.00005807
0.16391277;0.00002909
0.16465783;0.00003157
0.16540289;0.00002351
0.16614795;0.00005485
0.16689301;0.00009257
0.16763806;0.00009053
0.16838312;0.00014039
0.16912818;0.00016854
0.16987324;0.0002036
0.1706183;0.00020602
0.17136335;0.0001833
0.17210841;0.00019325
0.17285347;0.00021274
0.17359853;0.00022356
0.17434359;0.00021248
0.17508864;0.00016243
0.1758337;0.00009857
0.17657876;0.00006256
0.17732382;0.00001155
0.17806888;0.00002204
0.17881393;0.00003198
0.17955899;0.00006695
0.18030405;0.00009404
0.18104911;0.00008687
0.18179417;0.00008162
0.18253922;0.00006864
0.18328428;0.00002784
0.18402934;0.00008155
0.1847744;0.00011478
0.18551946;0.00011724
0.18626451;0.00004907
0.18700957;0.00006269
0.18775463;0.0001037
0.18849969;0.00009476
0.18924475;0.00002039
0.18998981;0.00009517
0.19073486;0.00017452
0.19147992;0.00015491
0.19222498;0.0000926
0.19297004;0.00002886
0.1937151;0.00011343
0.19446015;0.00009095
0.19520521;0.00007316
0.19595027;0.00005645
0.19669533;0.0002074
0.19744039;0.00735177
0.19818544;0.03900899
0.1989305;0.07802112
0.19967556;0.0894612
0.20042062;0.08933011
0.20116568;0.07487585
0.20191073;0.03437713
0.20265579;0.00572791
0.20340085;0.00026083
0.20414591;0.00022053
0.20489097;0.00018318
0.20563602;0.0001812
0.20638108;0.00013078
0.20712614;0.00022049
0.2078712;0.00022726
0.20861626;0.00026
0.20936131;0.00020461
0.21010637;0.00018484
0.21085143;0.00006641
0.21159649;0.00005212
0.21234155;0.00012272
0.21308661;0.00016286
0.21383166;0.00022494
0.21457672;0.00017701
0.21532178;0.00017445
0.21606684;0.00015846
0.2168119;0.00013095
0.21755695;0.00009125
0.21830201;0.00012996
0.21904707;0.00013054
0.21979213;0.00012042
0.22053719;0.00007752
0.22128224;0.00002302
0.2220273;0.00003114
0.22277236;0.00008785
0.22351742;0.00012356
0.22426248;0.00014331
0.22500753;0.00008659
0.22575259;0.00007187
0.22649765;0.000034
0.22724271;0.00007318
0.22798777;0.0001012
0.22873282;0.0001623
0.22947788;0.00017439
0.23022294;0.00019633
0.230968;0.00020312
0.23171306;0.00019726
0.23245811;0.00016146
0.23320317;0.00015271
0.23394823;0.00007726
0.23469329;0.00002224
0.23543835;0.0001214
0.2361834;0.00018725
0.23692846;0.00023598
0.23767352;0.00018123
0.23841858;0.00011165
0.23916364;0.00011857
0.2399087;0.000179
0.24065375;0.0001823
0.24139881;0.00013258
0.24214387;0.00005586
0.24288893;0.00003229
0.24363399;0.00003369
0.24437904;0.00007434
0.2451241;0.00005393
0.24586916;0.00004773
0.24661422;0.00004146
0.24735928;0.00005708
0.24810433;0.00008973
0.24884939;0.00006785
0.24959445;0.00003577
0.25033951;0.00003218
0.25108457;0.00009606
0.25182962;0.00013592
0.25257468;0.00011016
0.25331974;0.00012382
0.2540648;0.00011787
0.25480986;0.00007563
0.25555491;0.0000513
0.25629997;0.00013212
0.25704503;0.00017507
0.25779009;0.00019521
0.25853515;0.00016402
0.2592802;0.00008349
0.26002526;0.00008467
0.26077032;0.00015665
0.26151538;0.00017693
0.26226044;0.00015541
0.2630055;0.00010823
0.26375055;0.00001601
0.26449561;0.0000732
0.26524067;0.00012737
0.26598573;0.00017572
0.26673079;0.00022434
0.26747584;0.00020916
0.2682209;0.00013631
0.26896596;0.00010109
0.26971102;0.00010803
0.27045608;0.00010339
0.27120113;0.00011793
0.27194619;0.00012323
0.27269125;0.00009811
0.27343631;0.00016757
0.27418137;0.00021669
0.27492642;0.00022242
0.27567148;0.00021656
0.27641654;0.00020865
0.2771616;0.00019637
0.27790666;0.0001835
0.27865171;0.00017498
0.27939677;0.00015178
0.28014183;0.00008611
0.28088689;0.00010447
0.28163195;0.00014203
0.282377;0.00016358
0.28312206;0.00016688
0.28386712;0.00013409
0.28461218;0.00009604
0.28535724;0.000067
0.28610229;0.00007353
0.28684735;0.00011925
0.28759241;0.00016089
0.28833747;0.00014851
0.28908253;0.00009143
0.28982759;0.00004662
0.29057264;0.00001321
0.2913177;0.00003157
0.29206276;0.00005608
0.29280782;0.00007815
0.29355288;0.00009475
0.29429793;0.00014307
0.29504299;0.00016312
0.29578805;0.00014162
0.29653311;0.00009077
0.29727817;0.00003734
0.29802322;0.00004956
0.29876828;0.00008403
0.29951334;0.00008689
0.3002584;0.00009004
0.30100346;0.00013341
0.30174851;0.00011091
0.30249357;0.00009933
0.30323863;0.00009679
0.30398369;0.00008701
0.30472875;0.00006763
0.3054738;0.00007123
0.30621886;0.00010473
0.30696392;0.00013837
0.30770898;0.00015236
0.30845404;0.00016911
0.30919909;0.00015163
0.30994415;0.00013151
0.31068921;0.00012849
0.31143427;0.00012579
0.31217933;0.00008745
0.31292439;0.00004427
0.31366944;0.00007494
0.3144145;0.00009333
0.31515956;0.00008837
0.31590462;0.00010005
0.31664968;0.00011274
0.31739473;0.00014122
0.31813979;0.00014317
0.31888485;0.00013159
0.31962991;0.00009895
0.32037497;0.00010421
0.32112002;0.00011072
0.32186508;0.00009194
0.32261014;0.00003819
0.3233552;0.00002411
0.32410026;0.00001367
0.32484531;0.00007507
0.32559037;0.00017838
0.32633543;0.00025447
0.32708049;0.00028185
0.32782555;0.00023958
0.3285706;0.000142
0.32931566;0.00009584
0.33006072;0.00008615
0.33080578;0.00009232
0.33155084;0.00007926
0.33229589;0.00004914
0.33304095;0.00004988
0.33378601;0.00015175
0.33453107;0.00019688
0.33527613;0.0001723
0.33602118;0.0001329
0.33676624;0.00006516
0.3375113;0.00002189
0.33825636;0.00003111
0.33900142;0.00007718
0.33974648;0.00011401
0.34049153;0.00018023
0.34123659;0.00023308
0.34198165;0.00023279
0.34272671;0.00017322
0.34347177;0.00013768
0.34421682;0.00009081
0.34496188;0.00004058
