kHz;V
0;0.00311279
0.02384186;0.00209278
0.04768372;0.00145386
0.07152557;0.00061927
0.09536743;0.00024078
0.11920929;0.00014526
0.14305115;0.00012154
0.16689301;0.00008488
0.19073486;0.00007871
0.21457672;0.00017308
0.23841858;0.00023724
0.26226044;0.00025407
0.28610229;0.00019917
0.30994415;0.00013177
0.33378601;0.00006856
0.35762787;0.00004446
0.38146973;0.00005747
0.40531158;0.00009206
0.42915344;0.00010504
0.4529953;0.00008163
0.47683716;0.00007092
0.50067902;0.00009015
0.52452087;0.00016573
0.54836273;0.00017275
0.57220459;0.00013788
0.59604645;0.00019949
0.61988831;0.00029387
0.64373016;0.00034171
0.66757202;0.00035834
0.69141388;0.00033247
0.71525574;0.00025422
0.7390976;0.00017369
0.76293945;0.00010014
0.78678131;0.0000442
0.81062317;0.00003606
0.83446503;0.00005989
0.85830688;0.00008982
0.88214874;0.00015539
0.9059906;0.00026569
0.92983246;0.00033465
0.95367432;0.00036368
0.97751617;0.00029978
1.00135803;0.00017837
1.02519989;0.00015664
1.04904175;0.00023036
1.07288361;0.00026283
1.09672546;0.00025334
1.12056732;0.00020264
1.14440918;0.0001596
1.16825104;0.00012307
1.1920929;0.00011698
1.21593475;0.00015849
1.23977661;0.00020077
1.26361847;0.00020161
1.28746033;0.00020432
1.31130219;0.00018549
1.33514404;0.00015502
1.3589859;0.00015453
1.38282776;0.00017023
1.40666962;0.00014781
1.43051147;0.00005513
1.45435333;0.00006684
1.47819519;0.00007278
1.50203705;0.00008019
1.52587891;0.00010615
1.54972076;0.00012057
1.57356262;0.00015243
1.59740448;0.00020618
1.62124634;0.00018023
1.6450882;0.00004573
1.66893005;0.00006988
1.69277191;0.00011411
1.71661377;0.00011677
1.74045563;0.0000811
1.76429749;0.00006593
1.78813934;0.00007083
1.8119812;0.00007203
1.83582306;0.0000621
1.85966492;0.00010043
1.88350677;0.00015227
1.90734863;0.00014768
1.93119049;0.00006089
1.95503235;0.00017742
1.97887421;0.00029474
2.00271606;0.00031839
2.02655792;0.00029228
2.05039978;0.0001188
2.07424164;0.00004912
2.0980835;0.00000648
2.12192535;0.00005371
2.14576721;0.0000375
2.16960907;0.00005297
2.19345093;0.00006518
2.21729279;0.00007006
2.24113464;0.0000512
2.2649765;0.00012211
2.28881836;0.00011313
2.31266022;0.00009879
2.33650208;0.00011956
2.36034393;0.00014509
2.38418579;0.00012934
2.40802765;0.00017034
2.43186951;0.00014151
2.45571136;0.0000339
2.47955322;0.00011299
