us;mV
-8.26782161;15.25315
-8.26282161;16.22974
-8.25782161;16.1626
-8.25282161;15.31724
-8.24782161;15.25315
-8.24282161;16.22974
-8.23782161;15.25315
-8.23282161;16.22974
-8.22782161;15.25315
-8.22282161;15.31724
-8.21782161;15.25315
-8.21282161;15.31724
-8.20782161;15.25315
-8.20282161;16.22974
-8.19782161;14.3437
-8.19282161;14.40474
-8.18782161;15.25315
-8.18282161;15.31724
-8.17782161;15.25315
-8.17282161;14.40474
-8.16782161;14.3437
-8.16282161;14.40474
-8.15782161;14.3437
-8.15282161;14.40474
-8.14782161;14.3437
-8.14282161;14.40474
-8.13782161;14.3437
-8.13282161;14.40474
-8.12782161;14.3437
-8.12282161;14.40474
-8.11782161;14.3437
-8.11282161;14.40474
-8.10782161;14.3437
-8.10282161;14.40474
-8.09782161;14.3437
-8.09282161;14.40474
-8.08782161;14.3437
-8.08282161;14.40474
-8.07782161;14.3437
-8.07282161;14.40474
-8.06782161;14.3437
-8.06282161;13.49223
-8.05782161;13.43425
-8.05282161;14.40474
-8.04782161;13.43425
-8.04282161;13.49223
-8.03782161;13.43425
-8.03282161;13.49223
-8.02782161;13.43425
-8.02282161;13.49223
-8.01782161;13.43425
-8.01282161;13.49223
-8.00782161;13.43425
-8.00282161;13.49223
-7.99782161;13.43425
-7.99282161;12.57973
-7.98782161;13.43425
-7.98282161;12.57973
-7.97782161;13.43425
-7.97282161;12.57973
-7.96782161;13.43425
-7.96282161;12.57973
-7.95782162;12.52174
-7.95282162;12.57973
-7.94782162;13.43425
-7.94282162;12.57973
-7.93782162;12.52174
-7.93282162;12.57973
-7.92782162;12.52174
-7.92282162;12.57973
-7.91782162;12.52174
-7.91282162;12.57973
-7.90782162;12.52174
-7.90282162;12.57973
-7.89782162;12.52174
-7.89282162;12.57973
-7.88782162;12.52174
-7.88282162;11.66723
-7.87782162;12.52174
-7.87282162;11.66723
-7.86782162;11.61229
-7.86282162;12.57973
-7.85782162;11.61229
-7.85282162;12.57973
-7.84782162;11.61229
-7.84282162;11.66723
-7.83782162;11.61229
-7.83282162;11.66723
-7.82782162;10.70284
-7.82282162;11.66723
-7.81782162;11.61229
-7.81282162;11.66723
-7.80782162;11.61229
-7.80282162;11.66723
-7.79782162;10.70284
-7.79282162;10.75472
-7.78782162;10.70284
-7.78282162;10.75472
-7.77782162;11.61229
-7.77282162;11.66723
-7.76782162;10.70284
-7.76282162;10.75472
-7.75782162;10.70284
-7.75282162;10.75472
-7.74782162;10.70284
-7.74282162;10.75472
-7.73782162;10.70284
-7.73282162;10.75472
-7.72782162;10.70284
-7.72282162;10.75472
-7.71782162;10.70284
-7.71282162;10.75472
-7.70782162;10.70284
-7.70282162;10.75472
-7.69782162;10.70284
-7.69282162;10.75472
-7.68782162;10.70284
-7.68282162;9.842219
-7.67782162;10.70284
-7.67282162;10.75472
-7.66782162;10.70284
-7.66282162;10.75472
-7.65782162;10.70284
-7.65282162;10.75472
-7.64782162;10.70284
-7.64282162;9.842219
-7.63782162;9.793389
-7.63282162;9.842219
-7.62782162;10.70284
-7.62282162;8.929716
-7.61782162;9.793389
-7.61282162;9.842219
-7.60782162;9.793389
-7.60282162;9.842219
-7.59782162;9.793389
-7.59282162;9.842219
-7.58782162;9.793389
-7.58282162;8.929716
-7.57782162;9.793389
-7.57282162;9.842219
-7.56782162;9.793389
-7.56282162;8.929716
-7.55782162;9.793389
-7.55282162;8.929716
-7.54782162;8.883938
-7.54282162;8.929716
-7.53782162;9.793389
-7.53282162;8.929716
-7.52782162;8.883938
-7.52282162;8.929716
-7.51782162;8.883938
-7.51282162;8.929716
-7.50782162;9.793389
-7.50282162;8.929716
-7.49782162;8.883938
-7.49282162;8.929716
-7.48782162;7.974486
-7.48282162;8.929716
-7.47782162;8.883938
-7.47282162;8.929716
-7.46782162;8.883938
-7.46282162;8.929716
-7.45782162;7.974486
-7.45282162;8.929716
-7.44782162;8.883938
-7.44282162;8.929716
-7.43782162;7.974486
-7.43282162;8.017212
-7.42782162;8.883938
-7.42282162;8.929716
-7.41782162;7.974486
-7.41282162;8.017212
-7.40782162;7.974486
-7.40282162;8.017212
-7.39782162;7.065034
-7.39282162;8.017212
-7.38782162;7.974486
-7.38282162;8.017212
-7.37782162;7.065034
-7.37282162;8.017212
-7.36782162;7.974486
-7.36282162;8.017212
-7.35782162;7.065034
-7.35282162;7.101657
-7.34782162;7.065034
-7.34282162;8.017212
-7.33782162;7.065034
