MHz;V
0;0.2044258
0.00038147;0.1400408
0.00076294;0.09609918
0.00114441;0.03426142
0.00152588;0.00697105
0.00190735;0.00123536
0.00228882;0.00062439
0.00267029;0.00027675
0.00305176;0.000137
0.00343323;0.0001463
0.0038147;0.0001556
0.00419617;0.00017873
0.00457764;0.00016524
0.00495911;0.00014656
0.00534058;0.00013533
0.00572205;0.00014773
0.00610352;0.00013582
0.00648499;0.00014383
0.00686646;0.00011358
0.00724792;0.00008418
0.00762939;0.00003776
0.00801086;0.0000318
0.00839233;0.00009464
0.0087738;0.00008826
0.00915527;0.00005328
0.00953674;0.00004431
0.00991821;0.00004931
0.01029968;0.00006475
0.01068115;0.00005245
0.01106262;0.00006633
0.01144409;0.00008534
0.01182556;0.00006456
0.01220703;0.00006085
0.0125885;0.00005812
0.01296997;0.00007517
0.01335144;0.0001
0.01373291;0.00013521
0.01411438;0.00012599
0.01449585;0.00011341
0.01487732;0.00007133
0.01525879;0.00007474
0.01564026;0.00011351
0.01602173;0.00009567
0.0164032;0.00008985
0.01678467;0.00008884
0.01716614;0.00007834
0.01754761;0.0000767
0.01792908;0.00004673
0.01831055;0.00003394
0.01869202;0.00003301
0.01907349;0.00003328
0.01945496;0.00003367
0.01983643;0.0000442
0.0202179;0.00005484
0.02059937;0.00009726
0.02098083;0.00009456
0.0213623;0.00007758
0.02174377;0.00005442
0.02212524;0.00005204
0.02250671;0.0000698
0.02288818;0.0000578
0.02326965;0.00005286
0.02365112;0.00007551
0.02403259;0.00010419
0.02441406;0.00013973
0.02479553;0.00012025
0.025177;0.00009306
0.02555847;0.00004082
0.02593994;0.00004933
0.02632141;0.00007813
0.02670288;0.00008484
0.02708435;0.00010435
0.02746582;0.00012245
0.02784729;0.00010358
0.02822876;0.00007976
0.02861023;0.00004645
0.0289917;0.00003827
0.02937317;0.00005546
0.02975464;0.00008124
0.03013611;0.00007999
0.03051758;0.00004406
0.03089905;0.0001344
0.03128052;0.00019686
0.03166199;0.00023624
0.03204346;0.00023682
0.03242493;0.000201
0.0328064;0.0001745
0.03318787;0.0001888
0.03356934;0.00018762
0.03395081;0.00020161
0.03433228;0.00020611
0.03471375;0.00016533
0.03509521;0.00009945
0.03547668;0.00008801
0.03585815;0.00011897
0.03623962;0.0001204
0.03662109;0.00009066
0.03700256;0.00008861
0.03738403;0.00009372
0.0377655;0.00008705
0.03814697;0.00006113
0.03852844;0.00004083
0.03890991;0.00006783
0.03929138;0.00010087
0.03967285;0.00010863
0.04005432;0.00010044
0.04043579;0.00008858
0.04081726;0.00006572
0.04119873;0.00003309
0.0415802;0.00004856
0.04196167;0.00008684
0.04234314;0.00008267
0.04272461;0.000036
0.04310608;0.00001821
0.04348755;0.00005786
0.04386902;0.00009383
0.04425049;0.00006686
0.04463196;0.00005747
0.04501343;0.00010105
0.0453949;0.00015517
0.04577637;0.00019588
0.04615784;0.00021178
0.04653931;0.00020943
0.04692078;0.00016913
0.04730225;0.00011711
0.04768372;0.00007803
0.04806519;0.00005653
0.04844666;0.00003089
0.04882813;0.00002175
0.04920959;0.00001977
0.04959106;0.00003594
0.04997253;0.00005148
0.050354;0.00006267
0.05073547;0.00007177
0.05111694;0.00004775
0.05149841;0.0000611
0.05187988;0.00007389
0.05226135;0.000044
0.05264282;0.00005496
0.05302429;0.0000782
0.05340576;0.00008135
0.05378723;0.00007681
0.0541687;0.0000725
0.05455017;0.0000841
0.05493164;0.00012333
0.05531311;0.00013892
0.05569458;0.00012445
0.05607605;0.00010554
0.05645752;0.00010446
0.05683899;0.00011049
0.05722046;0.00011676
0.05760193;0.00010066
0.0579834;0.00006446
0.05836487;0.00003597
0.05874634;0.00001094
0.05912781;0.00002031
0.05950928;0.00006099
0.05989075;0.00007915
0.06027222;0.00005795
0.06065369;0.00005332
0.06103516;0.00009779
0.06141663;0.00010694
0.0617981;0.00009133
0.06217957;0.00003495
0.06256104;0.00004335
0.0629425;0.00006686
0.06332397;0.0000574
0.06370544;0.00003672
0.06408691;0.00002983
0.06446838;0.00007474
0.06484985;0.00010556
0.06523132;0.00009763
0.06561279;0.00002494
0.06599426;0.00006225
0.06637573;0.00009835
0.0667572;0.00009482
0.06713867;0.00006518
0.06752014;0.00008339
0.06790161;0.00009144
0.06828308;0.00007382
0.06866455;0.00008261
0.06904602;0.00009015
0.06942749;0.00005484
0.06980896;0.0000343
0.07019043;0.00004989
0.0705719;0.00006843
0.07095337;0.00003949
0.07133484;0.00002925
0.07171631;0.00006497
0.07209778;0.00010942
0.07247925;0.00010406
0.07286072;0.00009035
0.07324219;0.00011244
0.07362366;0.00014266
0.07400513;0.00017905
0.0743866;0.00021064
0.07476807;0.00024356
0.07514954;0.00024903
0.07553101;0.00020566
0.07591248;0.00014095
0.07629395;0.00005466
