Mhz;V
0;0.2039659
0.00038147;0.1396684
0.00076294;0.09554695
0.00114441;0.03359905
0.00152588;0.00646803
0.00190735;0.00076921
0.00228882;0.00043889
0.00267029;0.00009843
0.00305176;0.00008019
0.00343323;0.00009774
0.0038147;0.00005265
0.00419617;0.00004431
0.00457764;0.0000645
0.00495911;0.00011318
0.00534058;0.00014172
0.00572205;0.00014585
0.00610352;0.00013303
0.00648499;0.0001269
0.00686646;0.00008197
0.00724792;0.00005822
0.00762939;0.00008115
0.00801086;0.00011896
0.00839233;0.00011887
0.0087738;0.00012746
0.00915527;0.0000946
0.00953674;0.00004901
0.00991821;0.00003252
0.01029968;0.00007811
0.01068115;0.00008482
0.01106262;0.00005043
0.01144409;0.00002751
0.01182556;0.00005066
0.01220703;0.00006634
0.0125885;0.00009612
0.01296997;0.00012462
0.01335144;0.00017547
0.01373291;0.00018824
0.01411438;0.00017484
0.01449585;0.0001394
0.01487732;0.00014214
0.01525879;0.0001624
0.01564026;0.00013252
0.01602173;0.00009397
0.0164032;0.00004197
0.01678467;0.00002003
0.01716614;0.00003866
0.01754761;0.00007272
0.01792908;0.00008968
0.01831055;0.00011112
0.01869202;0.00013378
0.01907349;0.00012819
0.01945496;0.00011206
0.01983643;0.00009365
0.0202179;0.00009249
0.02059937;0.00008581
0.02098083;0.0001204
0.0213623;0.00011535
0.02174377;0.00009903
0.02212524;0.00005564
0.02250671;0.00004484
0.02288818;0.0000714
0.02326965;0.00006539
0.02365112;0.00004392
0.02403259;0.00002597
0.02441406;0.00001406
0.02479553;0.00003318
0.025177;0.00005707
0.02555847;0.00006569
0.02593994;0.00004851
0.02632141;0.00003596
0.02670288;0.00002084
0.02708435;0.00005964
0.02746582;0.00011054
0.02784729;0.00013084
0.02822876;0.00012051
0.02861023;0.00008559
0.0289917;0.00002179
0.02937317;0.00003081
0.02975464;0.0000309
0.03013611;0.00005772
0.03051758;0.00008865
0.03089905;0.00011951
0.03128052;0.00012977
0.03166199;0.00013773
0.03204346;0.00014521
0.03242493;0.00017041
0.0328064;0.00016827
0.03318787;0.0001579
0.03356934;0.00013559
0.03395081;0.00010192
0.03433228;0.00008226
0.03471375;0.00008735
0.03509521;0.00007992
0.03547668;0.00009123
0.03585815;0.000083
0.03623962;0.00008842
0.03662109;0.00009253
0.03700256;0.00009171
0.03738403;0.0001106
0.0377655;0.00010165
0.03814697;0.00008371
0.03852844;0.00007035
0.03890991;0.00004544
0.03929138;0.00004545
0.03967285;0.00006555
0.04005432;0.00007589
0.04043579;0.00005124
0.04081726;0.00001128
0.04119873;0.00002514
0.0415802;0.00004589
0.04196167;0.00010391
0.04234314;0.00016824
0.04272461;0.00020476
0.04310608;0.00017848
0.04348755;0.00013033
0.04386902;0.00008011
0.04425049;0.0000613
0.04463196;0.00006093
0.04501343;0.00005091
0.0453949;0.00011056
0.04577637;0.00017403
0.04615784;0.00018571
0.04653931;0.00016464
0.04692078;0.00010825
0.04730225;0.00001115
0.04768372;0.00008789
0.04806519;0.00016573
0.04844666;0.00019827
0.04882813;0.00019772
0.04920959;0.00017835
0.04959106;0.00012213
0.04997253;0.00005426
0.050354;0.00001058
0.05073547;0.00003877
0.05111694;0.00005065
0.05149841;0.00004242
0.05187988;0.0000769
0.05226135;0.00011294
0.05264282;0.0001215
0.05302429;0.00010364
0.05340576;0.0000579
0.05378723;0.00002946
0.0541687;0.00006961
0.05455017;0.00009486
0.05493164;0.00012684
0.05531311;0.0001282
0.05569458;0.00009374
0.05607605;0.00004443
0.05645752;0.00002645
0.05683899;0.00003757
0.05722046;0.0000459
0.05760193;0.0000466
0.0579834;0.0000135
0.05836487;0.00002852
0.05874634;0.00001557
0.05912781;0.00002027
0.05950928;0.00005979
0.05989075;0.00006957
0.06027222;0.00007058
0.06065369;0.00008929
0.06103516;0.00010759
0.06141663;0.00012431
0.0617981;0.00012552
0.06217957;0.00009909
0.06256104;0.00007197
0.0629425;0.00005773
0.06332397;0.00006636
0.06370544;0.00008158
0.06408691;0.00008604
0.06446838;0.00007675
0.06484985;0.0000691
0.06523132;0.00008061
0.06561279;0.00010679
0.06599426;0.00011532
0.06637573;0.00010196
0.0667572;0.00007812
0.06713867;0.00003455
0.06752014;0.00001572
0.06790161;0.0000443
0.06828308;0.00004967
0.06866455;0.00007673
0.06904602;0.00014488
0.06942749;0.0001674
0.06980896;0.00013928
0.07019043;0.00009071
0.0705719;0.00003359
0.07095337;0.00005619
0.07133484;0.00008515
0.07171631;0.00006181
0.07209778;0.00003851
0.07247925;0.00004215
0.07286072;0.00004952
0.07324219;0.00004434
0.07362366;0.0000959
0.07400513;0.00012892
0.0743866;0.00014995
0.07476807;0.00014494
0.07514954;0.00009595
0.07553101;0.00006647
0.07591248;0.0000615
0.07629395;0.00006563
0.07667542;0.00010477
0.07705688;0.0001338
0.07743835;0.00013679
0.07781982;0.00014363
0.07820129;0.00012602
0.07858276;0.00007402
0.07896423;0.00002082
0.0793457;0.00008296
0.07972717;0.00014693
0.08010864;0.00016528
0.08049011;0.00015142
0.08087158;0.0004783
0.08125305;0.00119052
0.08163452;0.00103973
0.08201599;0.00543055
0.08239746;0.0070153
0.08277893;0.00552088
0.0831604;0.00602942
0.08354187;0.00429903
0.08392334;0.00648496
0.08430481;0.00479476
0.08468628;0.00343246
0.08506775;0.002847
0.08544922;0.00050706
0.08583069;0.00030363
0.08621216;0.0002573
0.08659363;0.00020885
0.0869751;0.00018449
0.08735657;0.0001448
0.08773804;0.00008594
0.08811951;0.00004045
0.08850098;0.00005619
0.08888245;0.00007707
0.08926392;0.00010222
0.08964539;0.00013641
0.09002686;0.00018013
0.09040833;0.00018791
0.09078979;0.00013302
0.09117126;0.00007911
0.09155273;0.00007238
0.0919342;0.00009967
0.09231567;0.0001407
0.09269714;0.00017076
0.09307861;0.00015441
0.09346008;0.00010577
0.09384155;0.0000686
0.09422302;0.00004724
0.09460449;0.00009061
0.09498596;0.00013038
0.09536743;0.00013334
0.0957489;0.00011544
0.09613037;0.00008838
0.09651184;0.00005696
0.09689331;0.00005839
0.09727478;0.0000644
0.09765625;0.00006166
0.09803772;0.00006453
0.09841919;0.00009459
0.09880066;0.00011372
0.09918213;0.00012269
0.0995636;0.00010961
0.09994507;0.00008724
0.10032654;0.00010082
0.10070801;0.00010105
0.10108948;0.00008811
0.10147095;0.0000617
0.10185242;0.00003263
0.10223389;0.00005228
0.10261536;0.00011933
0.10299683;0.00016139
0.1033783;0.00012108
0.10375977;0.00003558
0.10414124;0.00006787
0.10452271;0.00013021
0.10490417;0.00014305
0.10528564;0.0000919
0.10566711;0.00001028
0.10604858;0.00009185
0.10643005;0.00011406
0.10681152;0.00008696
0.10719299;0.00005819
0.10757446;0.00005166
0.10795593;0.00004333
0.1083374;0.00005527
0.10871887;0.00007581
0.10910034;0.00007147
0.10948181;0.00005578
0.10986328;0.00007594
0.11024475;0.00009727
0.11062622;0.0001334
0.11100769;0.00015743
0.11138916;0.00011998
0.11177063;0.00006615
0.1121521;0.00008226
0.11253357;0.00013604
0.11291504;0.00017171
0.11329651;0.00019753
0.11367798;0.0001823
0.11405945;0.00013643
0.11444092;0.00010387
0.11482239;0.00009065
0.11520386;0.00011732
0.11558533;0.00015398
0.1159668;0.00019558
0.11634827;0.00020573
0.11672974;0.00017062
0.11711121;0.00011328
0.11749268;0.00010548
0.11787415;0.00018242
0.11825562;0.00022034
0.11863708;0.00023204
0.11901855;0.00020091
0.11940002;0.00016078
0.11978149;0.00013579
0.12016296;0.00007781
0.12054443;0.00002795
0.1209259;0.00002777
0.12130737;0.00003214
0.12168884;0.00001214
0.12207031;0.00007591
0.12245178;0.00010111
0.12283325;0.00012065
0.12321472;0.00012829
0.12359619;0.00012075
0.12397766;0.00014165
0.12435913;0.00017332
0.1247406;0.00019504
0.12512207;0.00021354
0.12550354;0.00018477
0.12588501;0.00014165
0.12626648;0.00012255
0.12664795;0.00011587
0.12702942;0.00010861
0.12741089;0.00008312
0.12779236;0.000028
0.12817383;0.00003786
0.1285553;0.00005499
0.12893677;0.00007449
0.12931824;0.00013682
0.12969971;0.00016412
0.13008118;0.00016436
0.13046265;0.000109
0.13084412;0.00003813
0.13122559;0.00004105
0.13160706;0.00007758
0.13198853;0.00011556
0.13237;0.000127
0.13275146;0.00015074
0.13313293;0.00017907
0.1335144;0.00018776
0.13389587;0.0001563
0.13427734;0.00006933
0.13465881;0.00003233
0.13504028;0.00009473
0.13542175;0.00013316
0.13580322;0.00013548
0.13618469;0.0000979
0.13656616;0.00008943
0.13694763;0.00009815
0.1373291;0.00009029
0.13771057;0.00007529
0.13809204;0.00005219
0.13847351;0.0000307
0.13885498;0.00003404
0.13923645;0.00005849
0.13961792;0.00007263
0.13999939;0.00004633
0.14038086;0.00002913
0.14076233;0.00005802
0.1411438;0.00006817
0.14152527;0.00005453
0.14190674;0.00003983
0.14228821;0.00002131
0.14266968;0.0000413
0.14305115;0.00008593
0.14343262;0.00012136
0.14381409;0.00015807
0.14419556;0.00017705
0.14457703;0.00017434
0.1449585;0.00014648
0.14533997;0.00009204
0.14572144;0.00005094
0.14610291;0.00008374
0.14648438;0.00014519
0.14686584;0.00016596
0.14724731;0.00017138
0.14762878;0.00015717
0.14801025;0.00009586
0.14839172;0.00004227
0.14877319;0.0000368
0.14915466;0.0000639
0.14953613;0.00011286
0.1499176;0.00015742
0.15029907;0.00015254
0.15068054;0.00010112
0.15106201;0.00004367
0.15144348;0.00003768
0.15182495;0.00011163
0.15220642;0.00015303
0.15258789;0.00015295
0.15296936;0.00013428
0.15335083;0.00009542
0.1537323;0.00002055
0.15411377;0.00005537
0.15449524;0.00007924
0.15487671;0.00006567
0.15525818;0.00003771
0.15563965;0.00005123
0.15602112;0.00007246
0.15640259;0.0000604
0.15678406;0.00003578
0.15716553;0.00002007
0.157547;0.00004008
0.15792847;0.00001725
0.15830994;0.00005048
0.15869141;0.00010865
0.15907288;0.00013852
0.15945435;0.00015261
0.15983582;0.00015557
0.16021729;0.00014802
0.16059875;0.00014734
0.16098022;0.0001807
0.16136169;0.00021465
0.16174316;0.00022474
0.16212463;0.00019988
0.1625061;0.00015967
0.16288757;0.00010663
0.16326904;0.00007407
0.16365051;0.00011695
0.16403198;0.00012426
0.16441345;0.00065076
0.16479492;0.0019245
0.16517639;0.00183979
0.16555786;0.00721449
0.16593933;0.00946912
0.1663208;0.0074388
0.16670227;0.00742947
0.16708374;0.00470818
0.16746521;0.00613059
0.16784668;0.00437819
0.16822815;0.00179909
0.16860962;0.00174461
0.16899109;0.00039788
0.16937256;0.00013424
0.16975403;0.00011731
0.1701355;0.00007414
0.17051697;0.00010826
0.17089844;0.00015892
0.17127991;0.00020315
0.17166138;0.00022367
0.17204285;0.00020737
0.17242432;0.00016917
0.17280579;0.00014313
0.17318726;0.00015107
0.17356873;0.0001628
0.1739502;0.00016101
0.17433167;0.00014723
0.17471313;0.00010955
0.1750946;0.00004767
0.17547607;0.00001265
0.17585754;0.00002804
0.17623901;0.00001843
0.17662048;0.00005434
0.17700195;0.00007038
0.17738342;0.00007651
0.17776489;0.00004513
0.17814636;0.00004224
0.17852783;0.00007153
0.1789093;0.00008325
0.17929077;0.00005502
0.17967224;0.00002134
0.18005371;0.00008815
0.18043518;0.00012321
0.18081665;0.00014327
0.18119812;0.00014156
0.18157959;0.00010218
0.18196106;0.00003612
0.18234253;0.00003907
0.182724;0.00009892
0.18310547;0.00015152
0.18348694;0.00015931
0.18386841;0.00011978
0.18424988;0.00007259
0.18463135;0.00003846
0.18501282;0.00003975
0.18539429;0.00010314
0.18577576;0.00016312
0.18615723;0.00017418
0.1865387;0.0001708
0.18692017;0.00014446
0.18730164;0.00007154
0.18768311;0.00005118
0.18806458;0.00009931
0.18844604;0.00015617
0.18882751;0.00018141
0.18920898;0.00018031
0.18959045;0.00015405
0.18997192;0.00011559
0.19035339;0.00008556
0.19073486;0.00004433
0.19111633;0.00002423
0.1914978;0.00002867
0.19187927;0.00004939
0.19226074;0.00006656
0.19264221;0.00005386
0.19302368;0.00002212
0.19340515;0.00004143
0.19378662;0.00006768
0.19416809;0.00005289
0.19454956;0.00004112
0.19493103;0.00003945
0.1953125;0.00005609
0.19569397;0.00007297
0.19607544;0.0000854
0.19645691;0.00009314
0.19683838;0.00008557
0.19721985;0.0001046
0.19760132;0.00014444
0.19798279;0.00013487
0.19836426;0.00009106
0.19874573;0.00001807
