MHz;V
0;0.1759913
0.00038147;0.1219205
0.00076294;0.08011418
0.00114441;0.01891173
0.00152588;0.00371551
0.00190735;0.00235268
0.00228882;0.00065031
0.00267029;0.00016944
0.00305176;0.00010206
0.00343323;0.00006753
0.0038147;0.00006844
0.00419617;0.00006981
0.00457764;0.00011485
0.00495911;0.00012125
0.00534058;0.00006714
0.00572205;0.00002
0.00610352;0.00006429
0.00648499;0.00007701
0.00686646;0.00010178
0.00724792;0.00010592
0.00762939;0.00011522
0.00801086;0.00012944
0.00839233;0.0001278
0.0087738;0.00005803
0.00915527;0.00001732
0.00953674;0.00003806
0.00991821;0.00003299
0.01029968;0.00002344
0.01068115;0.00012491
0.01106262;0.00018062
0.01144409;0.00018815
0.01182556;0.00016024
0.01220703;0.00012416
0.0125885;0.00010482
0.01296997;0.00014697
0.01335144;0.0001559
0.01373291;0.00014956
0.01411438;0.00013868
0.01449585;0.00014524
0.01487732;0.0001681
0.01525879;0.0002017
0.01564026;0.00017802
0.01602173;0.00013335
0.0164032;0.00007128
0.01678467;0.00003696
0.01716614;0.00004991
0.01754761;0.00006093
0.01792908;0.00009102
0.01831055;0.00016809
0.01869202;0.00019679
0.01907349;0.0001875
0.01945496;0.00013016
0.01983643;0.00006673
0.0202179;0.00005547
0.02059937;0.00008835
0.02098083;0.00012162
0.0213623;0.00013179
0.02174377;0.00015508
0.02212524;0.00014026
0.02250671;0.00011326
0.02288818;0.00009507
0.02326965;0.00010606
0.02365112;0.00016368
0.02403259;0.00018617
0.02441406;0.00016444
0.02479553;0.00011545
0.025177;0.00004872
0.02555847;0.00005815
0.02593994;0.00013263
0.02632141;0.00020081
0.02670288;0.0002465
0.02708435;0.00025781
0.02746582;0.00024958
0.02784729;0.00019754
0.02822876;0.00012684
0.02861023;0.00005623
0.0289917;0.00007175
0.02937317;0.00008819
0.02975464;0.00006474
0.03013611;0.00004221
0.03051758;0.00008149
0.03089905;0.00009898
0.03128052;0.00008761
0.03166199;0.00006298
0.03204346;0.0000357
0.03242493;0.00003482
0.0328064;0.00006094
0.03318787;0.00010104
0.03356934;0.00013502
0.03395081;0.00013814
0.03433228;0.00012685
0.03471375;0.00010107
0.03509521;0.00010907
0.03547668;0.00010799
0.03585815;0.00010131
0.03623962;0.00008405
0.03662109;0.00005732
0.03700256;0.00003379
0.03738403;0.00005006
0.0377655;0.0000324
0.03814697;0.00005431
0.03852844;0.00011364
0.03890991;0.00012052
0.03929138;0.00008699
0.03967285;0.00005216
0.04005432;0.00005485
0.04043579;0.00008829
0.04081726;0.00007686
0.04119873;0.00010006
0.0415802;0.00012163
0.04196167;0.00013464
0.04234314;0.00012615
0.04272461;0.00008988
0.04310608;0.0000754
0.04348755;0.00010812
0.04386902;0.00012679
0.04425049;0.00010903
0.04463196;0.0000755
0.04501343;0.00004487
0.0453949;0.00002481
0.04577637;0.00000633
0.04615784;0.00004854
0.04653931;0.0000819
0.04692078;0.00009736
0.04730225;0.00010286
0.04768372;0.00008106
0.04806519;0.00004324
0.04844666;0.00003065
0.04882813;0.0000037
0.04920959;0.00005504
0.04959106;0.00009934
0.04997253;0.00011507
0.050354;0.00010418
0.05073547;0.00008407
0.05111694;0.00007447
0.05149841;0.00005963
0.05187988;0.00004641
0.05226135;0.00006354
0.05264282;0.00007366
0.05302429;0.00006249
0.05340576;0.00005395
0.05378723;0.00004768
0.0541687;0.00006203
0.05455017;0.00005708
0.05493164;0.00004276
0.05531311;0.00007386
0.05569458;0.00009192
0.05607605;0.00007459
0.05645752;0.00002064
0.05683899;0.00003142
0.05722046;0.00004377
0.05760193;0.00005974
0.0579834;0.00010337
0.05836487;0.00012682
0.05874634;0.0001085
0.05912781;0.00008029
0.05950928;0.00004801
0.05989075;0.00002549
0.06027222;0.00002272
0.06065369;0.00002467
0.06103516;0.00003437
0.06141663;0.00003593
0.0617981;0.00002408
0.06217957;0.00001779
0.06256104;0.00002608
0.0629425;0.00004151
0.06332397;0.0000708
0.06370544;0.00010246
0.06408691;0.00007615
0.06446838;0.00002946
0.06484985;0.00003017
0.06523132;0.00004879
0.06561279;0.00004777
0.06599426;0.00004181
0.06637573;0.00005062
0.0667572;0.00006462
0.06713867;0.00011471
0.06752014;0.00013709
0.06790161;0.00013839
0.06828308;0.00013376
0.06866455;0.00008453
0.06904602;0.00004369
0.06942749;0.00009367
0.06980896;0.00011339
0.07019043;0.00008963
0.0705719;0.00004781
0.07095337;0.00005043
0.07133484;0.00012816
0.07171631;0.00018012
0.07209778;0.00021708
0.07247925;0.00021706
0.07286072;0.00018477
0.07324219;0.00014259
0.07362366;0.0001089
0.07400513;0.00011148
0.0743866;0.00011254
0.07476807;0.0001172
0.07514954;0.00013204
0.07553101;0.00011087
0.07591248;0.00004231
0.07629395;0.0000752
0.07667542;0.00011342
0.07705688;0.00013293
0.07743835;0.00012682
0.07781982;0.00007908
0.07820129;0.00007433
0.07858276;0.00010864
0.07896423;0.00012296
0.0793457;0.0001228
0.07972717;0.0001363
0.08010864;0.00012132
0.08049011;0.00004841
0.08087158;0.00031635
0.08125305;0.00134279
0.08163452;0.00399579
0.08201599;0.00939764
0.08239746;0.01541362
0.08277893;0.02118836
0.0831604;0.0249225
0.08354187;0.02397707
0.08392334;0.02009018
0.08430481;0.0141322
0.08468628;0.00809072
0.08506775;0.00396756
0.08544922;0.00127127
0.08583069;0.00023525
0.08621216;0.00008913
0.08659363;0.00011168
0.0869751;0.00009174
0.08735657;0.00011343
0.08773804;0.00013731
0.08811951;0.00015522
0.08850098;0.00018232
0.08888245;0.00020689
0.08926392;0.00018498
0.08964539;0.00012853
0.09002686;0.00006312
0.09040833;0.00001228
0.09078979;0.00004015
0.09117126;0.00004156
0.09155273;0.00002272
0.0919342;0.00001816
0.09231567;0.00004811
0.09269714;0.00009237
0.09307861;0.00010812
0.09346008;0.00011534
0.09384155;0.0001325
