MHz;mV
0;156.7747
0.00038147;107.9291
0.00076294;72.8632
0.00114441;22.50556
0.00152588;1.914145
0.00190735;0.07430016
0.00228882;0.06621724
0.00267029;0.02921845
0.00305176;0.02527755
0.00343323;0.01175162
0.0038147;0.01481844
0.00419617;0.0191158
0.00457764;0.01156671
0.00495911;0.01530143
0.00534058;0.01866984
0.00572205;0.02564526
0.00610352;0.02544565
0.00648499;0.0304989
0.00686646;0.04156669
0.00724792;0.03320164
0.00762939;0.02680296
0.00801086;0.02010489
0.00839233;0.00509639
0.0087738;0.00581058
0.00915527;0.01863964
0.00953674;0.01724008
0.00991821;0.01915734
0.01029968;0.01482128
0.01068115;0.01105459
0.01106262;0.00797125
0.01144409;0.00756851
0.01182556;0.01264855
0.01220703;0.02578905
0.0125885;0.02268636
0.01296997;0.03412981
0.01335144;0.03192724
0.01373291;0.03880455
0.01411438;0.03311612
0.01449585;0.03706469
0.01487732;0.02228893
0.01525879;0.01278148
0.01564026;0.00527783
0.01602173;0.00733937
0.0164032;0.01474775
0.01678467;0.01096055
0.01716614;0.01246306
0.01754761;0.01528482
0.01792908;0.0232922
0.01831055;0.02676513
0.01869202;0.03057388
0.01907349;0.02855471
0.01945496;0.02008503
0.01983643;0.01065566
0.0202179;0.00572449
0.02059937;0.00472455
0.02098083;0.00947094
0.0213623;0.00222724
0.02174377;0.00792802
0.02212524;0.0172858
0.02250671;0.02782147
0.02288818;0.02542736
0.02326965;0.01798859
0.02365112;0.011565
0.02403259;0.00997829
0.02441406;0.02123291
0.02479553;0.02153474
0.025177;0.02813341
0.02555847;0.02233069
0.02593994;0.01849983
0.02632141;0.001621
0.02670288;0.01498618
0.02708435;0.02679874
0.02746582;0.02372711
0.02784729;0.03005906
0.02822876;0.02489732
0.02861023;0.02380343
0.0289917;0.0199453
0.02937317;0.01801517
0.02975464;0.01147946
0.03013611;0.00783928
0.03051758;0.00571636
0.03089905;0.01210218
0.03128052;0.01191055
0.03166199;0.01447446
0.03204346;0.00809503
0.03242493;0.01044699
0.0328064;0.0135111
0.03318787;0.01561467
0.03356934;0.01086315
0.03395081;0.00775838
0.03433228;0.00196936
0.03471375;0.00120578
0.03509521;0.00302054
0.03547668;0.00140144
0.03585815;0.00410038
0.03623962;0.01443721
0.03662109;0.01746728
0.03700256;0.01951309
0.03738403;0.01387731
0.0377655;0.01354298
0.03814697;0.00762491
0.03852844;0.01240533
0.03890991;0.01273631
0.03929138;0.00669633
0.03967285;0.00369357
0.04005432;0.00709875
0.04043579;0.01209265
0.04081726;0.01327317
0.04119873;0.0146668
0.0415802;0.01835554
0.04196167;0.0252494
0.04234314;0.0248986
0.04272461;0.01534422
0.04310608;0.0087383
0.04348755;0.00488659
0.04386902;0.0020578
0.04425049;0.0021786
0.04463196;0.00332435
0.04501343;0.01328736
0.0453949;0.02177494
0.04577637;0.02540161
0.04615784;0.02085098
0.04653931;0.00935672
0.04692078;0.00165734
0.04730225;0.00247418
0.04768372;0.01078079
0.04806519;0.01934425
0.04844666;0.02089476
0.04882813;0.01378765
0.04920959;0.00908953
0.04959106;0.00608782
0.04997253;0.00957423
0.050354;0.00906907
0.05073547;0.01211844
0.05111694;0.02112244
0.05149841;0.02158
0.05187988;0.01752101
0.05226135;0.01566833
0.05264282;0.01314469
0.05302429;0.00523596
0.05340576;0.0142148
0.05378723;0.02438313
0.0541687;0.02385495
0.05455017;0.01424885
0.05493164;0.00572946
0.05531311;0.01493613
0.05569458;0.02031869
0.05607605;0.01669223
0.05645752;0.01039626
0.05683899;0.00608618
0.05722046;0.00741591
0.05760193;0.01072323
0.0579834;0.01883042
0.05836487;0.02589154
0.05874634;0.03213525
0.05912781;0.03408039
0.05950928;0.03136802
0.05989075;0.02523766
0.06027222;0.01701968
0.06065369;0.01190432
0.06103516;0.01096051
0.06141663;0.0094531
0.0617981;0.01131127
0.06217957;0.00943548
0.06256104;0.00598931
0.0629425;0.00442008
0.06332397;0.01417515
0.06370544;0.03041318
0.06408691;0.04445101
0.06446838;0.04660132
0.06484985;0.04915076
0.06523132;0.03371547
0.06561279;0.01500029
0.06599426;0.00989483
0.06637573;0.01028797
0.0667572;0.01077492
0.06713867;0.01195536
0.06752014;0.02051495
0.06790161;0.02072387
0.06828308;0.01650143
0.06866455;0.01218721
0.06904602;0.00975384
0.06942749;0.0087588
0.06980896;0.01229384
0.07019043;0.01186475
0.0705719;0.01188335
0.07095337;0.00743796
0.07133484;0.00122012
0.07171631;0.0103381
0.07209778;0.02032742
0.07247925;0.02580918
0.07286072;0.02672567
0.07324219;0.02108877
0.07362366;0.01389871
0.07400513;0.01578608
0.0743866;0.01657546
0.07476807;0.01435545
0.07514954;0.00277805
0.07553101;0.00853398
0.07591248;0.01811232
0.07629395;0.02612909
0.07667542;0.02980601
0.07705688;0.02856566
0.07743835;0.02098529
0.07781982;0.01642495
0.07820129;0.01814097
0.07858276;0.01465275
0.07896423;0.01134607
0.0793457;0.0090979
0.07972717;0.00526251
0.08010864;0.00584477
0.08049011;0.01322741
0.08087158;0.02829391
